HCH_011_026_000081	普通二年，入爲通直散騎常侍、光祿大夫，領本州大中正，尋領秘書監。
HCH_011_026_000082	五年，遷散騎常侍、金紫光祿大夫，中正如故。
HCH_011_026_000083	昭所蒞官，常以清靜爲政，不尚嚴肅。
HCH_011_026_000084	居朝廷，無所請謁，不畜私門生，不交私利。
HCH_011_026_000085	終日端居，以書記爲樂，雖老不衰。
HCH_011_026_000086	博極古今，尤善人物，魏晉以來，官宦簿伐，姻通內外，舉而論之，無所遺失。
HCH_011_026_000087	性尤篤慎。
HCH_011_026_000088	子婦嘗得家餉牛肉以進，昭召其子曰：「食之則犯法，告之則不可，取而埋之。」
HCH_011_026_000089	其居身行己，不負闇室，類皆如此。
HCH_011_026_000090	京師後進，宗其學，重其道，人人自以爲不逮。
HCH_011_026_000091	大通二年九月，卒，時年七十五。
HCH_011_026_000092	詔賻錢三萬，布五十匹，卽日舉哀，諡曰貞子。
HCH_011_026_000093	長子諝，尚書郎，臨安令。
HCH_011_026_000094	次子肱。
HCH_011_026_000095	映字徽遠，昭弟也。
HCH_011_026_000096	三歲而孤。
HCH_011_026_000097	兄弟友睦，修身厲行，非禮不行。
HCH_011_026_000098	始昭之守臨海，陸倕餞之，賓主俱歡，日昏不反，映以昭年高，不可連夜極樂，乃自往迎候，同乘而歸，兄弟並已斑白，時人美而服焉。
HCH_011_026_000099	及昭卒，映喪之如父，年逾七十，哀戚過禮，服制雖除，每言輒感慟。
HCH_011_026_000100	映泛涉記傳，有文才，而不以篇什自命。
HCH_011_026_000101	少時與劉繪、蕭琛相友善，繪之爲南康相，映時爲府丞，文教多令具草。
HCH_011_026_000102	褚彥回聞而悅之，乃屈與子賁等遊處。
HCH_011_026_000103	年未弱冠，彥回欲令仕，映以昭未解褐，固辭，須昭仕乃官。
HCH_011_026_000104	永元元年，參鎮軍江夏王軍事，出爲武康令。
HCH_011_026_000105	及高祖師次建康，吳興太守袁昂自謂門世忠貞，固守誠節，乃訪於映曰：「卿謂時事云何？」
HCH_011_026_000106	映答曰：「元嘉之末，開闢未有，故太尉殺身以明節，司徒當寄託之重，理無苟全，所以不顧夷險，以殉名義。今嗣主昏虐，狎近羣小，親賢誅戮，君子道消，外難屢作，曾無悛改。今荊、雍協舉，乘據上流，背昏向明，勢無不濟。百姓思治，天人之意可知；旣明且哲，忠孝之途無爽。願明府更當雅慮，無祇悔也。」
HCH_011_026_000107	尋以公事免。
HCH_011_026_000108	天監初，除征虜鄱陽王參軍，建安王中權錄事參軍，領軍長史，烏程令。
HCH_011_026_000109	所受俸祿，悉歸于兄。
HCH_011_026_000110	復爲臨川王錄事參軍，南臺治書，安成王錄事，太子翊軍校尉，累遷中散大夫、光祿卿，太中大夫。
HCH_011_026_000111	大同五年，卒，年八十三。
HCH_011_026_000112	子弘。
