HCH_010_047_000114	杜防，開泰中為起居郎。
HCH_010_047_000115	左諫議大夫。
HCH_010_047_000116	左補闕。
HCH_010_047_000117	左拾遺。
HCH_010_047_000118	統和三年見左拾遺劉景。
HCH_010_047_000119	通事舍人。
HCH_010_047_000120	統和七年見通事舍人李琬。
HCH_010_047_000121	符寶郎。
HCH_010_047_000122	耶律玦，重熙初為符寶郎。
HCH_010_047_000123	東上閣門司。
HCH_010_047_000124	太宗會同元年置。
HCH_010_047_000125	東上閣門使。
HCH_010_047_000126	韓延徽傳見東上閣門使鄭延豐。
HCH_010_047_000127	西上閣門使。
HCH_010_047_000128	統和二十一年見西上閣門使丁振。
HCH_010_047_000129	東頭承奉官。
HCH_010_047_000130	韓德讓，景宗時為東頭承奉官。
HCH_010_047_000131	右通進。
HCH_010_047_000132	耶律瑤質，景宗時為右通進。
HCH_010_047_000133	知匭院使。
HCH_010_047_000134	太平三年見知匭院事杜防。
HCH_010_047_000135	誥院給事。
HCH_010_047_000136	耶律鐸斡，重熙末為誥院給事。
HCH_010_047_000137	尚書省。
HCH_010_047_000138	太祖嘗置左右尚書。
HCH_010_047_000139	尚書令。
HCH_010_047_000140	蕭思溫，景宗保寧初為尚書令。
HCH_010_047_000141	左僕射。
HCH_010_047_000142	太祖初，康默記為左尚書，三年，見左僕射韓知古。
HCH_010_047_000143	右僕射。
HCH_010_047_000144	太宗會同元年，見右僕射烈束。
HCH_010_047_000145	左丞。
HCH_010_047_000146	武白為尚書左丞。
HCH_010_047_000147	某部尚書。
HCH_010_047_000148	聖宗開泰元年見吏部尚書劉績。
HCH_010_047_000149	某部侍郎。
HCH_010_047_000150	王觀，興宗重熙中為兵部侍郎；李澣，穆宗朝累遷工部侍郎。
HCH_010_047_000151	某部郎中。
HCH_010_047_000152	劉輝，道宗大安末為禮部郎中。
HCH_010_047_000153	某部員外郎。
HCH_010_047_000154	開泰五年見禮部員外郎王景運。
HCH_010_047_000155	某部郎中。
HCH_010_047_000156	聖宗統和九年見虞部郎中崔祐。
HCH_010_047_000157	諸曹郎官未詳。
HCH_010_047_000158	御史台。
HCH_010_047_000159	太宗會同元年置。
HCH_010_047_000160	御史大夫。
HCH_010_047_000161	會同九年見御史大夫耶律解里。
HCH_010_047_000162	侍御。
HCH_010_047_000163	重熙七年見南面侍御壯骨里。
HCH_010_047_000164	殿中司。
HCH_010_047_000165	殿中。
