HCH_012_251_000098	閣臣李標、錢龍錫言鴻訓不宜有此，請更察訪。
HCH_012_251_000099	帝曰：「事已大著，何更訪為？」
HCH_012_251_000100	促令擬旨。
HCH_012_251_000101	標等逡巡未上，禮部尚書何如寵為鴻訓力辯，帝意卒不可回。
HCH_012_251_000102	乃擬旨，鴻訓、慶臻並革職候勘。
HCH_012_251_000103	無何，御史田時震劾鴻訓用田仰巡撫四川，納賄二千金；給事中閻可陛劾副都御史賈毓祥由賂鴻訓擢用。
HCH_012_251_000104	鴻訓數被劾，連章力辯，因言「都中神奸狄姓者，詭誆慶臻千金，致臣無辜受禍。」
HCH_012_251_000105	帝不聽，下廷臣議罪。
HCH_012_251_000106	明年正月，吏部尚書王永光等言：「鴻訓、慶臻罪無可辭，而律有議貴條，請寬貸。兵部尚書王在晉、職方郎中苗思順贓證未確，難懸坐。」
HCH_012_251_000107	帝不許。
HCH_012_251_000108	鴻訓謫戍代州，在晉、思順並削籍，慶臻以世臣停祿三年。
HCH_012_251_000109	覺斯、鼎延、道直、玉、時震以直言增秩一級。
HCH_012_251_000110	鴻訓居政府，銳意任事。
HCH_012_251_000111	帝有所不可，退而曰：「主上畢竟是沖主。」
HCH_012_251_000112	帝聞，深銜之，欲置之死。
HCH_012_251_000113	賴諸大臣力救，乃得稍寬。
HCH_012_251_000114	七年五月卒戍所。
HCH_012_251_000115	福王時，復官。
HCH_012_251_000116	錢龍錫，字稚文，松江華亭人。
HCH_012_251_000117	萬歷三十五年進士。
HCH_012_251_000118	由庶吉士授編修，屢遷少詹事。
HCH_012_251_000119	天啟四年擢禮部右侍郎，協理詹事府。
HCH_012_251_000120	明年改南京吏部右侍郎。
HCH_012_251_000121	忤魏忠賢，削籍。
HCH_012_251_000122	莊烈帝即位，以閣臣黃立極、施鳳來、張瑞圖、李國𣚴皆忠賢所用，不足倚，詔廷臣推舉，列上十人。
HCH_012_251_000123	帝仿古枚卜典，貯名金甌，焚香肅拜，以次探之，首得龍錫，次李標、來宗道、楊景辰。
HCH_012_251_000124	輔臣以天下多故，請益一二人，復得周道登、劉鴻訓，並拜禮部尚書兼東閣大學士。
HCH_012_251_000125	明年六月，龍錫入朝，立極等四人俱先罷，宗道、景辰亦以是月去。
HCH_012_251_000126	標為首輔，龍錫、鴻訓協心輔理，朝政稍清。
HCH_012_251_000127	尋以蜀寇平，加太子太保，改文淵閣。
HCH_012_251_000128	帝好察邊事，頻遣旗尉偵探。
HCH_012_251_000129	龍錫言：「舊制止行於都城內外，若遠遣恐難委信。」
HCH_012_251_000130	海寇犯中左所，總兵官俞咨臯棄城遁，罪當誅。
HCH_012_251_000131	帝欲並罪巡撫朱一馮。
HCH_012_251_000132	龍錫言：「一馮所駐遠，非棄城者比，罷職已足蔽辜。」
HCH_012_251_000133	瑞王出封漢中，請食川鹽。
HCH_012_251_000134	龍錫言：「漢中食晉鹽，而瑞藩獨用川鹽，恐奸徒借名私販，莫敢譏察。」
HCH_012_251_000135	故事，纂修實錄，分遣國學生采事跡於四方，龍錫言「實錄所需在邸報及諸司奏牘，遣使無益，徒滋擾，宜停罷。」
HCH_012_251_000136	烏撒土官安效良死，其妻改適沾益土官安邊，欲兼有烏撒，部議將聽之。
HCH_012_251_000137	龍錫言：「效良有子其爵，立其爵以收烏撒，存亡繼絕，於理為順。安邊淫亂，不可長也。」
HCH_012_251_000138	帝悉從之。
HCH_012_251_000139	明年，帝以漕船違禁越關，欲復設漕運總兵官。
HCH_012_251_000140	龍錫言：「久裁而復，宜集廷臣議得失。」
HCH_012_251_000141	事竟止。
HCH_012_251_000142	廷議汰冗官，帝謂學官尤冗。
HCH_012_251_000143	龍錫言：「學官舊用歲貢生，近因舉人乞恩選貢，纂修占缺者多，歲貢積至二千六百有奇，皓首以歿，良可憫。且祖宗設官，於此稍寬者，以師儒造士需老成故也。」
HCH_012_251_000144	帝亦納之。
HCH_012_251_000145	言官鄒毓祚、韓一良、章允儒、劉斯來獲譴，並為申救。
HCH_012_251_000146	御史高捷、史褷既罷，王永光力引之，頗為龍錫所扼，兩人大恨。
HCH_012_251_000147	逆案之定，半為龍錫主持，奸黨銜之次骨。
HCH_012_251_000148	及袁崇煥殺毛文龍，報疏云：「輔臣龍錫為此一事低徊過臣寓。」
HCH_012_251_000149	復上善後疏言：「閣臣樞臣，往復商確，臣以是得奉行無失。」
HCH_012_251_000150	時文龍擁兵自擅，有跋扈聲，崇煥一旦除之，即當寧不以為罪也。
HCH_012_251_000151	其冬十二月，大清兵薄都城。
HCH_012_251_000152	帝怒崇煥戰不力，執下獄，而捷、褷已為永光引用。
HCH_012_251_000153	捷遂上章，指通款殺將為龍錫罪，且言祖大壽師潰而東，由龍錫所挑激。
HCH_012_251_000154	帝以龍錫忠慎，戒無過求。
HCH_012_251_000155	龍錫奏辯，言：「崇煥陛見時，臣見其貌寢，退謂同官『此人恐不勝任』。及崇煥以五年復遼自詭，往詢方略，崇煥云：「恢復當自東江始。文龍可用則用之，不可用則去之易易耳。』迨崇煥突誅文龍，疏有『臣低徊』一語。臣念文龍功罪，朝端共知，因置不理。奈何以崇煥誇詡之詞，坐臣朋謀罪？」又辯挑激大壽之誣，請賜罷黜。帝慰諭之，龍錫即起視事。捷再疏攻，帝意頗動。龍錫再辯，引疾，遂放歸。時兵事旁午，未暇竟崇煥獄。至三年八月，褷復上疏言：「龍錫主張崇煥斬帥致兵，倡為款議，以信五年成功之說。賣國欺君，其罪莫逭。龍錫出都，以崇煥所畀重賄數萬，轉寄姻家，巧為營幹，致國法不伸。」帝怒，敕刑官五日內具獄。於是錦衣劉僑上崇煥獄詞。帝召諸臣於平臺，置崇煥重辟。責龍錫私結邊臣，蒙隱不舉，令廷臣議罪。是日，群議於中府，謂：「斬帥雖龍錫啟端，而兩書有『處置慎重』語，意不在擅殺，殺文龍乃崇煥過舉。至講款，倡自崇煥，龍錫始答以『酌量』，繼答以『天子神武，不宜講款』。然軍國大事，私自商度，不抗疏發奸，何所逃罪？」帝遂遣使逮之。十二月逮至，下獄。復疏辯，悉封上崇煥原書及所答書，帝不省。時群小麗名逆案者，聚謀指崇煥為逆首，龍錫等為逆黨。更立一逆案相抵。
HCH_012_251_000156	謀既定，欲自兵部發之，尚書梁廷棟憚帝英明，不敢任而止。
HCH_012_251_000157	乃議龍錫大辟，且用夏言故事，設廠西市以待。
HCH_012_251_000158	帝以龍錫無逆謀，令長繋。
HCH_012_251_000159	四年正月，右中允黃道周疏言龍錫不宜坐死罪。
HCH_012_251_000160	忤旨，貶秩調外，而帝意浸解矣。
HCH_012_251_000161	夏五月大旱，刑部尚書胡應臺等乞宥龍錫，給事中劉斯來繼言之，詔所司再讞。
HCH_012_251_000162	乃釋獄，戍定海衛。
HCH_012_251_000163	在戍十二年，兩遇赦不原。
HCH_012_251_000164	其子請輸粟贖罪，會周延儒再當國，尼不行。
HCH_012_251_000165	福王時，復官歸里。
HCH_012_251_000166	未幾卒，年六十有八。
HCH_012_251_000167	錢士升，字抑之，嘉善人。
HCH_012_251_000168	萬歷四十四年殿試第一，授修撰。
HCH_012_251_000169	天啟初，以養母乞歸。
HCH_012_251_000170	久之，進左中允，不赴。
HCH_012_251_000171	高邑趙南星、同里魏大中受珰禍，及江西同年生萬燝杖死追贓，皆力為營護，破產助之，以是為東林所推。
HCH_012_251_000172	崇禎元年起少詹事，掌南京翰林院。
HCH_012_251_000173	明年以詹事召。
HCH_012_251_000174	會座主錢龍錫被逮，送之河干，即謝病歸。
HCH_012_251_000175	四年，起南京禮部右侍郎，署尚書事。
HCH_012_251_000176	祭告鳳陽陵寢，疏陳戶口流亡之狀甚悉。
HCH_012_251_000177	六年九月，召拜禮部尚書兼東閣大學士，參預機務。
HCH_012_251_000178	明年春入朝。
HCH_012_251_000179	請停事例，罷鼓鑄，嚴贓吏之誅，止遣官督催新舊餉，第責成於撫按。
HCH_012_251_000180	帝悉從之。
HCH_012_251_000181	帝操切，溫體仁以刻薄佐之，上下囂然。
HCH_012_251_000182	士升因撰《四箴》以獻，大指謂寬以御眾，簡以臨下，虛以宅心，平以出政，其言深中時病。
HCH_012_251_000183	帝雖優旨報聞，意殊不懌也。
