HCH_012_170_000077	叛閹喜寧嗾使邀大臣迎駕，索金帛以萬萬計，復邀謙及王直、胡濙等出議。
HCH_012_170_000078	帝不許，也先氣益沮。
HCH_012_170_000079	庚申，寇窺德勝門。
HCH_012_170_000080	謙令亨設伏空舍，遣數騎誘敵。
HCH_012_170_000081	敵以萬騎來薄，副總兵范廣發火器，伏起齊擊之。
HCH_012_170_000082	也先弟孛羅、平章卯那孩中礮死。
HCH_012_170_000083	寇轉至西直門，都督孫鏜禦之，亨亦分兵至，寇引退。
HCH_012_170_000084	副總兵武興擊寇彰義門，與都督王敬挫其前鋒。
HCH_012_170_000085	寇且卻，而內官數百騎欲爭功，躍馬競前。
HCH_012_170_000086	陣亂，興被流矢死。
HCH_012_170_000087	寇逐至土城，居民升屋，號呼投磚石擊寇，譁聲動天。
HCH_012_170_000088	王竑及福壽援至，寇乃卻。
HCH_012_170_000089	相持五日，也先邀請既不應，戰又不利，知終弗可得志，又聞勤王師且至，恐斷其歸路，遂擁上皇由良鄉西去。
HCH_012_170_000090	謙調諸將追擊，至關而還。
HCH_012_170_000091	論功，加謙少保，總督軍務。
HCH_012_170_000092	謙曰：「四郊多壘，卿大夫之恥也，敢邀功賞哉！」
HCH_012_170_000093	固辭，不允。
HCH_012_170_000094	乃益兵守真、保、涿、易諸府州，請以大臣鎮山西，防寇南侵。
HCH_012_170_000095	景泰元年三月，總兵朱謙奏敵二萬攻圍萬全，敕范廣充總兵官禦之。
HCH_012_170_000096	已而寇退，謙請即駐兵居庸，寇來則出關剿殺，退則就糧京師，大同參將許貴奏，迤北有三人至鎮，欲朝廷遣使講和。
HCH_012_170_000097	謙曰：「前遣指揮季鐸、岳謙往，而也先隨入寇。繼遣通政王復、少卿趙榮，不見上皇而還。和不足恃，明矣。況我與彼不共戴天，理固不可和。萬一和而彼肆無厭之求，從之則坐敝，不從則生變，勢亦不得和。貴為介冑臣，而恇怯如此，何以敵愾，法當誅。」
HCH_012_170_000098	移檄切責。
HCH_012_170_000099	自是邊將人人主戰守，無敢言講和者。
HCH_012_170_000100	初，也先多所要挾，皆以喜寧為謀主。
HCH_012_170_000101	謙密令大同鎮將擒寧，戮之。
HCH_012_170_000102	又計授王偉誘誅間者小田兒。
HCH_012_170_000103	且因諜用間，請特釋忠勇伯把台家，許以封爵，使陰圖之。
HCH_012_170_000104	也先始有歸上皇意，遣使通款，京師稍解嚴。
HCH_012_170_000105	謙上言：「南京重地，撫輯須人。中原多流民，設遇歲荒，嘯聚可虞。乞敕內外守備及各巡撫加意整飭，防患未然，召還所遣召募文武官及鎮守中官在內地者。」
HCH_012_170_000106	於時八月，上皇北狩且一年矣。
HCH_012_170_000107	也先見中國無釁，滋欲乞和，使者頻至，請歸上皇。
HCH_012_170_000108	大臣王直等議遣使奉迎，帝不悅曰：「朕本不欲登大位，當時見推，實出卿等。」
HCH_012_170_000109	謙從容曰：「天位已定，寧復有他，顧理當速奉迎耳。萬一彼果懷詐，我有辭矣。」
HCH_012_170_000110	帝顧而改容曰：「從汝，從汝。」
HCH_012_170_000111	先後遣李實、楊善往，卒奉上皇以歸，謙力也。
HCH_012_170_000112	上皇既歸，瓦剌復請朝貢。
HCH_012_170_000113	先是，貢使不過百人，正統十三年至三千餘，賞賚不饜，遂入寇。
HCH_012_170_000114	及是又遣使三千來朝，謙請列兵居庸關備不虞，京師盛陳兵，宴之。
HCH_012_170_000115	因言和議難恃，條上安邊三策。
HCH_012_170_000116	請敕大同、宣府、永平、山海、遼東各路總兵官增修備禦。
HCH_012_170_000117	京兵分隸五軍、神機、三千諸營，雖各有總兵，不相統一，請擇精銳十五萬，分十營團操。
HCH_012_170_000118	團營之制自此始。
HCH_012_170_000119	具兵志中。
HCH_012_170_000120	瓦剌入貢，每攜故所掠人口至。
HCH_012_170_000121	謙必奏酬其使，前後贖還累數百人。
HCH_012_170_000122	初，永樂中，降人安置近畿者甚眾。
HCH_012_170_000123	也先入寇，多為內應。
HCH_012_170_000124	謙謀散遣之。
HCH_012_170_000125	因西南用兵，每有征行，輒選其精騎，厚資以往，已更遣其妻子，內患以息。
HCH_012_170_000126	楊洪自獨石入衞，八城悉以委寇。
HCH_012_170_000127	謙使都督孫安以輕騎出龍門關據之，募民屯田，且戰且守，八城遂復。
HCH_012_170_000128	貴州苗未平，何文淵議罷二司，專設都司，以大將鎮之。
HCH_012_170_000129	謙曰：「不設二司，是棄之也。」
HCH_012_170_000130	議乃寢。
HCH_012_170_000131	謙以上皇雖還，國恥未雪，會也先與脫脫不花搆，請乘間大發兵，身往討之，以復前仇，除邊患。
HCH_012_170_000132	帝不許。
HCH_012_170_000133	謙之為兵部也，也先勢方張，而福建鄧茂七、浙江葉宗留、廣東黃蕭養各擁眾僭號，湖廣、貴州、廣西、瑤、僮、苗、僚所至蜂起。
HCH_012_170_000134	前後征調，皆謙獨運。
HCH_012_170_000135	當軍馬倥偬，變在俄頃，謙目視指屈，口具章奏，悉合機宜。
HCH_012_170_000136	僚吏受成，相顧駭服。
HCH_012_170_000137	號令明審，雖勳臣宿將小不中律，即請旨切責。
HCH_012_170_000138	片紙行萬里外，靡不惕息。
HCH_012_170_000139	其才略開敏，精神周至，一時無與比。
HCH_012_170_000140	至性過人，憂國忘身。
HCH_012_170_000141	上皇雖歸，口不言功。
HCH_012_170_000142	東宮既易，命兼宮僚者支二俸。
HCH_012_170_000143	諸臣皆辭，謙獨辭至再。
HCH_012_170_000144	自奉儉約，所居僅蔽風雨。
HCH_012_170_000145	帝賜第西華門，辭曰：「國家多難，臣子何敢自安。」
HCH_012_170_000146	固辭，不允。
HCH_012_170_000147	乃取前後所賜璽書、袍、錠之屬，悉加封識，歲時一省視而已。
HCH_012_170_000148	帝知謙深，所論奏無不從者。
HCH_012_170_000149	嘗遣使往真定、河間采野菜，直沽造乾魚，謙一言即止。
HCH_012_170_000150	用一人，必密訪謙。
HCH_012_170_000151	謙具實對，無所隱，不避嫌怨。
HCH_012_170_000152	由是諸不任職者皆怨，而用弗如謙者，亦往往嫉之。
HCH_012_170_000153	比寇初退，都御史羅通即劾謙上功簿不實。
HCH_012_170_000154	御史顧𣉒言謙太專，請六部大事同內閣奏行。
HCH_012_170_000155	謙據祖制折之，戶部尚書金濂亦疏爭，而言者捃摭不已。
HCH_012_170_000156	諸御史以深文彈劾者屢矣，賴景帝破眾議用之，得以盡所設施。
HCH_012_170_000157	謙性故剛，遇事有不如意，輒拊膺歎曰：「此一腔熱血，竟灑何地！」
HCH_012_170_000158	視諸選耎大臣、勳舊貴戚，意頗輕之，憤者益眾。
HCH_012_170_000159	又始終不主和議，雖上皇實以是得還，不快也。
HCH_012_170_000160	徐珵以議南遷，為謙所斥。
HCH_012_170_000161	至是改名有貞，稍稍進用，嘗切齒謙。
HCH_012_170_000162	石亨本以失律削職，謙請宥而用之，總兵十營，畏謙不得逞，亦不樂謙。
