HCH_009_099_000060	京兆至鳳翔置者，達於臨洮。
HCH_009_099_000061	自真定至彰德置者，達于南京。
HCH_009_099_000062	自南京分至歸德置者，達於泗州、壽州，分至許州置者，達于鄧州。
HCH_009_099_000063	自中都至滄州置者，達於益都府。
HCH_009_099_000064	自此郵達無複滯焉。
HCH_009_099_000065	七年，吳曦死，宋安丙分兵出秦、隴間。
HCH_009_099_000066	十月，詔鎰出兵金、房以分掣宋人梁、益、漢、沔兵勢。
HCH_009_099_000067	鎰遣行軍都統斡勒葉祿瓦、副統把回海、完顏摑刺以步騎五千出商州。
HCH_009_099_000068	十一月，葉祿瓦拔鶻嶺關，摑刺別將攻破燕子關新道口，回海取小湖關敖倉，至營口鎮，破宋兵千餘人，追至上津縣，斬首八百餘級，遂取上津縣。
HCH_009_099_000069	葉祿瓦破宋兵二千于平溪，將趨金州。
HCH_009_099_000070	宋王柟以書乞和，詔鎰召葉祿瓦軍退守鶻嶺關。
HCH_009_099_000071	八年正月，宋安丙遣景統領由梅子溪、新道口、硃砂穀襲鶻嶺關，回海，摑刺擊走之，斬景統領於陣。
HCH_009_099_000072	是歲，罷兵。
HCH_009_099_000073	鎰遷特進，賜賚有差。
HCH_009_099_000074	改知真定府事。
HCH_009_099_000075	大安初，加儀同三司，封濮國公。
HCH_009_099_000076	改東京留守，過闕入見。
HCH_009_099_000077	衛紹王謂鎰曰：「卿兩朝舊德，欲用卿為相。太尉匡，卿之門人，朕不可屈卿下之。」
HCH_009_099_000078	遷開府儀同三司，佩金符，充遼東安撫副使。
HCH_009_099_000079	三年，改上京留守。
HCH_009_099_000080	平章政事獨吉思忠敗績於會河堡，中都戒嚴，鎰曰：「事急矣。」
HCH_009_099_000081	乃選兵二萬，遣同知烏古孫兀屯將之，入衛中都。
HCH_009_099_000082	朝廷嘉之，征拜尚書右丞相，監修國史。
HCH_009_099_000083	鎰言：「自用兵以來，彼聚而行，我散而守，以聚攻散，其敗必然。不若入保大城，並力備禦。昌、桓、撫三州素號富實，人皆勇健，可以內徙，益我兵勢，人畜貨財，不至亡失。」
HCH_009_099_000084	平章政事移刺、參知政事梁絪曰：「如此是自蹙境土也。」
HCH_009_099_000085	衛紹王以責鎰。
HCH_009_099_000086	鎰複奏曰：「遼東國家根本，距中都數千里，萬一受兵，州府顧望，必須報可，誤事多矣。可遣大臣行省以鎮之。」
HCH_009_099_000087	衛紹王不悅曰：「無故置行省，徒搖人心耳。」
HCH_009_099_000088	其後失昌、桓、撫三州，衛紹王乃大悔曰：「從丞相之言，當不至此！」
HCH_009_099_000089	頃之，東京不守，衛紹王自訟曰：「我見丞相恥哉！」
HCH_009_099_000090	術虎高琪駐兵縉山，甚得人心，士樂為用。
HCH_009_099_000091	至甯元年，尚書左丞完顏綱將行省於縉山，鎰謂綱曰：「行省不必自往，不若益兵為便。」
HCH_009_099_000092	綱不聽，且行，鎰遣人止之曰：「高琪之功，即行省之功也。」
HCH_009_099_000093	亦不聽。
HCH_009_099_000094	綱至縉山，遂敗績焉。
