HCH_012_017_000032	丁巳，小王子犯莊浪，指揮劉爵禦卻之。
HCH_012_017_000033	丙子，革錦衣衞所及監局寺廠司庫、旗校、軍士、匠役投充新設者，凡十四萬八千餘人。
HCH_012_017_000034	丁丑，寧津盜起，德平知縣龔諒死之。
HCH_012_017_000035	九月乙卯，袁宗皐卒。
HCH_012_017_000036	庚午，葬毅皇帝於康陵。
HCH_012_017_000037	冬十月己卯朔，追尊父興獻王為興獻帝，祖母憲宗貴妃邵氏為皇太后，母妃為興獻后。
HCH_012_017_000038	壬午，興獻后至自安陸。
HCH_012_017_000039	十一月庚戌，振江西災。
HCH_012_017_000040	丁巳，錄平宸濠功，封王守仁新建伯。
HCH_012_017_000041	甲戌，乾清宮成。
HCH_012_017_000042	罷廣西貢香。
HCH_012_017_000043	諭各鎮巡守備官，凡額外之征悉罷之。
HCH_012_017_000044	嘉靖元年春正月癸丑，享太廟。
HCH_012_017_000045	己未，大祀天地於南郊。
HCH_012_017_000046	清寧宮後殿災。
HCH_012_017_000047	命稱孝宗皇考，慈壽皇太后聖母，興獻帝后為本生父母。
HCH_012_017_000048	己巳，甘州兵亂，殺巡撫都御史許銘。
HCH_012_017_000049	二月己卯，耕耤田。
HCH_012_017_000050	三月辛亥，弗提衞獻生豹，卻之。
HCH_012_017_000051	甲寅，釋奠於先師孔子。
HCH_012_017_000052	丁巳，上慈壽皇太后尊號曰昭聖慈壽皇太后，武宗皇后曰莊肅皇后。
HCH_012_017_000053	戊午，上皇太后尊號曰壽安皇太后，興獻后曰興國太后。
HCH_012_017_000054	夏四月壬辰，命各邊巡按御史三年一閱軍馬器械。
HCH_012_017_000055	秋七月己酉，以南畿、浙江、江西、湖廣、四川旱，詔撫按官講求荒政。
HCH_012_017_000056	九月辛未，立皇后陳氏。
HCH_012_017_000057	冬十月辛卯，振南畿、湖廣、江西、廣西災，免稅糧有差。
HCH_012_017_000058	壬辰，以災傷敕羣臣修省。
HCH_012_017_000059	十一月庚申，壽安皇太后崩。
HCH_012_017_000060	十二月戊寅，振陝西被寇及山東礦賊流劫者。
HCH_012_017_000061	是年，琉球入貢。
HCH_012_017_000062	二年春正月乙卯，大祀天地於南郊。
HCH_012_017_000063	丁卯，小王子犯沙河堡，總兵官杭雄戰卻之。
HCH_012_017_000064	二月癸未，振遼東饑。
HCH_012_017_000065	壬辰，總督軍務右都御史俞諫、總兵官魯綱討平河南、山東賊。
HCH_012_017_000066	三月乙巳，俺答寇大同。
HCH_012_017_000067	甲寅，武宗神主祔太廟。
HCH_012_017_000068	戊午，賜姚淶等進士及第、出身有差。
HCH_012_017_000069	夏四月壬申，以災異敕羣臣修省。
HCH_012_017_000070	癸未，以宋朱熹裔孫墅為五經博士。
HCH_012_017_000071	癸巳，命兩京三品以上及撫、按官舉堪任守令者。
HCH_012_017_000072	五月庚午，小王子犯密雲石塘嶺，殺指揮使殷隆。
HCH_012_017_000073	六月癸丑，以災傷免嘉靖元年天下稅糧之半。
HCH_012_017_000074	秋八月辛酉，小王子犯丁字堡，都指揮王綱戰死。
HCH_012_017_000075	冬十一月丁卯，免南畿被災稅糧。
HCH_012_017_000076	己丑，振河南饑。
HCH_012_017_000077	是年，撒馬兒罕、土魯番、天方入貢。
HCH_012_017_000078	三年春正月丙寅朔，兩畿、河南、山東、陝西同時地震。
HCH_012_017_000079	丁丑，大祀天地於南郊。
HCH_012_017_000080	丙戌，南京刑部主事桂萼請改稱孝宗皇伯考，下廷臣議。
HCH_012_017_000081	是月，朵顏入寇。
HCH_012_017_000082	二月丙午，楊廷和致仕。
HCH_012_017_000083	庚戌，南京地震。
HCH_012_017_000084	三月壬申，振淮、揚饑。
HCH_012_017_000085	辛巳，振河南饑。
HCH_012_017_000086	夏四月己酉，上昭聖皇太后尊號曰昭聖康惠慈壽皇太后。
HCH_012_017_000087	庚戌，上興國太后尊號曰本生聖母章聖皇太后。
HCH_012_017_000088	癸丑，追尊興獻帝為本生皇考恭穆獻皇帝，大赦。
HCH_012_017_000089	辛酉，編修鄒守益請罷興獻帝稱考立廟，下錦衣衞獄。
HCH_012_017_000090	五月乙丑，蔣冕致仕。
HCH_012_017_000091	修撰呂柟言大禮未正，下錦衣衞獄。
HCH_012_017_000092	丁丑，遣使迎獻皇帝神主於安陸。
HCH_012_017_000093	己卯，吏部尚書石珤兼文淵閣大學士，預機務。
HCH_012_017_000094	六月，御史段續、陳相請正席書、桂萼罪，吏部員外郎薛蕙上為人後解，鴻臚少卿胡侍言張璁等議禮之失，俱下獄。
HCH_012_017_000095	秋七月乙亥，更定章聖皇太后尊號，去本生之稱。
HCH_012_017_000096	戊寅，廷臣伏闕固爭，下員外郎馬理等一百三十四人錦衣衞獄。
HCH_012_017_000097	癸未，杖馬理等於廷，死者十有六人。
HCH_012_017_000098	甲申，奉安獻皇帝神主於觀德殿。
HCH_012_017_000099	己丑，毛紀致仕。
HCH_012_017_000100	辛卯，杖修撰楊慎，檢討王元正，給事中劉濟、安磐、張漢卿、張原，御史王時柯於廷。
HCH_012_017_000101	原死，慎等戍謫有差。
HCH_012_017_000102	是月，免南畿、河南被災稅糧。
HCH_012_017_000103	八月癸巳，大同兵變，殺巡撫都御史張文錦。
HCH_012_017_000104	乙卯，吏部侍郎賈詠為禮部尚書兼文淵閣大學士，預機務。
HCH_012_017_000105	九月丙寅，定稱孝宗為皇伯考，昭聖皇太后為皇伯母，獻皇帝為皇考，章聖皇太后為聖母。
HCH_012_017_000106	丙子，詔天下。
HCH_012_017_000107	丙戌，土魯番入寇，圍肅州。
HCH_012_017_000108	兵部尚書金獻民總制軍務，署都督僉事杭雄充總兵官，太監張忠提督軍務，禦之。
HCH_012_017_000109	冬十一月己卯，戶部侍郎胡瓚提督宣、大軍務，都督魯綱充總兵官，討大同叛卒。
HCH_012_017_000110	十二月壬子，甘、涼寇退，召金獻民還。
HCH_012_017_000111	戊午，起致仕大學士楊一清為兵部尚書，總制陝西三邊軍務。
HCH_012_017_000112	是年，琉球入貢，魯迷國貢獅子、犀牛。
HCH_012_017_000113	四年春正月丙寅，西海卜兒孩犯甘肅，總兵官姜奭擊敗之。
HCH_012_017_000114	辛未，大祀天地於南郊。
HCH_012_017_000115	二月乙卯，禁淹獄囚。
HCH_012_017_000116	三月壬午，仁壽宮災。
