HCH_012_229_000079	居正陽具疏救，乃除名為民，而居正恨不已。
HCH_012_229_000080	臺按遼東時，與巡撫張學顏不相得。
HCH_012_229_000081	至是學顏為戶部，誣臺私贖鍰，居正屬御史於應昌巡按遼東核之，而令王宗載巡撫江西，廉臺里中事。
HCH_012_229_000082	應昌、宗載等希居正意，實其事以聞，遂戍臺廣西。
HCH_012_229_000083	臺父震龍、弟國，俱坐罪。
HCH_012_229_000084	臺至潯州未幾，飲於戍主所，歸而暴卒。
HCH_012_229_000085	是日居正亦卒。
HCH_012_229_000086	明年，御史江東之訟臺冤，劾宗載、應昌。
HCH_012_229_000087	詔復臺官，罷宗載、應昌，下所司廉問。
HCH_012_229_000088	南京給事中馮景隆因言遼東巡撫周詠與應昌共陷臺，應昌已罷，詠尚為薊遼總督，亦宜罷。
HCH_012_229_000089	南京御史孫繼先亦發學顏陷臺罪。
HCH_012_229_000090	帝方向學顏。
HCH_012_229_000091	以景隆疏中並劾李成梁，學顏為成梁訟。
HCH_012_229_000092	繼先又並劾學顏、成梁。
HCH_012_229_000093	乃謫景隆薊州判官，繼先臨清州判官，置學顏不問。
HCH_012_229_000094	已而江西巡撫曹大埜、遼東巡撫李松，勘報宗載、應昌等朋比傾陷皆有狀。
HCH_012_229_000095	刑部以故入論，奏宗載等遣戍、除名、降黜有差。
HCH_012_229_000096	贈臺光祿少卿，蔭一子。
HCH_012_229_000097	天啟初，追謚毅思。
HCH_012_229_000098	馮景隆，浙江山陰人。
HCH_012_229_000099	萬歷五年進士。
HCH_012_229_000100	嘗訟趙世卿冤，且請召張位、習孔教，申救御史魏允貞，至是謫官。
HCH_012_229_000101	後量移南陽推官。
HCH_012_229_000102	孫繼先，字胤甫，盂人。
HCH_012_229_000103	隆慶五年進士。
HCH_012_229_000104	居正既敗，繼先請召吳中行、趙用賢、艾穆、沈思孝、鄒元標並及余懋學、趙應元、傅應禎、朱鴻謨、孟一脈、王用汲。
HCH_012_229_000105	又薦魏學曾、宋纁、張嶽、毛綱、胡執禮、王錫爵、賈三近、溫純、曹科、陳有年、朱光宇、趙參魯等諸人。
HCH_012_229_000106	既坐謫，終南京吏部主事。
HCH_012_229_000107	傅應禎，字公善，安福人。
HCH_012_229_000108	隆慶五年進士。
HCH_012_229_000109	除零陵知縣。
HCH_012_229_000110	殲洞庭劇寇，論殺祁陽巨猾，民賴以安。
HCH_012_229_000111	調知溧水。
HCH_012_229_000112	萬歷三年，征授御史。
HCH_012_229_000113	張居正當國，應禎其門生也，有所感憤，疏陳重君德、蘇民困、開言路三事，言：邇者雷震端門獸吻，京師及四方地震疊告，曾未聞發詔修省，豈真以天變不足畏耶？
HCH_012_229_000114	真定抽分中使，本非舊典，正統間嘗暫行之，先帝納李芳言，已詔罷遣，而陛下顧欲踵行失德之事，豈真以祖宗不足法耶？
HCH_012_229_000115	給事中朱東光奏陳保治，初非折檻解衣者比，乃竟留中不報，豈真以人言不足恤耶？
HCH_012_229_000116	此三不足者，王安石以之誤宋，不可不深戒也。
HCH_012_229_000117	陛下登極初，自隆慶改元以前逋租，悉賜蠲除，四年以前免三征七，恩至渥也。
