HCH_016_008_000066	越王乃使大夫種索葛布十萬，甘蜜九黨，文笥七枚，狐皮五雙，晉竹十廋，以復封禮。
HCH_016_008_000067	吳王得之曰：“以越僻狄之國無珍，今舉其貢貨而以復禮，此越小心念功，不忘吳之效也。
HCH_016_008_000068	夫越本興國千里，吾雖封之，未盡其國。
HCH_016_008_000069	”子胥聞之，退臥於舍，謂侍者曰：“吾君失其石室之囚，縱於南林之中，今但因虎豹之野而與荒外之草，於吾之心，其無損也？
HCH_016_008_000070	”吳王得葛布之獻，乃復增越之封，賜羽毛之飾、機杖、諸侯之服。
HCH_016_008_000071	越國大悅。
HCH_016_008_000072	采葛之婦，傷越王用心之苦，乃作苦之詩，曰：“葛不連蔓棻臺臺，我君心苦命更之。
HCH_016_008_000073	嘗膽不苦甘如飴，令我采葛以作絲。
HCH_016_008_000074	女工織兮不敢遲。
HCH_016_008_000075	弱於羅兮輕霏霏，號絺素兮將獻之。
HCH_016_008_000076	越王悅兮忘罪除，吳王歡兮飛尺書。
HCH_016_008_000077	增封益地賜羽奇，機杖茵褥諸侯儀。
HCH_016_008_000078	群臣拜舞天顏舒，我王何憂能不移？
HCH_016_008_000079	”於是越王內修其德，外布其道，君不名教，臣不名謀，民不名使，官不名事。
HCH_016_008_000080	國中蕩蕩無有政令。
HCH_016_008_000081	越王內實府庫，墾其田疇，民富國彊，眾安道泰。
HCH_016_008_000082	越王遂師八臣與其四友，時問政焉。
HCH_016_008_000083	大夫種曰：“愛民而已。
HCH_016_008_000084	”越王曰：“柰何？
HCH_016_008_000085	”種曰：“利之無害，成之無敗，生之無殺，與之無奪。
HCH_016_008_000086	”越王曰：“願聞。
HCH_016_008_000087	”種曰：“無奪民所好則利也，民不失其時則成之，省刑去罰則生之，薄其賦歛則與之，無多臺遊則樂之，靜而無苛則喜之；民失所好則害之，農失其時則敗之，有罪不赦則殺之，重賦厚歛則奪之，多作臺遊以罷民則苦之，勞擾民力則怒之，臣聞善為國者遇民如父母之愛其子，如兄之愛其弟。
HCH_016_008_000088	聞有飢寒為之哀，見其勞苦為之悲。
HCH_016_008_000089	”越王乃緩刑薄罰，省其賦歛，於是人民殷富，皆有帶甲之勇。
HCH_016_008_000090	九年正月，越王召五大夫而告之曰：“昔者越國遁棄宗廟，身為窮虜，恥聞天下，辱流諸侯。
HCH_016_008_000091	今寡人念吳，猶躄者不忘走，盲者不忘視。
HCH_016_008_000092	孤未知策謀，惟大夫誨之。
HCH_016_008_000093	”扶同曰：“昔者亡國流民，天下莫不聞知。
HCH_016_008_000094	今欲有計，不宜前露其辭。
HCH_016_008_000095	臣聞擊鳥之動，故前俯伏，猛獸將擊，必餌毛帖伏；鷙鳥將搏，必卑飛戢翼；聖人將動，必順辭和眾。
HCH_016_008_000096	聖人之謀，不可見其象，不可知其情。
HCH_016_008_000097	臨事而伐，故前無剽過之兵，後無伏襲之患。
HCH_016_008_000098	今大王臨敵破吳，宜損少辭，無令泄也。
HCH_016_008_000099	臣聞吳王兵彊於齊晉，而怨結於楚。
HCH_016_008_000100	大王宜親於齊，深結於晉，陰固於楚，而厚事於吳。
HCH_016_008_000101	夫吳之誌猛，驕而自矜，必輕諸侯而淩鄰國。
HCH_016_008_000102	三國決權，還為敵國，必角勢交爭。
HCH_016_008_000103	越承其弊，因而伐之，可克也。
HCH_016_008_000104	雖五帝之兵無以過此。
HCH_016_008_000105	”范蠡曰：“臣聞：『謀國破敵，動觀其符。』
HCH_016_008_000106	孟津之會，諸侯曰可，武王辭之。
HCH_016_008_000107	方今吳楚結讎，構怨不解，齊雖不親，外為其救；晉雖不附，猶效其義。
HCH_016_008_000108	夫內臣謀而決讎其策，鄰國通而不絕其援，斯正吳之興霸，諸侯之上尊。
HCH_016_008_000109	臣聞峻高者隤，葉茂者摧，日中則移，月滿則虧，四時不並盛，五行不俱馳，陰陽更唱，氣有盛衰。
HCH_016_008_000110	故溢堤之水，不淹其量，煽乾之火，不復其熾；水靜則無漚瀴之怒，火消則無熹毛之熱。
HCH_016_008_000111	今吳乘諸侯之威以號令於天下，不知德薄而恩淺，道狹而怨廣，權懸而智衰，力竭而威折，兵挫而軍退，士散而眾解。
