HCH_010_026_000041	九月丙午，徙烏古敵烈部於烏納水，以扼北邊之沖。
HCH_010_026_000042	冬十月戊辰，駐蹕藕絲淀。
HCH_010_026_000043	庚辰，高麗遣使來貢。
HCH_010_026_000044	十二月己未，斡特剌討梅裏急，破之。
HCH_010_026_000045	壬戌，南府宰相耶律鐸魯斡致仕。
HCH_010_026_000046	癸亥，蕭撻不也為北府宰相，耶律大悲奴殿前都點檢。
HCH_010_026_000047	乙亥，夏國獻宋俘。
HCH_010_026_000048	三年春正月丁亥，如春水。
HCH_010_026_000049	壬寅，烏古部節度使耶律陳家奴以功加尚書右僕射。
HCH_010_026_000050	癸卯，駐蹕雙山。
HCH_010_026_000051	二月丙辰朔，南京水，遣使振之。
HCH_010_026_000052	閏月丙午，阻卜長猛撒葛、粘八葛長禿骨撒、梅裏急長忽魯八等請復舊地，貢方物，從之。
HCH_010_026_000053	三月辛酉，燕國王延禧生子。
HCH_010_026_000054	癸亥，賜名撻魯。
HCH_010_026_000055	妃之父長哥遷左監門衛上將軍，仍賜官屬錢。
HCH_010_026_000056	是春，高麗王昱薨。
HCH_010_026_000057	夏四月，南府宰相趙廷睦出知興中府事，參知政事牛溫舒兼同知樞密院事。
HCH_010_026_000058	五月癸亥，斡特剌討阻卜，破之。
HCH_010_026_000059	己巳，駐蹕撒裏乃。
HCH_010_026_000060	六月甲申，詔罷諸路馳驲貢新。
HCH_010_026_000061	丙戌，詔每冬駐蹕之所，宰相以下構宅，毋役其民。
HCH_010_026_000062	辛丑丑，夏人來告宋城要地，遣使之宋，諭與夏和。
HCH_010_026_000063	庚戌，以契丹行宮都部署耶律吾也為南院大王。
HCH_010_026_000064	秋七月壬子朔，獵黑嶺。
HCH_010_026_000065	八月己亥，蒲盧毛朵部長率其民來歸。
HCH_010_026_000066	乙巳，彗星見西方。
HCH_010_026_000067	九月壬申，駐蹕藕絲淀。
HCH_010_026_000068	丁丑，以武定軍節度使梁援為漢人行宮都部署。
HCH_010_026_000069	戊寅，斡特剌奏討梅裏急捷。
HCH_010_026_000070	己卯，五國部長來貢。
HCH_010_026_000071	冬十月庚戌，以西北路招討使斡特剌為南府宰相。
HCH_010_026_000072	十一月乙卯，蒲盧毛朵部來貢。
