HCH_015_037_000081	世祖自尋陽還，遇悛於舟渚閒，歡宴敘舊，停十餘日乃下。
HCH_015_037_000082	遣文惠太子及竟陵王子良攝衣履，脩父友之敬。
HCH_015_037_000083	太祖受禪，國除。
HCH_015_037_000084	進號冠軍將軍。
HCH_015_037_000085	平西記室參軍夏侯恭叔上書，以柳元景中興功臣，劉勔殞身王事，宜存封爵。
HCH_015_037_000086	詔曰：「與運隆替，自古有之，朝議已定，不容復厝意也。」
HCH_015_037_000087	初，蒼梧廢，太祖集議中華門，見悛，謂之曰：「君昨直耶？」
HCH_015_037_000088	悛答曰：「僕昨乃正直，而言急在外。」
HCH_015_037_000089	至是上謂悛曰：「功名之際，人所不忘。卿昔於中華門答我，何其欲謝世事？」
HCH_015_037_000090	悛曰：「臣世受宋恩，門荷齊眷，非常之勳，非臣所及。進不遠怨前代，退不孤負聖明，敢不以實仰答。」
HCH_015_037_000091	遷太子中庶子，領越騎校尉。
HCH_015_037_000092	時世祖在東宮，每幸悛坊，閑言至夕，賜屏風帷帳。
HCH_015_037_000093	世祖卽位，改領前軍將軍，中庶子如故。
HCH_015_037_000094	征北竟陵王子良帶南兖州，以悛爲長史，加冠軍將軍、廣陵太守。
HCH_015_037_000095	轉持節、都督司州諸軍事、司州刺史，將軍如故。
HCH_015_037_000096	悛父勔討殷琰，平壽陽，無所犯害，百姓德之，爲立碑祀。
HCH_015_037_000097	悛步道從壽陽之鎮，過勔碑，拜敬泣涕。
HCH_015_037_000098	初，義陽人夏伯宜殺剛陵戍主叛渡淮，虜以爲義陽太守。
HCH_015_037_000099	悛設討購誘之，虜△州刺史謝景殺伯宜兄弟、北襄城太守李榮公歸降。
HCH_015_037_000100	悛於州治下立學校，得古禮器銅罍、銅甑、山罍樽、銅豆鍾各二口，獻之。
HCH_015_037_000101	遷長兼侍中。
HCH_015_037_000102	車駕數幸悛宅。
HCH_015_037_000103	宅盛治山池，造甕牖。
HCH_015_037_000104	世祖著鹿皮冠，被悛菟皮衾，於牖中宴樂，以冠賜悛，至夜乃去。
HCH_015_037_000105	後悛從駕登蔣山，上數歎曰：「貧賤之交不可忘，糟糠之妻不下堂。」
HCH_015_037_000106	顧謂悛曰：「此況卿也。世言富貴好改其素情，吾雖有四海，今日與卿盡布衣之適。」
HCH_015_037_000107	悛起拜謝。
HCH_015_037_000108	遷冠軍將軍，司徒左長史。
HCH_015_037_000109	尋以本官行北兖州緣淮諸軍事。
HCH_015_037_000110	徙始興王前軍長史、平蠻校尉、蜀郡太守，將軍如故，行益州府、州事。
HCH_015_037_000111	郡尋改爲內史。
HCH_015_037_000112	隨府轉安西。
HCH_015_037_000113	悛治事嚴辦，以是會旨。
HCH_015_037_000114	宋代太祖輔政，有意欲鑄錢，以禪讓之際，未及施行。
HCH_015_037_000115	建元四年，奉朝請孔覬上鑄錢均貨議，辭證甚博。
HCH_015_037_000116	其略以爲「食貨相通，理勢自然。李悝曰『糴甚貴傷民，甚賤傷農』。民傷則離散，農傷則國貧。甚賤與甚貴，其傷一也。三吳國之關閫，比歲被水潦而糴不貴，是天下錢少，非穀穰賤，此不可不察也。鑄錢之弊，在輕重屢變。重錢患難用，而難用爲累輕；輕錢弊盜鑄，而盜鑄爲禍深。民所盜鑄，嚴法不禁者，由上鑄錢惜銅愛工也。惜銅愛工者，謂錢無用之器，以通交易，務欲令輕而數多，使省工而易成，不詳慮其爲患也。自漢鑄五銖錢，至宋文帝，歷五百餘年，制度世有廢興，而不變五銖錢者，明其輕重可法，得貨之宜。以爲宜開置泉府，方牧貢金，大興鎔鑄。錢重五銖，一依漢法。府庫已實，國用有儲，乃量奉祿，薄賦稅，則家給民足。頃盜鑄新錢者，皆效作翦鑿，不鑄大錢也。摩澤淄染，始皆類故；交易之後，渝變還新。良民弗皆淄染，不復行矣。所鬻賣者，皆徒失其物。盜鑄者，復賤買新錢，淄染更用，反覆生詐，循環起姦，此明主尤所宜禁而不可長也。若官鑄已布於民，便嚴斷翦鑿，小輕破缺無周郭者，悉不得行，官錢細小者，稱合銖兩，銷以爲大。利貧良之民，塞姦巧之路。錢貨旣均，遠近若一，百姓樂業，市道無爭，衣食滋殖矣。」
