HCH_010_042_000046	加大餘二十九，小餘二千九十。
HCH_010_042_000047	小餘滿日法從大餘，大餘滿六旬去之，命如前，次月朔也。
HCH_010_042_000048	求弦望：加朔大餘七，小餘千五百七，小分一。
HCH_010_042_000049	小分滿四從小餘，小餘滿日法從大餘，命如前，上弦日也。
HCH_010_042_000050	又加得望，又加得下弦，又加得後月朔也。
HCH_010_042_000051	推閏術：以閏餘減章歲，余滿閏法得一月，命以天正，算外，閏所在也。
HCH_010_042_000052	閏有進退，以無中氣為正。
HCH_010_042_000053	推二十四氣：置入上元年數算外，以餘數乘之，滿紀法為積日，不盡為小餘。
HCH_010_042_000054	六旬去積日，不盡為大餘。
HCH_010_042_000055	大餘命以甲子，算外，天正十一月冬至日也。
HCH_010_042_000056	求次氣：加大餘十五，小餘八千六百二十六，小分五。
HCH_010_042_000057	小分滿六從小餘，小餘滿紀法從大餘，命如前，次氣日也。
HCH_010_042_000058	求土王用事：加冬至大餘二十七，小餘萬五千五百二十八，季冬土用事日也。
HCH_010_042_000059	又加大餘九十一，小餘萬二千二百七十，次土用事日也。
HCH_010_042_000060	推沒術：以九十乘冬至小餘，以減沒分，滿沒法為日，不盡為日餘，命日以冬至，算外，沒日也。
HCH_010_042_000061	求次沒：加日六十九，日餘三萬四千四百四十二，余滿沒法從日，次沒日也。
HCH_010_042_000062	日餘盡為滅。
HCH_010_042_000063	推日所在度術：以紀法乘朔積日為度實，周天去之，余滿紀法為積度，不盡為度餘。
HCH_010_042_000064	命以虛一，次宿除之，算外，天正十一月朔夜半日所在度也。
HCH_010_042_000065	求次月：大月加度三十，小月加度二十九，入虛去度分。
HCH_010_042_000066	求行分：以小分法除度餘，所得為行分，不盡為小分，小分滿法從行分，行分滿法從度。
HCH_010_042_000067	求次日：加一度。
HCH_010_042_000068	入虛去行分六，小分百四十七。
HCH_010_042_000069	以朔小餘乘百二十四為度餘，又以朔小餘乘八百六十為微分，微分滿月法從度餘，度餘滿紀法為度。
HCH_010_042_000070	以減朔夜半日所在，則月所在度。
HCH_010_042_000071	求次月：大月加度三十五，度餘三萬一千八百三十四，微分七萬七千九百六十七，小月加度二十二，度餘萬七千二百六十一，微分六萬二千七百三十六，入虛去度也。
HCH_010_042_000072	遲疾歷：推入遲疾歷術：以通法乘朔積日為通實，通周去之，余滿通法為日，不盡為日餘。
HCH_010_042_000073	命日算外，天正十一月朔夜半入歷日也。
HCH_010_042_000074	求次月：大月加二日，小月加一日，日餘皆萬一千七百四十六。
HCH_010_042_000075	歷滿二十七日，日餘萬四千六百三十一，則去之。
HCH_010_042_000076	求次日：加一日。
HCH_010_042_000077	求日所在定度：以夜半入歷日餘乘損益率，以損益盈縮積分，如差率而一，所得滿紀法為度，不盡為度餘，以盈加縮減平行度及余為定度。
HCH_010_042_000078	益之或滿法，損之或不足，以紀法進退。
HCH_010_042_000079	求度行分如上法。
HCH_010_042_000080	求次日，如所入遲疾加之。
HCH_010_042_000081	虛去分，如上法。
HCH_010_042_000082	推入陰陽歷術：置通實以會周去之，不滿交數三十五萬八千八百八十八半為朔入陽歷分，各去之，為朔入陰歷分，各滿通法得一日，不盡為日餘。
HCH_010_042_000083	命日算外，天正十一月朔夜半入歷日也。
HCH_010_042_000084	求次月：大月加二日，小月加一日，日餘皆二萬七百七十九。
HCH_010_042_000085	歷滿十三日，日餘萬五千九百八十七半，則去之。
HCH_010_042_000086	陽竟入陰，陰竟入陽。
HCH_010_042_000087	求次日：加一日。
HCH_010_042_000088	求朔望差：以二千二十九乘朔小餘，滿三百三為日餘，不盡倍之為小分，則朔差數也。
HCH_010_042_000089	加一十四日，日餘二萬一百八十六，小分百二十五。
HCH_010_042_000090	小分滿六百六從日餘，日餘滿通法為日，即望差數也。
HCH_010_042_000091	又加之，後月朔也。
HCH_010_042_000092	求合朔月食：置朔望夜半入陰陽歷及余，有半者去之，置小分三百三，以差數加之。
HCH_010_042_000093	小分滿六百六從日餘，日餘滿通法從日，日滿一歷去之。
HCH_010_042_000094	命日算外，則朔望加時入歷也。
HCH_010_042_000095	朔望加時入歷一日，日餘四千一百九十八，小分四百二十八以下，十二日，日餘萬一千七百八十八，小分四百八十一以上，朔則交會，望則月食。
HCH_010_042_000096	求合朔月食定大小餘：令差數日餘加夜半入遲疾歷余，日餘滿通法從日，則朔望加時入歷也。
HCH_010_042_000097	以入歷余乘損益率，以損益盈縮積分，如差法而一，以盈減縮加本朔望小餘為定小餘。
HCH_010_042_000098	益之或滿法，損之或不足，以日法進退日。
HCH_010_042_000099	求合朔月食加時：以十二乘定小餘，滿日法得一辰，命以子，算外，加時所在辰也。
HCH_010_042_000100	有餘者四之，滿日法得一為少，二為半，三為太。
HCH_010_042_000101	又有餘者三之，滿日法得一為強，以強並少為少強，並半為半強，並太為太強。
HCH_010_042_000102	得二者為少弱，以並少為半弱，並半為太弱，並太為一辰弱，以前辰名之。
HCH_010_042_000103	求月去日道度：置入陰陽歷余乘損益率，如通法而一，以損益兼數為定。
HCH_010_042_000104	定數十二而一為度。
HCH_010_042_000105	不盡四而一，為少、半、太。
HCH_010_042_000106	又不盡者三而一，一為強，二為少弱，則月去日道數也。
HCH_010_042_000107	陽歷在表，陰歷在裏。
HCH_010_042_000108	測景漏刻中星數：求昏明中星：各以度數如夜半日所在，則中星度。
HCH_010_042_000109	推五星術：木率：千五百七十五萬三千八十二。
HCH_010_042_000110	火率：三千八十萬四千一百九十六。
HCH_010_042_000111	土率：千四百九十三萬三百五十四。
HCH_010_042_000112	金率：二千三百六萬一十四。
HCH_010_042_000113	水率：四百五十七萬六千二百四。
HCH_010_042_000114	推五星術：置度實各以率去之，余以減率，其餘，如紀法而一，為入歲日，不盡為日餘，命以天正朔，算外，星合日。
HCH_010_042_000115	求星合度：以入歲日及余從天正朔日積度及余，滿紀法從度，滿三百六十餘度分則去之，命以虛一，算外，星合所在度也。
HCH_010_042_000116	求星日見：以術伏日及余加星合日及余，余滿紀法從日，命如前，見日也。
HCH_010_042_000117	求星見度：以術伏度及余加星合度及余，余滿紀法從度，入虛去度分，命如前，星見度也。
HCH_010_042_000118	行五星法：以小分法除度餘，所得為行分，不盡為小分，及日加所行分，滿法從度，留者因前，逆則減之，伏不盡度。
HCH_010_042_000119	從行入虛，去行分六，小分百四十七，逆往出虛，則加之。
HCH_010_042_000120	初與日合，伏，十六日，日餘萬七千八百三十二，行二度，度餘三萬七千五百四，晨見東方。
HCH_010_042_000121	從，日行四分，百一十二日行十九度十一分。
HCH_010_042_000122	留，二十八日。
HCH_010_042_000123	逆，日行三分，八十六日退十一度五分。
HCH_010_042_000124	又留二十八日。
HCH_010_042_000125	從，日行四分，百一十二日，夕伏西方，日度餘如初。
HCH_010_042_000126	一終三百九十八日，日餘三萬五千六百六十四，行三十三度，度餘二萬五千二百一十五。
HCH_010_042_000127	初與日合，伏，七十二日，日餘六百八，行五十五度，度餘二萬八千八百六十五，晨見東方。
HCH_010_042_000128	從，疾，日行十七分，九十二日行六十八度。
HCH_010_042_000129	小遲，日行十四分，九十二日行五十六度。
HCH_010_042_000130	大遲，日行九分，九十二日行三十六度。
HCH_010_042_000131	留，十日。
HCH_010_042_000132	逆，日行六分，六十四日退十六度十六分。
HCH_010_042_000133	又留，十日。
HCH_010_042_000134	從，遲，日行九分，九十二日。
HCH_010_042_000135	小疾，日行十四分，九十二日。
HCH_010_042_000136	大疾，日行十七分，九十二日。
HCH_010_042_000137	夕伏西方，日度餘如初。
HCH_010_042_000138	一終七百八十日，日餘千二百一十六，行四百一十四度，度餘三萬二百五十八，除一周，定行四十九度，度餘萬九千八百九。
HCH_010_042_000139	初與日合，伏，十七日，日餘千三百七十八，行一度，度餘萬九千三百三十三，晨見東方，行順，日行二分，八十四日行七度七分。
HCH_010_042_000140	留，三十三日。
HCH_010_042_000141	行逆，日行一分，百一十日退四度十八分。
HCH_010_042_000142	又留，三十三日。
HCH_010_042_000143	從，日行二分，八十四日，夕伏西方，日度餘如初。
HCH_010_042_000144	一終三百七十八日，日餘二千七百五十六，行十二度，度餘三萬一千七百九十八。
HCH_010_042_000145	初與日合，伏，三十九日，日餘三萬八千一百二十六，行四十九度，度餘三萬八千一百二十六，夕見西方。
HCH_010_042_000146	從，疾，日行一度五分，九十二日行百十二度。
HCH_010_042_000147	小遲，日行一度四分，九十二日行百八度。
HCH_010_042_000148	大遲，日行十七分，四十五日行三十三度六分。
HCH_010_042_000149	留，九日。
HCH_010_042_000150	遲，日行十六分，九日退六度六分，夕伏西方。
HCH_010_042_000151	伏五日，退五度，而與日合。
HCH_010_042_000152	又五日退五度，而晨見東方，逆，日行十六分，九日，留，九日。
HCH_010_042_000153	從，遲，日行十七分，四十五日。
HCH_010_042_000154	小疾，日行一度四分，九十二日。
HCH_010_042_000155	大疾，日行一度五分，九十二日。
HCH_010_042_000156	晨伏東方，日度餘如初。
HCH_010_042_000157	一終五百八十三日，日餘三萬六千七百六十一，行星如之。
HCH_010_042_000158	除一周，定行二百十八度，度餘二萬六千三百一十三。
HCH_010_042_000159	合二百九十一日，日餘三萬八千一百二十六，行星亦如之。
HCH_010_042_000160	初與日合，伏，十四日，日餘三萬七千一百一十五，行三十度，度餘三萬七千一百一十五，夕見西方。
HCH_010_042_000161	從，疾，日行一度六分，二十三日行二十九度遲，日行二十分，八日行六度二十二分。
HCH_010_042_000162	留，二日。
HCH_010_042_000163	遲，日行十一分，二日退二十二分，夕伏西方。
HCH_010_042_000164	伏八日，退八度，而與日合。
HCH_010_042_000165	又八日退八度，晨見東方。
HCH_010_042_000166	逆，日行十一分，二日。
HCH_010_042_000167	留，二日。
HCH_010_042_000168	從，遲，日行二十分，八日。
HCH_010_042_000169	疾，日行一度六分，二十三日。
HCH_010_042_000170	晨伏東方，日度餘如初。
HCH_010_042_000171	一終百一十五日，日餘三萬四千七百三十九，行星如之。
HCH_010_042_000172	一合五十七日，日餘三萬七千一百一十五，行星亦如之。
HCH_010_042_000173	上元之歲，歲在甲子，天正甲子朔夜半冬至，日月五星聚於虛度之初，陰陽遲疾亦自此始。
HCH_010_042_000174	梁武帝天監三年，沖之子恒上疏，論何承天歷乖謬不可用。
HCH_010_042_000175	九年正月，詔用祖沖之所造《甲子元曆》頒朔。
HCH_010_042_000176	陳氏因梁，亦用祖沖之歷。
HCH_010_042_000177	至遼，聖宗以賈俊所進新歷，因宋《大明》舊號行之。
HCH_010_042_000178	金曰《重修大明曆》。
HCH_010_042_000179	傳至皇元亦曰《重修大明曆》。
HCH_010_042_000180	及改《授時曆》，別立司天監存肄之，每歲甲子冬至重修其法。
HCH_010_042_000181	書在太史院，禁莫得聞。
HCH_010_042_000182	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
