HCH_012_268_000056	御史張宸極言：「賊自秦中來。秦將曹文詔威名宿著，士民為之謠曰『軍中有一曹，西賊聞之心膽搖』。且嘗立功晉中，而秦賊滅且盡。宜敕令入晉協剿。」
HCH_012_268_000057	於是命陜西、山西諸將並受文詔節制。
HCH_012_268_000058	六年正月抵霍州，敗賊汾河、盂系，追及於壽陽。
HCH_012_268_000059	巡撫許鼎臣遣謀士張宰先大軍嘗賊，賊驚潰。
HCH_012_268_000060	二月，文詔追擊之，斬混世王於碧霞村。
HCH_012_268_000061	余黨為猛如虎逐走，遇文詔兵方山，復敗。
HCH_012_268_000062	五臺、盂、定襄、壽陽賊盡平。
HCH_012_268_000063	鼎臣命文詔軍平定，備太原東，張應昌軍汾州，備太原西。
HCH_012_268_000064	文詔連敗賊太谷、範村、榆社，太原賊幾盡。
HCH_012_268_000065	帝以文詔功多，敕所過地多積糗糧以犒，並敕文詔速平賊。
HCH_012_268_000066	山西監視中官劉中允言文詔剿賊徐溝、盂、定襄，所司不給米，反以炮石傷士卒。
HCH_012_268_000067	帝即下御史按問。
HCH_012_268_000068	三月，賊從河內上太行，文詔大敗之澤州。
HCH_012_268_000069	賊走潞安，文詔至陽城遇賊不擊，自沁水潛師，還擊之芹地、劉村寨，斬首千餘。
HCH_012_268_000070	四月，賊屯潤城，其他部陷平順，殺知縣徐明揚。
HCH_012_268_000071	文詔至，賊走，乃夜半襲潤城，斬賊千五百。
HCH_012_268_000072	紫金梁、老回回自榆社走武鄉，過天星走高澤山，文詔皆擊敗。
HCH_012_268_000073	他賊圍涉縣，聞文詔破賊黎城，解去。
HCH_012_268_000074	五月，帝遣中官孫茂霖為文詔內中軍。
HCH_012_268_000075	賊犯沁水，文詔大敗之，擒其魁大虎，又敗之遼城毛嶺山西。
HCH_012_268_000076	賊既屢敗，乃避文詔鋒，多流入河北。
HCH_012_268_000077	帝乃命文詔移師往討。
HCH_012_268_000078	而賊已敗鄧玘兵於林縣，文詔率五營軍夜襲破之。
HCH_012_268_000079	七月大敗懷慶賊柴陵村，馘其魁滾地龍，又追斬老回回於濟源。
HCH_012_268_000080	文詔在洪洞時，與裏居御史劉令譽忤。
HCH_012_268_000081	及是，令譽按河南，而四川石矽土官馬鳳儀軍敗沒於侯家莊，賴文詔馳退賊。
HCH_012_268_000082	甫解甲，與令譽相見，語復相失。
HCH_012_268_000083	文詔拂衣起，面叱之。
HCH_012_268_000084	令譽怒，遂以鳳儀之敗為文詔罪。
HCH_012_268_000085	部議文詔怙勝而騎，乃調之大同。
HCH_012_268_000086	七年七月，大清兵西征插漢，還師入大同境，攻拔得勝堡、參將李全自經，遂攻圍懷仁縣及井坪堡、應州。
HCH_012_268_000087	文詔偕總督張宗衡先駐懷仁固守。
HCH_012_268_000088	八月，圍解，即移駐鎮城，挑戰敗還。
HCH_012_268_000089	已而靈丘及他屯堡多失陷，大清兵亦旋。
HCH_012_268_000090	十一月論罪，文詔、宗衡及巡撫胡沾恩並充軍邊衛。
HCH_012_268_000091	令甫下，山西巡撫吳甡薦文詔知兵善戰，請用之晉中。
HCH_012_268_000092	乃命為援剿總兵官，立功自贖。
HCH_012_268_000093	當是時，河南禍尤劇，帝已允兵部議，敕文詔馳剿河南賊。
HCH_012_268_000094	甡復抗疏力爭，請令先平晉賊，後入豫，帝不許。
HCH_012_268_000095	而文詔以甡有恩，竟取道太原，為甡所留。
HCH_012_268_000096	會賊高加計已殲，而鳳陽告陷，遂整兵南，以八年三月會總督洪承疇於信陽。
HCH_012_268_000097	承疇大喜，即令擊賊隨州，文詔追斬賊三百八十有奇。
HCH_012_268_000098	四月，承疇次汝州。
HCH_012_268_000099	以賊盡入關中，議還顧根本。
HCH_012_268_000100	分命諸將扼要害，檄文詔入關，文詔乃馳至靈寶謁承疇。
HCH_012_268_000101	承疇以賊在商、雒，聞官兵至，必先走漢中，而大軍由潼關入，反在其後，乃令文詔由閿鄉取山路至雒南、商州，直搗賊巢，復從山陽、鎮安、洵陽馳入漢中，遏其奔軼。
HCH_012_268_000102	曰：「此行也，道路回遠，將軍甚勞苦，吾集關中兵以待將軍。」
HCH_012_268_000103	拊其背而遣之，文詔跌馬去。
HCH_012_268_000104	五月五日抵商州。
HCH_012_268_000105	賊去城三十里，營火滿山。
HCH_012_268_000106	文詔夜半率從子參將變蛟、守備鼎蛟、都司白廣恩等敗賊深林中，追至金嶺川。
HCH_012_268_000107	賊據險以千騎逆戰，變蛟大呼陷陣，諸軍並進，賊敗走。
HCH_012_268_000108	變蛟勇冠三軍，賊中聞大小曹將軍名，皆怖懾。
HCH_012_268_000109	已而闖王、八大王諸賊犯鳳翔，趨汧陽、隴州，文詔自漢中馳赴。
HCH_012_268_000110	賊盡向靜寧、泰安、清水、秦州間，眾且二十萬。
HCH_012_268_000111	承疇以文詔所部合張全昌、張外嘉軍止六千，眾寡不敵，告急於朝，未得命。
HCH_012_268_000112	六月，官軍遇賊亂馬川。
HCH_012_268_000113	前鋒中軍劉弘烈被執，俄副將艾萬年、柳國鎮復戰死。
HCH_012_268_000114	文詔聞之，瞋目大罵，亟詣承疇請行。
HCH_012_268_000115	承疇喜曰：「非將軍不能滅此賊。顧吾兵已分，無可策應者。將軍行，吾將由涇陽趨淳化為後勁。」
HCH_012_268_000116	文詔乃以三千人自寧州進，遇賊真寧之湫頭鎮。
HCH_012_268_000117	變蛟先登，斬首五百，追三十里，文詔率步兵繼之。
HCH_012_268_000118	賊伏數萬騎合圍，矢猬集。
HCH_012_268_000119	賊不知為文詔也，有小卒縛急，大呼曰：「將軍救我！」
HCH_012_268_000120	賊中叛卒識之，惎賊曰：「此曹總兵也。」
HCH_012_268_000121	賊喜，圍益急。
HCH_012_268_000122	文詔左右跳蕩，手擊殺數十人，轉鬥數里。
HCH_012_268_000123	力不支，拔刀自刎死。
HCH_012_268_000124	遊擊平安以下死者二十餘人。
HCH_012_268_000125	承疇聞，拊膺大哭，帝亦痛悼，贈太子太保、左都督，賜祭葬，世蔭指揮僉事，有司建祠，春秋致祭。
HCH_012_268_000126	文詔忠勇冠時，稱明季良將第一。
HCH_012_268_000127	其死也，賊中為相慶。
HCH_012_268_000128	弟文耀，從兄征討，數有功。
HCH_012_268_000129	河曲之戰，斬獲多。
HCH_012_268_000130	後擊賊忻州，戰死城下。
HCH_012_268_000131	詔予贈恤。
HCH_012_268_000132	從子變蛟，自有傳。
HCH_012_268_000133	周遇吉，錦州衛人。
HCH_012_268_000134	少有勇力，好射生。
HCH_012_268_000135	後入行伍，戰輒先登，積功至京營遊擊。
HCH_012_268_000136	京營將多勛戚中官子弟，見遇吉質魯，意輕之。
HCH_012_268_000137	遇吉曰：「公等皆紈褲子，豈足當大敵。何不於無事時練膽勇，為異日用，而徒糜廩祿為！」
HCH_012_268_000138	同輩鹹目笑之。
HCH_012_268_000139	崇禎九年，都城被兵。
HCH_012_268_000140	從尚書張鳳翼數血戰有功，連進二秩，為前鋒營副將。
HCH_012_268_000141	明年冬，從孫應元等討賊河南，戰光山、固始，皆大捷。
HCH_012_268_000142	十一年班師，進秩受賚。
HCH_012_268_000143	明年秋，復出討賊，破胡可受於淅川，降其全部。
HCH_012_268_000144	楊嗣昌出師襄陽，遇吉從中官劉元斌往會。
HCH_012_268_000145	會張獻忠將至房縣，嗣昌策其必窺渡鄖灘，遣遇吉扼守槐樹關，張一龍屯光化，賊遂不敢犯。
HCH_012_268_000146	十二月，獻忠敗於興安，將走竹山、竹溪，遇吉復以嗣昌令至石花街、草店扼其要害，賊自是盡入蜀。
HCH_012_268_000147	遇吉乃從元斌駐荊門，專護獻陵。
HCH_012_268_000148	明年與孫應元等大破羅汝才於豐邑坪。
HCH_012_268_000149	又明年與黃得功追破賊鳳陽。
HCH_012_268_000150	已而旋師，敗他賊李青山於壽張，追至東平，殲滅幾盡，青山遂降。
HCH_012_268_000151	屢加太子少保、左都督。
HCH_012_268_000152	十五年冬，山西總兵官許定國有罪論死，以遇吉代之。
HCH_012_268_000153	至則汰老弱，繕甲仗，練勇敢，一軍特精。
HCH_012_268_000154	明年十二月，李自成陷全陜，將犯山西。
HCH_012_268_000155	遇吉以沿河千餘里，賊處處可渡，分兵扼其上流，以下流蒲阪屬之巡撫蔡懋德，而請濟師於朝。
HCH_012_268_000156	朝廷遣副將熊通以二千人來赴。
HCH_012_268_000157	十七年正月，遇吉令通防河。
HCH_012_268_000158	會平陽守將陳尚智已遣使迎賊，諷通還鎮說降。
HCH_012_268_000159	遇吉叱之曰：「吾受國厚恩，寧從爾叛逆！且爾統兵二千，不能殺賊，反作說客邪！」
HCH_012_268_000160	立斬之，傳首京師。
HCH_012_268_000161	至二月七日，太原陷，懋德死之。
HCH_012_268_000162	賊遂陷忻州，圍代州。
HCH_012_268_000163	遇吉先在代遏其北犯，乃憑城固守，而潛出兵奮擊。
HCH_012_268_000164	連數日，殺賊無算。
HCH_012_268_000165	會食盡援絕，退保寧武。
HCH_012_268_000166	賊亦踵至，大呼五日不降者屠其城。
HCH_012_268_000167	遇吉四面發大炮，殺賊萬人，火藥且盡，外圍轉急。
HCH_012_268_000168	或請甘言紿之，遇吉怒曰：「若輩何怯邪！今能勝，一軍皆忠義。即不支，縛我予賊。」
HCH_012_268_000169	於是設伏城內，出弱卒誘賊入城，亟下閘殺數千人。
HCH_012_268_000170	賊用炮攻城，圮復完者再，傷其四驍將。
HCH_012_268_000171	自成懼，欲退。
HCH_012_268_000172	其將曰：「我眾百倍於彼，但用十攻一，番進，蔑不勝矣。」
HCH_012_268_000173	自成從之。
HCH_012_268_000174	前隊死，後復繼。
HCH_012_268_000175	官軍力盡，城遂陷。
HCH_012_268_000176	遇吉巷戰，馬蹶，徒步跳蕩，手格殺數十人。
HCH_012_268_000177	身被矢如猬，竟為賊執，大罵不屈。
HCH_012_268_000178	賊懸之高竿，叢射殺之，復臠其肉。
HCH_012_268_000179	城中士民感遇吉忠義，巷戰殺賊，不可勝計。
HCH_012_268_000180	其舍中兒，先從遇吉出鬥，死亡略盡。
