HCH_010_064_000113	子察割弒逆被誅，穆宗赦通謀罪，放歸田里。
HCH_010_064_000114	蘇，字獨昆。
HCH_010_064_000115	第六。
HCH_010_064_000116	神冊五年，為惕隱。
HCH_010_064_000117	六年，為南府宰相。
HCH_010_064_000118	言無隱情，太祖尤愛之。
HCH_010_064_000119	滄州節度使劉守文求救，太祖命往救，解滄州圍。
HCH_010_064_000120	剌葛詐降，蘇往來其間。
HCH_010_064_000121	既平，蘇力為多。
HCH_010_064_000122	天贊三年，與迭里略地西南。
HCH_010_064_000123	天顯初，征渤海，攻破忽汗城，大諲譔降。
HCH_010_064_000124	性柔順，事上忠謹。
HCH_010_064_000125	太祖二十功臣，蘇居其一。
HCH_010_064_000126	在南府，以賄聞，民頗怨。
HCH_010_064_000127	征渤海國還，薨。
HCH_010_064_000128	已上並係季父房。
HCH_010_064_000129	太祖四子：淳欽皇后蕭氏生三子，太宗第二，見帝紀。
HCH_010_064_000130	倍，小字圖欲，唐明宗賜姓東丹，名慕華，改賜姓李，名贊華。
HCH_010_064_000131	第一。
HCH_010_064_000132	神冊元年，立為皇太子。
HCH_010_064_000133	天顯元年，為東丹國人皇王，建元甘露，稱制行事，置左右大相及百官，一用漢法。
HCH_010_064_000134	太宗立詔居東平郡，升為南京。
HCH_010_064_000135	太宗諡曰文武元皇王。
HCH_010_064_000136	世宗諡讓國皇帝。
HCH_010_064_000137	統和中，更諡文獻皇帝。
HCH_010_064_000138	重熙二十一年，增諡文獻欽義皇帝。
HCH_010_064_000139	唐遣人來招，倍浮海奔唐，唐人迎以天子儀衞改瑞州為懷化軍，拜懷化軍節度使，瑞、慎等州觀察使。
HCH_010_064_000140	移鎮滑州。
HCH_010_064_000141	召入，遙領虔州節度使。
HCH_010_064_000142	聰敏好學，通陰陽、醫藥、箴灸之術，知音律，善畫，工文章。
HCH_010_064_000143	太祖征烏古、党項，倍為先鋒都統。
HCH_010_064_000144	經略燕地，至定州。
HCH_010_064_000145	聞太祖與李存勗相拒于雲碧店，引兵馳赴，存勗退走。
HCH_010_064_000146	陳渤海可取之計。
HCH_010_064_000147	天顯元年，從征渤海，拔扶餘城，太祖欲括戶口，諫止，且勸乘勢攻忽汗城，夜圍降之。
HCH_010_064_000148	唐李從珂自立，密報太宗曰：「從珂弒君，不可不討。」
HCH_010_064_000149	外寬內忍，刻急，喜殺人。
HCH_010_064_000150	唐主從珂將自焚，遣壯士李彥紳害之，薨年三十八，葬醫巫閭山。
HCH_010_064_000151	子婁國、隆先、道隱。
HCH_010_064_000152	已下並係橫帳。
HCH_010_064_000153	李胡，一名洪古，字奚隱。
HCH_010_064_000154	第三。
HCH_010_064_000155	天顯五年，立為皇太弟。
HCH_010_064_000156	統和中，追諡欽順皇帝。
HCH_010_064_000157	重熙二十一年，更諡章肅皇帝。
HCH_010_064_000158	天顯五年，兼天下兵馬大元帥。
HCH_010_064_000159	勇悍多力。
HCH_010_064_000160	天顯五年，徇代北，攻寰州，多俘而還。
HCH_010_064_000161	太宗凡親征，常留守京師。
HCH_010_064_000162	性酷忍，小怒，輒黥人面，或投水火中。
HCH_010_064_000163	世宗即位于鎮陽，太后怒，遣李胡將兵往擊，至泰德泉，為安端、劉哥所敗。
HCH_010_064_000164	耶律屋質諫太后，李胡作色曰：「我在，兀欲安得立﹖」屋質曰：「民心畏公酷暴，無如之何！」
HCH_010_064_000165	太后曰：「我與太祖愛汝異於諸子。諺曰：「偏憐之子不保業，難得之婦不主家。』我非不欲立汝，汝自不能矣。」李胡往世宗軍議和，解劎而後見。和約定，趨上京。有告李胡與太后謀廢立，徙祖州。穆宗時，喜隱反，辭連李胡，囚之。死于囚所，年五十，葬玉峯山西谷。二子：宋王喜隱、衞王宛。宮人蕭氏生一子。牙里果，字敵輦。第四。自晉還，始為惕隱。性沉默，善騎射。天顯三年，救耶律沙于定州，為李嗣源所獲，至石晉立，始得還。以病薨。二子：敵烈、奚底，皆知名。太宗五子：靖安皇后蕭氏生二子，穆宗第一，見帝紀。罨撤葛。第二。會同元年，封太平王。世宗詔許與晉主往復以昆弟禮。景宗封齊王，贈皇太叔，諡欽靖。穆宗委以國政。謀亂，令司天魏璘卜日，覺，貶西北邊戍。景宗即位，撒葛懼，竄于大漠，召還，釋其罪。保寧四年，病疽薨。宮人蕭氏生三子。天德，字苾扇。第三。猛悍趫捷，人望而畏。太宗討石重貴，至望都，晉將杜重威率兵十萬先據河梁。上欲以計破之，募能斷糧道者，天德請以五千騎行。許之。從間道擊走衞送之軍，火其輜重。重威窮蹙，乃降。會同三年，與邸用和使晉。世宗即位，遣天德護送太宗靈柩于上京。太后遣李胡拒世宗，遇耶律留哥等于泰德泉，戰甚力，敗之。
HCH_010_064_000166	與李胡戰于泰德泉，太后聞之不悅，後不復用。
HCH_010_064_000167	與侍衞蕭翰謀反，繫獄。
HCH_010_064_000168	耶律留哥、盆都等辭連天德，併按之。
HCH_010_064_000169	天德斷鎖，不能出。
HCH_010_064_000170	天祿二年，伏誅。
HCH_010_064_000171	敵烈，字巴速菫。
HCH_010_064_000172	第四。
HCH_010_064_000173	保寧初，封冀王。
HCH_010_064_000174	多力善射。
HCH_010_064_000175	保寧初，宋人侵漢，與南府宰相耶律沙將兵往援，却敵而還。
HCH_010_064_000176	與宣徽使耶律海思等謀反，事覺，穆宗釋之。
HCH_010_064_000177	乾亨初，宋主攻河東，至白馬嶺，敵烈以先鋒度澗，未半，宋軍逆繫，師潰。
HCH_010_064_000178	歿于陣。
HCH_010_064_000179	子哇哥，白馬嶺之敗俱歿。
HCH_010_064_000180	必攝，字箴菫。
HCH_010_064_000181	第五。
HCH_010_064_000182	景宗封為越王。
HCH_010_064_000183	應曆間，族人恒特及蕭啜里有罪，欲亡，必攝密以聞。
HCH_010_064_000184	上以為忠，常以侍從。
HCH_010_064_000185	上好畜鹿，有傷斃及逸去，即殺主者。
HCH_010_064_000186	適欲誅一監養鹿官，必攝諫而免。
HCH_010_064_000187	景宗時，討党項有功。
HCH_010_064_000188	以疾薨。
HCH_010_064_000189	世宗三子：景宗第二。
HCH_010_064_000190	吼阿不。
HCH_010_064_000191	第一。
HCH_010_064_000192	舊史皇族傳書在第三，且云未詳所出。
HCH_010_064_000193	按景宗本紀云，景宗皇帝，世宗第二子。
HCH_010_064_000194	又按舊史本傳云，景宗立，親祭于墓，追冊為皇太子。
HCH_010_064_000195	當是世宗嫡長子也。
HCH_010_064_000196	景宗立，追冊為皇太子，諡莊聖。
HCH_010_064_000197	早薨。
HCH_010_064_000198	墓號太子院。
HCH_010_064_000199	妃甄氏生一子。
HCH_010_064_000200	只沒，字和魯菫。
HCH_010_064_000201	第三。
HCH_010_064_000202	舊史皇族傳書在第一。
HCH_010_064_000203	景宗封為寧王，保寧八年奪爵。
HCH_010_064_000204	統和元年，皇太后稱制，詔復舊爵。
HCH_010_064_000205	敏給好學，通契丹、漢字，能詩。
HCH_010_064_000206	統和元年，應皇太后命，賦移芍藥詩。
HCH_010_064_000207	應曆末，與宮人私通，上聞，怒，榜掠數百，刺一目而宮之，繫獄，將棄市。
HCH_010_064_000208	景宗即位，釋之，賜以所私宮人。
HCH_010_064_000209	保寧八年，妻造鴆毒，奪爵，貶烏古部。
HCH_010_064_000210	賦放鶴詩，徵還。
HCH_010_064_000211	景宗四子：睿智皇后蕭氏生三子，聖宗第一，見帝紀。
HCH_010_064_000212	隆慶，字燕隱，小字普賢奴。
HCH_010_064_000213	第二。
HCH_010_064_000214	八歲封恒王。
HCH_010_064_000215	統和十六年，徙王梁國。
HCH_010_064_000216	開泰初，更王晉國，進王秦晉，追贈皇太弟。
HCH_010_064_000217	初兼侍中。
HCH_010_064_000218	統和中，拜南京留守。
HCH_010_064_000219	開泰初，加守太師，兼政事令，尋拜大元帥，賜金券。
HCH_010_064_000220	統和十七年南征，為先鋒，至瀛州，遇宋將范庭召列陣以待。
HCH_010_064_000221	隆慶遣蕭柳擊敗之，逃入空墅，圍而盡殪。
HCH_010_064_000222	十九年，復敗宋人于行唐。
HCH_010_064_000223	入覲，還至北安州，浴溫泉，疾薨，葬醫巫閭山。
HCH_010_064_000224	子五人：查葛、遂哥、謝家奴、驢糞、蘇撒。
HCH_010_064_000225	隆祐，小字高七，一字胡都菫。
HCH_010_064_000226	第三。
HCH_010_064_000227	乾享初，封鄭王。
HCH_010_064_000228	統和中，徙王吳，更王楚。
HCH_010_064_000229	開泰初，改王齊。
HCH_010_064_000230	諡仁孝。
HCH_010_064_000231	重熙間，改諡孝靖。
HCH_010_064_000232	統和中伐宋，留守京師，拜西南面招討使。
HCH_010_064_000233	及征高麗，復留守京師，權知北院樞密使。
HCH_010_064_000234	出守東京。
HCH_010_064_000235	贈守太師。
HCH_010_064_000236	開泰元年薨。
HCH_010_064_000237	子三人：胡都古、合祿、貼不。
HCH_010_064_000238	一子不詳所出。
HCH_010_064_000239	藥師奴。
HCH_010_064_000240	第四。
HCH_010_064_000241	早卒，葬王子院。
HCH_010_064_000242	聖宗六子：欽哀皇后蕭氏生二子，興宗第一，見帝紀。
HCH_010_064_000243	重元，小字孛吉只。
HCH_010_064_000244	第二。
HCH_010_064_000245	太平三年，封秦國王。
HCH_010_064_000246	興宗立為皇太弟，賜金券。
HCH_010_064_000247	道宗冊為皇太叔，免拜，不名，復賜金券。
HCH_010_064_000248	歷南、北院樞密使，南京留守，知元帥府事。
HCH_010_064_000249	道宗拜天下兵馬大元帥。
HCH_010_064_000250	聖宗崩，欽哀皇后稱制，密謀立重元，重元以所謀白於上，上益重之。
HCH_010_064_000251	後雖處戎職，未嘗離輦下，尊寵古未之有。
HCH_010_064_000252	清寧九年，車駕秋獵灤水，重元子涅魯古與陳六、蕭胡覩等四百餘人謀反，誘脅弩手軍攻行宮。
HCH_010_064_000253	將戰，其黨多悔過効順，各奔潰。
HCH_010_064_000254	重元奔走大漠，歎曰：「涅魯古使我至此。」
HCH_010_064_000255	謀反，軍潰，自殺。
HCH_010_064_000256	子涅魯古謀反，戰歿。
HCH_010_064_000257	一子未詳所出。
HCH_010_064_000258	別古特，字撒懶。
HCH_010_064_000259	第三。
HCH_010_064_000260	重熙中，封柳城郡王。
HCH_010_064_000261	太平七年，遙領彰信軍節度使，為王子郎君班詳穩。
HCH_010_064_000262	重熙中，累遷契丹行宮都部署。
HCH_010_064_000263	明敏，善射。
HCH_010_064_000264	討夏國，督戰有功。
HCH_010_064_000265	討夏軍還，薨。
HCH_010_064_000266	僕隗氏生二子。
HCH_010_064_000267	吳哥，字洪隱。
HCH_010_064_000268	第四。
HCH_010_064_000269	燕王。
HCH_010_064_000270	開泰二年，為惕隱，出為南京留守。
HCH_010_064_000271	薨于南京。
HCH_010_064_000272	四世孫敵烈、朮烈。
HCH_010_064_000273	朮烈繼梁王雅里稱帝。
HCH_010_064_000274	狗兒，字屠魯昆。
HCH_010_064_000275	第五。
HCH_010_064_000276	太平元年，拜南府宰相。
HCH_010_064_000277	暴疾薨。
HCH_010_064_000278	姜氏生一子。
HCH_010_064_000279	侯古，字訛里本。
HCH_010_064_000280	第六。
HCH_010_064_000281	重熙十七年，封饒樂郡王。
HCH_010_064_000282	咸雍中，徙混同郡王。
HCH_010_064_000283	重熙初，王子郎君班詳穩，後為上京留守。
HCH_010_064_000284	薨于上京。
HCH_010_064_000285	興宗三子：仁懿皇后蕭氏生三子，道宗第一，見帝紀。
HCH_010_064_000286	和魯斡，字阿輦。
HCH_010_064_000287	第二。
HCH_010_064_000288	重熙十七年，封越王。
HCH_010_064_000289	清寧初，徙王魯，進王宋魏。
HCH_010_064_000290	乾統三年，冊為皇太叔。
HCH_010_064_000291	清寧中，拜上京留守，改南京留守。
HCH_010_064_000292	乾統初，為天下兵馬大元帥，加守太師，免拜，不名。
HCH_010_064_000293	三年，為惕隱，加義和仁壽之號，復守南京。
HCH_010_064_000294	重元亂，和魯斡夜赴戰。
HCH_010_064_000295	天祚即位，弛圍場之禁。
HCH_010_064_000296	和魯斡請曰：「天子以巡幸為大事，雖居諒陰，不可廢也。」
HCH_010_064_000297	上以為然，復命有司促備春水之行。
HCH_010_064_000298	從獵于慶州，薨。
HCH_010_064_000299	子三人：石篤、遠、淳。
HCH_010_064_000300	淳封秦晉王，稱帝。
HCH_010_064_000301	阿璉，字訛里本。
HCH_010_064_000302	第三。
HCH_010_064_000303	重熙十七年，封許王。
HCH_010_064_000304	清寧初，徙陳王、秦王，進封秦越國。
HCH_010_064_000305	追封秦魏國王，諡欽正。
HCH_010_064_000306	清寧中，出為遼興軍節度使。
HCH_010_064_000307	咸雍間，歷西京、上京留守。
HCH_010_064_000308	從車駕秋獵，以疾薨。
HCH_010_064_000309	道宗一子：宣懿皇后蕭氏生。
HCH_010_064_000310	濬，小字耶魯斡。
HCH_010_064_000311	第一。
HCH_010_064_000312	六歲封梁王，八歲立為皇太子，諡昭懷，以天子禮葬。
HCH_010_064_000313	乾統初，追尊大孝順聖皇帝，廟號順宗。
HCH_010_064_000314	大康元年，兼領北、南院樞密使。
HCH_010_064_000315	幼能言，好學，知書。
HCH_010_064_000316	文帝屢曰：「此子聰慧，殆天授。」
HCH_010_064_000317	七歲從獵，連中，二鹿，上謂左右曰：「祖先騎射絕人，威振天下，是兒雖幼，當不墜祖風。」
HCH_010_064_000318	後復遇十鹿，射之，得九，帝喜，為設宴。
HCH_010_064_000319	年二十，為乙辛誣害，囚上京，見殺，葬玉峰山。
HCH_010_064_000320	子天祚皇帝，諱延禧。
HCH_010_064_000321	天祚六子：文妃生一子。
HCH_010_064_000322	敖魯斡。
HCH_010_064_000323	第一。
HCH_010_064_000324	出繼大丞相耶律隆運後。
HCH_010_064_000325	初封晉王。
HCH_010_064_000326	喜揚人善，勸其不能，中外稱其長者。
HCH_010_064_000327	保大元年，南軍都統耶律余覩以敖盧斡有人望，與文妃密謀立之，不果，余覩降金，文妃伏誅，敖盧斡不與謀，得免。
HCH_010_064_000328	耶律撒八等復謀立敖盧斡，事覺，或勸之亡，曰：「安忍為蕞爾之軀，失臣子之節！」
HCH_010_064_000329	聞者傷之。
HCH_010_064_000330	保大二年，以得人心縊死。
HCH_010_064_000331	元妃生一子。
HCH_010_064_000332	雅里，字撒鸞。
HCH_010_064_000333	第二。
HCH_010_064_000334	七歲，欲立為太子，別置禁衞，封梁王。
HCH_010_064_000335	天祚奔夏，眾推稱帝，改元神曆。
HCH_010_064_000336	四子未詳所出。
HCH_010_064_000337	撻魯。
HCH_010_064_000338	第三。
HCH_010_064_000339	燕國王。
HCH_010_064_000340	早薨。
HCH_010_064_000341	習泥烈。
HCH_010_064_000342	趙王。
HCH_010_064_000343	從天祚至白水濼，為金師所獲。
HCH_010_064_000344	定。
HCH_010_064_000345	第五。
HCH_010_064_000346	秦王。
HCH_010_064_000347	至青塚濼，為金師所獲。
HCH_010_064_000348	寧。
HCH_010_064_000349	第六。
HCH_010_064_000350	許王。
HCH_010_064_000351	至青塚濼，為金師所獲。
HCH_010_064_000352	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
