HCH_010_053_000089	盞入，舍人贊，舞蹈，五拜，起居不表「聖躬萬福」。
HCH_010_053_000090	贊再拜。
HCH_010_053_000091	班首上殿拜跪，自通全銜祝壽訖，引下殿，復位，鞠躬。
HCH_010_053_000092	贊舞蹈，五拜。
HCH_010_053_000093	贊各祗候。
HCH_010_053_000094	引宰臣一員上殿，奏百僚諸道進表目。
HCH_010_053_000095	教坊起居，七拜，不賀。
HCH_010_053_000096	控鶴官起居，四拜。
HCH_010_053_000097	諸道押衙附奏起居，賜宴，共八拜。
HCH_010_053_000098	契丹、漢人合班，進壽酒，舞蹈，五拜。
HCH_010_053_000099	引大臣一員上殿，欄外褥搢笏，執臺盞進酒，皇帝、皇后受盞。
HCH_010_053_000100	退，復褥位。
HCH_010_053_000101	授臺出笏，欄內拜跪，自通全銜祝壽「臣等謹進千萬歲壽酒」，訖，引下殿，復位，舞蹈，五拜，鞠躬。
HCH_010_053_000102	宣徽使奏宣答如儀，引上殿，搢笏執臺。
HCH_010_053_000103	皇帝、皇后飲，殿下臣僚分班，教坊奏樂，皆拜，稱「萬歲」。
HCH_010_053_000104	卒飲，皇帝、皇后授盞。
HCH_010_053_000105	引下殿，舞蹈，五拜。
HCH_010_053_000106	贊各祗候，引出。
HCH_010_053_000107	臣僚進奉如儀，宣宴如儀。
HCH_010_053_000108	教坊、監盞、臣僚上殿祗候如儀。
HCH_010_053_000109	皇后進皇帝酒，殿上贊拜，侍臣僚皆拜。
HCH_010_053_000110	皇帝受盞，皆拜。
HCH_010_053_000111	皇后坐，契丹舍人、漢人閣使殿上贊拜，皆拜，稱「萬歲」。
HCH_010_053_000112	贊各就位。
HCH_010_053_000113	大臣進皇帝、皇后酒，行酒如儀。
HCH_010_053_000114	酒三行，行殽，行膳。
HCH_010_053_000115	又進皇帝、皇后酒。
HCH_010_053_000116	酒再行，大饌入，行粥。
HCH_010_053_000117	教坊致語，臣僚皆起立。
HCH_010_053_000118	口號絕，贊拜，稱「萬歲」，引下殿謝宴，引出，皆如常儀。
HCH_010_053_000119	進士接見儀：其日，舉人從時相至禦帳側，通名榜子與時相榜子同奏訖，時相朝見如常儀。
HCH_010_053_000120	畢，揖進士第一名以下丹墀內面殿鞠躬，通名，四拜。
HCH_010_053_000121	贊各祗候，皆退。
HCH_010_053_000122	若有進文字者，不退，奉卷平立。
HCH_010_053_000123	閣門奏受，跪左膝授訖，直起退。
HCH_010_053_000124	禮畢。
HCH_010_053_000125	進士賜等甲敕儀：臣僚起居畢，讀卷官奏訖，於左方依等甲唱姓名序立，閣門交收敕牒。
HCH_010_053_000126	閣使奏引至丹墀，依等甲序立。
HCH_010_053_000127	閣使稱「有敕」，再拜，鞠躬。
HCH_010_053_000128	舍人宣敕「各依等甲賜卿敕牒一道，想宜知悉」，揖拜。
HCH_010_053_000129	各跪左膝，受敕訖，鞠躬，皆再拜。
HCH_010_053_000130	各祗候，分引左右相向侍立。
HCH_010_053_000131	候奏事畢，引兩階上殿，就位，齊聲喏，賜坐。
HCH_010_053_000132	酒三行，起，聲喏如初。
HCH_010_053_000133	退揖出。
HCH_010_053_000134	禮畢。
HCH_010_053_000135	牌印郎君行酒，閣使勸飲。
