HCH_009_022_000087	置平交入經朔加時後算及餘秒，以日法通日，內餘，進二位，如三萬九千一百二十一分為度，不滿退除為分秒，以加其月經朔加時中積，然後以冬至加時黃道日度加而命之，即其得其月正交加時月離黃道宿度及分秒。
HCH_009_022_000088	如求次交者，以交終度及秒加而命之，即得所求。
HCH_009_022_000089	置正交時黃道宿全度，以正交加時月離黃道宿度及分秒減之，餘為距後度及分秒，以黃道宿度累加之，即各得正交後黃道宿積度及分秒。
HCH_009_022_000090	置黃道宿積度及分秒，滿交象度及分秒去之，如在半交象以下，為初限；以上者，以減交象度及分秒，餘為入末限。
HCH_009_022_000091	入交積度交象度並在交會術中。
HCH_009_022_000092	凡月行所交：冬入陰曆，夏入陽曆，月行青道。
HCH_009_022_000093	冬至夏至後，青道半交在春分之宿，當黃道東。
HCH_009_022_000094	立冬立夏後，青道半交在立春之宿，當黃道東南。
HCH_009_022_000095	至所沖之宿亦如之。
HCH_009_022_000096	冬入陽曆，夏入陰曆，月行白道。
HCH_009_022_000097	冬至夏至後，白道半交在秋分之宿，當黃道西。
HCH_009_022_000098	立冬立夏後，白道半交在立秋之宿，當黃道西北。
HCH_009_022_000099	至所沖之宿亦如之。
HCH_009_022_000100	春入陽曆，秋入陰曆，月行硃道。
HCH_009_022_000101	春分秋分後，硃道半交在夏至之宿，當黃道南。
HCH_009_022_000102	立春立秋後，硃道半交在立夏之宿，當黃道西南。
HCH_009_022_000103	至所沖之宿亦如之。
HCH_009_022_000104	春入陰曆，秋入陽曆，月行黑道。
HCH_009_022_000105	春分秋分後，黑道半交在冬至之宿當黃道北。
HCH_009_022_000106	立春立秋後，黑道半交在立冬之宿，當黃道東北。
HCH_009_022_000107	至所沖之宿亦如之。
HCH_009_022_000108	四序離為八節，至陰陽之所交，皆與黃道相會，故月行有九道。
HCH_009_022_000109	各以所入初末限度及分秒，減一百一度，餘以所入初末限度及分乘之，半而退位為分，分滿百為度，命為月道與黃道泛差。
