HCH_012_240_000034	已，忽傳旨，莊田非四萬頃不行，廷臣大駭。
HCH_012_240_000035	向高因進曰：「田四萬頃，必不能足，之國且無日，明旨又不信於天下矣。且王疏引祖制，而祖制無有是事。曩惟世宗時景王有之。景王久不之國，皇考在裕邸，危疑不安，此何可效也？」
HCH_012_240_000036	帝報曰：「莊田自有成例，且今大分已定，何猜？」
HCH_012_240_000037	向高因疏謝，言：「皇考時，名位雖未正，然講讀不輟，情意通。今東宮輟講八年，且不奉天顏久，而福王一日兩見，以故不能無疑。惟堅守明春期，而無以莊田藉口，天下疑自釋。」
HCH_012_240_000038	帝報福王無一日兩見事。
HCH_012_240_000039	向高有裁斷，善處大事。
HCH_012_240_000040	錦衣百戶王曰乾者，京師奸人也，與孔學、趙宗舜、趙思聖等相訐告。
HCH_012_240_000041	刑官讞未竟，曰乾乃入皇城放炮上疏。
HCH_012_240_000042	刑官大驚，將擬曰乾死罪。
HCH_012_240_000043	曰乾遂訐奏鄭妃內侍姜嚴山與學等及妖人王三詔用厭勝術詛咒皇太后、皇太子死，擁立福王。
HCH_012_240_000044	帝震怒，繞殿行半日，曰：「此大變事，宰相何無言？」
HCH_012_240_000045	內侍即跪上向高奏。
HCH_012_240_000046	奏言：「此事大類往年妖書，然妖書匿名難詰，今兩造具在，一訊即情得。陛下當靜處之，稍張皇，則中外大擾。至其詞牽引貴妃、福王，尤可痛恨。臣與九卿所見皆同，敢以聞。」
HCH_012_240_000047	帝讀竟太息曰：「吾父子兄弟全矣。」
HCH_012_240_000048	明日，向高又言：「曰乾疏不宜發。發則上驚聖母，下驚東宮，貴妃、福王皆不安。宜留中，而別諭法司治諸奸人罪，且速定明春之國期，以息群喙，則天下帖然無事。」
HCH_012_240_000049	帝盡用其言，太子、福王得相安。
HCH_012_240_000050	貴妃終不欲福王之國，言明年冬太后七十壽，王宜留慶賀。
HCH_012_240_000051	帝令內閣宣諭。
HCH_012_240_000052	向高留上諭弗宣，請今冬預行慶壽禮，如期之國。
HCH_012_240_000053	帝遣中使至向高私邸，必欲下前諭。
HCH_012_240_000054	向高言：「外廷喧傳陛下欲假賀壽名留福王，約千人伏闕請。今果有此諭，人情益疑駴，將信王曰乾妖言，朝端必不靜。聖母聞之，亦必不樂。且潞王聖母愛子，亦居外藩，何惓惓福王為？」
HCH_012_240_000055	因封還手諭。
HCH_012_240_000056	帝不得已從之，福王乃之國。
HCH_012_240_000057	向高嘗上疏言：「今天下必亂必危之道，蓋有數端，而災傷寇盜物怪人妖不與焉。廊廟空虛，一也。上下否隔，二也。士大夫好勝喜爭，三也。多藏厚積，必有悖出之釁，四也。風聲氣習日趨日下，莫可挽回，五也。非陛下奮然振作，簡任老成，布列朝署，取積年廢弛政事一舉新之，恐宗社之憂，不在敵國外患，而即在廟堂之上也。」
HCH_012_240_000058	其言絕痛切。
HCH_012_240_000059	帝知其忠愛，不能行。
HCH_012_240_000060	初，向高入閣。
HCH_012_240_000061	未幾，陳用人理財策，力請補缺官，罷礦稅。
HCH_012_240_000062	見帝不能從，乃陳上下乖離之病。
HCH_012_240_000063	兩疏乞罷，帝不允。
HCH_012_240_000064	向高自獨相，即請增閣臣，帝不聽。
HCH_012_240_000065	及吏部尚書孫丕揚以薦賢不用求去，向高特疏請留，亦不報，遂引疾。
HCH_012_240_000066	屢諭，乃出視事。
HCH_012_240_000067	已，又言：「臣屢求去，輒蒙恩諭留。顧臣不在一身去留，而在國家治亂。今天下所在災傷死亡，畿輔、中州、齊魯流移載道，加中外空虛，人才俱盡。罪不在他人，臣何可不去。且陛下用臣，則當行其言。今章奏不發，大僚不補，起廢不行，臣微誠不能上達，留何益？誠用臣言，不徒縻臣身，臣溘先朝露，有餘幸矣。」
HCH_012_240_000068	帝不省。
HCH_012_240_000069	京師大水，四方多奏水旱。
HCH_012_240_000070	向高又言：「自閣臣至九卿臺省，曹署皆空，南都九卿亦止存其二。天下方面大吏，去秋至今，未嘗用一人。陛下萬事不理，以為天下長如此，臣恐禍端一發，不可收也。」
HCH_012_240_000071	帝亦不省。
HCH_012_240_000072	四十年春，向高以歷代帝王享國四十年以上者，自三代迄今止十君，勸帝力行新政。
HCH_012_240_000073	因復以用人行政請，亦不報。
HCH_012_240_000074	向高誌不行，無月不求去，帝輒優旨勉留。
HCH_012_240_000075	向高復言：「臣進退可置不問，而百僚必不可盡空，臺諫必不可盡廢，諸方巡按必不可不代。中外離心，輦轂肘腋間，怨聲憤盈，禍機不測，而陛下務與臣下隔絕。帷幄不得關其忠，六曹不得舉其職，舉天下無一可信之人，而自以為神明之妙用，臣恐自古聖帝明王無此法也。」
HCH_012_240_000076	先是，向高疾，閣中無人，章奏就其家擬旨者一月。
HCH_012_240_000077	及是，向高堅臥益久，即家擬旨如前，論者以為非體，向高亦自言其非，堅乞去。
HCH_012_240_000078	帝卒不命他相，遣鴻臚官慰留。
HCH_012_240_000079	至帝萬壽節，始起視事。
HCH_012_240_000080	其後，向高主癸丑會試，章奏皆送闈中，尤異事云。
HCH_012_240_000081	帝考選科道七十餘人，命久不下。
HCH_012_240_000082	向高懇請數十疏，越二年乃下。
HCH_012_240_000083	言官既多，攻擊紛起。
HCH_012_240_000084	帝心厭之，章悉留中。
HCH_012_240_000085	向高請盡付所司，定其去留。
HCH_012_240_000086	因言：「大臣者，小臣之綱。今六卿止趙煥一人，而都御史十年不補，彈壓無人，人心何由戢？」
HCH_012_240_000087	帝但責言官妄言，而大僚迄不補。
HCH_012_240_000088	向高請增置閣臣，章至百餘上，帝始用方從哲、吳道南。
HCH_012_240_000089	向高疏謝，因引退，優詔不允。
HCH_012_240_000090	四十二年二月，皇太后崩。
HCH_012_240_000091	三月，福王之國。
HCH_012_240_000092	向高乞歸益數，章十餘上。
HCH_012_240_000093	至八月，允其去。
HCH_012_240_000094	向高以三載考績，進太子太保、文淵閣大學士；敘延綏戰功，加少保兼太子太保，改戶部尚書、武英殿；一品三載滿，加少傅兼太子太傅，改吏部尚書、建極殿。
HCH_012_240_000095	至是，命加少師兼太子太師，賜白金百，彩幣四，表裏大紅坐蟒一襲，遣行人護歸。
HCH_012_240_000096	向高在相位，務調劑群情，輯和異同。
HCH_012_240_000097	然其時黨論已大起，御史鄭繼芳力攻給事中王元翰，左右兩人者相角。
HCH_012_240_000098	向高請盡下諸疏，敕部院評曲直，罪其論議顛倒者一二人，以警其餘，帝不報。
HCH_012_240_000099	諸臣既無所見得失，益樹黨相攻。
HCH_012_240_000100	未幾，又爭李三才之事，黨勢乃成。
HCH_012_240_000101	無錫顧憲成家居，講學東林書院，朝士爭慕與遊。
HCH_012_240_000102	三才被攻，憲成貽書向高暨尚書孫丕揚，訟其賢。
HCH_012_240_000103	會辛亥京察，攻三才者劉國縉以他過掛察典，喬應甲亦用年例出外，其黨大嘩。
HCH_012_240_000104	向高以大體持之，察典得無撓，而兩黨之爭遂不可解。
HCH_012_240_000105	及後，齊、楚、浙黨人攻東林殆盡。
HCH_012_240_000106	浸尋至天啟時，王紹徽等撰所謂《東林點將錄》，令魏忠賢按氏名逐朝士。
HCH_012_240_000107	以向高嘗右東林，指目為黨魁云。
HCH_012_240_000108	向高歸六年，光宗立，特詔召還。
HCH_012_240_000109	未幾，熹宗立，復賜敕趨之。
HCH_012_240_000110	屢辭，不得命。
HCH_012_240_000111	天啟元年十月還朝，復為首輔。
HCH_012_240_000112	言：「臣事皇祖八年，章奏必發臣擬。即上意所欲行，亦遣中使傳諭。事有不可，臣力爭，皇祖多曲聽，不欲中出一旨。陛下虛懷恭己，信任輔臣，然間有宣傳滋疑議。宜慎重綸音，凡事令臣等擬上。」
HCH_012_240_000113	帝優旨報聞。
HCH_012_240_000114	旋納向高請，發帑金二百萬，為東西用兵之需。
HCH_012_240_000115	熹宗初政，群賢滿朝，天下欣欣望治。
HCH_012_240_000116	然帝本沖年，不能辨忠佞。
HCH_012_240_000117	魏忠賢、客氏漸竊威福，構殺太監王安，以次逐吏部尚書周嘉謨及言官倪思輝等。
HCH_012_240_000118	大學士劉一燝亦力求去。
HCH_012_240_000119	向高言：「客氏出復入，而一燝顧命大臣不得比保姆，致使人揣摩於奧穾不可知之地，其漸當防。」
HCH_012_240_000120	忠賢見向高疏刺己，恨甚。
