HCH_012_262_000072	宗龍亦劾嗣昌徒耗敝國家，不能報效，以氣淩廷臣。
HCH_012_262_000073	會薊遼總督洪承疇請用劉肇基為團練總兵官，中官高起潛又揭肇基恇怯，宗龍不即覆。
HCH_012_262_000074	帝遂發怒，責以抗旨，令對狀。
HCH_012_262_000075	奏上，復以戲視封疆下吏。
HCH_012_262_000076	法司擬戍邊，不許，欲置之死。
HCH_012_262_000077	在獄二年矣，十四年春，嗣昌死，尚書陳新甲薦其才，帝未有以應也，良久曰：「樸忠，吾以夙負用之，宜盡死力。」
HCH_012_262_000078	遂釋之出獄，以兵部右侍郎兼右僉都御史代丁啟睿，總督陜西三邊軍務。
HCH_012_262_000079	當是之時，李自成有眾五十萬，自陷河、洛，犯開封，羅汝才復自南陽趨鄧、淅，與合兵。
HCH_012_262_000080	帝命宗龍專辦自成。
HCH_012_262_000081	議盡括關中兵餉以出，然屬郡旱蝗，已不能應。
HCH_012_262_000082	九月四日，以川、陜兵二萬出關，次新蔡，與保督楊文嶽兵會。
HCH_012_262_000083	賀人龍、李國奇將秦兵，虎大威將保兵，共結浮橋，東渡汝，合兵趨項城。
HCH_012_262_000084	五日，兩軍畢渡，走龍口。
HCH_012_262_000085	自成、汝才亦結浮橋於上流，將趨汝寧。
HCH_012_262_000086	覘兩督兵至，盡伏精銳於林中，陽驅諸賊自浮橋西渡。
HCH_012_262_000087	人龍使後騎覘賊，還報曰：「賊向汝矣，結浮橋將渡矣。」
HCH_012_262_000088	宗龍、文嶽夜會諸將於龍口，詰朝將戰。
HCH_012_262_000089	六日，兩軍並進，中道一騎馳而告曰：「賊畢渡矣。」
HCH_012_262_000090	復進，一騎馳而告曰：「賊半渡矣，三分渡其二矣。」
HCH_012_262_000091	宗龍、文嶽曰：「驅之。」
HCH_012_262_000092	走三十里，至於孟家莊，日卓午。
HCH_012_262_000093	人龍、大威曰：「馬力乏矣，詰朝而戰，止兵為營。」
HCH_012_262_000094	諸軍弛馬甲，植戈錞，散行墟落求芻牧。
HCH_012_262_000095	賊覘之，塵起於林中，伏甲並出搏我兵。
HCH_012_262_000096	人龍有馬千騎不戰，國奇以麾下兵迎擊之，不勝。
HCH_012_262_000097	秦兵、保兵俱潰，人龍、大威奔沈丘，國奇從之，三帥師潰。
HCH_012_262_000098	宗龍、文嶽合兵屯火燒店，賊以步兵攻其營。
HCH_012_262_000099	諸軍鳴大炮，震死賊百餘。
HCH_012_262_000100	日暮，賊引去。
HCH_012_262_000101	宗龍軍西北，文嶽軍東南，畫塹而守。
HCH_012_262_000102	保兵宵潰，保督副將挾文嶽騎而馳，夜奔於項城。
HCH_012_262_000103	宗龍復分秦兵立營於東南，諸將分壁當賊壘。
HCH_012_262_000104	九日，檄人龍、國奇還兵救，二帥不應。
HCH_012_262_000105	宗龍曰：「彼避死，宜不來，吾豈避死哉！」
HCH_012_262_000106	語其麾下曰：「宗龍老矣，今日陷賊中，當與諸軍決一死戰，不能效他人卷甲走也。」
HCH_012_262_000107	召裨校李本實，即文嶽壁穿塹築壘以拒賊。
HCH_012_262_000108	賊亦穿壕二重以圍之。
HCH_012_262_000109	十一日，秦師食盡，宗龍殺馬騾以享軍。
HCH_012_262_000110	明日，營中馬騾盡，殺賊取其屍分啖之。
HCH_012_262_000111	十八日，營中火藥、鉛子、矢並盡。
HCH_012_262_000112	宗龍簡士卒，夷傷死喪之余，有眾六千。
HCH_012_262_000113	夜半，潛勒諸軍突賊營，殺千餘人，潰圍出。
HCH_012_262_000114	諸軍星散，宗龍徒步率諸軍且戰且走。
HCH_012_262_000115	十九日，日卓午，未至項城八里，賊追及之，執宗龍，呼於門曰：「秦督圍隨官丁也，請啟門納秦督。」
HCH_012_262_000116	宗龍大呼曰：「我秦督也，不幸墮賊手，左右皆賊耳。」
HCH_012_262_000117	賊唾宗龍。
HCH_012_262_000118	宗龍罵賊曰：「我大臣也，殺則殺耳，豈能為賊賺城以緩死哉！」
HCH_012_262_000119	賊抽刀擊宗龍，中其腦而仆，檆其耳鼻死城下。
HCH_012_262_000120	事聞，帝曰：「若此，可謂樸忠矣。」
HCH_012_262_000121	復官兵部尚書，加太子少保，謚忠壯，蔭子錦衣世百戶，予祭葬。
HCH_012_262_000122	人龍、國奇兵潰歸陜，賊遂屠項城。
HCH_012_262_000123	分兵屠商水、扶溝，遂攻葉縣。
HCH_012_262_000124	汪喬年，字歲星，遂安人。
HCH_012_262_000125	天啟二年進士。
HCH_012_262_000126	授刑部主事，歷郎中。
HCH_012_262_000127	母憂歸。
HCH_012_262_000128	崇禎二年起工部，遷青州知府。
HCH_012_262_000129	以治行卓異，遷登萊兵備副使，乞終養歸。
HCH_012_262_000130	父喪除，起官平陽，遷陜西右參政，提督學校。
HCH_012_262_000131	再以卓異，就遷按察使。
HCH_012_262_000132	喬年清若自勵，惡衣菲食，之官，攜二仆，不以家自隨。
HCH_012_262_000133	為青州，行廊置土銼十餘，訟者自炊候鞫，吏無敢索一錢。
HCH_012_262_000134	自負才武，休沐輒馳騎，習弓刀擊刺，寢處風露中。
HCH_012_262_000135	十四年，擢右僉都御史，巡撫陜西。
HCH_012_262_000136	時李自成已破河南，聲言入關。
HCH_012_262_000137	喬年疾驅至商、洛，不見賊。
HCH_012_262_000138	賊圍開封，而三邊總督傅宗龍亦至陜，議抽兵括餉，則關中兵食已盡，無以應。
HCH_012_262_000139	宗龍、喬年握手欷歔而別。
HCH_012_262_000140	未幾，宗龍敗歿於項城，喬年流涕嘆曰：「傅公死，討賊無人矣。」
HCH_012_262_000141	已，又聞詔擢喬年兵部右侍郎，總督三邊軍務，代宗龍。
HCH_012_262_000142	部檄踵至，趣出關。
HCH_012_262_000143	是時，關中精銳盡沒於項城。
HCH_012_262_000144	喬年曰：「兵疲餉乏，當方張之寇。我出，如以肉餵虎耳。然不可不一出，以持中原心。」
HCH_012_262_000145	乃收散亡，調邊卒，得馬步三萬人。
HCH_012_262_000146	十五年正月，率總兵賀人龍、鄭嘉棟、牛成虎出潼關。
HCH_012_262_000147	先是，臨潁為賊守，左良玉破而屠之，盡獲賊所擄。
HCH_012_262_000148	自成聞之怒，舍開封而攻良玉，良玉退保郾城，賊圍之急。
HCH_012_262_000149	喬年諸將議曰：「郾城危在旦夕。吾趨郾，賊方銳，難與爭鋒。吾聞襄城距郾四舍，賊老砦鹹在。吾舍郾而以精銳攻其必應，賊必還兵救，則郾城解矣。郾城解，我擊其前，良玉乘其背，賊可大破也。」
HCH_012_262_000150	諸將皆曰：「善。」
HCH_012_262_000151	乃留步兵火器於洛陽，簡精騎萬人兼程進。
HCH_012_262_000152	次郟縣，襄城人張永祺等迎喬年。
HCH_012_262_000153	二月二日，喬年入襄城，分人龍、嘉棟、成虎軍三路，駐城東四十里，逼郾城而軍，而自勒兵駐城外。
HCH_012_262_000154	賊果解郾城而救襄城。
HCH_012_262_000155	賊至，三帥奔，良玉救不至，軍大潰。
HCH_012_262_000156	喬年嘆曰：「此吾死所也。」
HCH_012_262_000157	率步卒千餘入城守。
HCH_012_262_000158	賊穴地實火藥攻城，喬年亦穿阱，視所鑿，長矛刺之。
HCH_012_262_000159	賊炮擊喬年坐纛，雉堞盡碎，左右環泣請避之，喬年怒，以足蹴其首曰：「汝畏死，我不畏死也。」
HCH_012_262_000160	十七日，城陷，巷戰，殺三賊，自剄不殊，為賊所執，大罵。
HCH_012_262_000161	賊割其舌，磔殺之。
HCH_012_262_000162	襄城人建祠而祀之。
HCH_012_262_000163	時張國欽、張一貫、黨威、李萬慶及監紀西安同知孫兆祿、材官李可從、襄城知縣曹思正從喬年，皆死之。
HCH_012_262_000164	萬慶者，降將射塌天也。
HCH_012_262_000165	又有馬帥某者，逸其名。
HCH_012_262_000166	兆祿，鹽山人。
HCH_012_262_000167	可從，盩厔人。
HCH_012_262_000168	黨威，神木人。
HCH_012_262_000169	余莫考。
HCH_012_262_000170	黨威則嘗擊賊於西雒峪，擒賊首竇阿婆者也。
HCH_012_262_000171	自成購永祺不得，屠其族，劓刖諸生劉漢臣等百九十人。
HCH_012_262_000172	自成數月之間再敗秦師，獲馬二萬，降秦兵又數萬，威震河雒。
HCH_012_262_000173	初，喬年之撫陜西也，奉詔發自成先冢。
HCH_012_262_000174	米脂令邊大受，河間靜海舉人，健令也，诇得其族人為縣吏者，掠之。
HCH_012_262_000175	言：「去縣二百里曰李氏村，亂山中，十六冢環而葬，中其始祖也。相傳，穴，仙人所定，壙中鐵燈檠，鐵燈不滅，李氏興。」
HCH_012_262_000176	如其言發之螻蟻數石，火光熒熒然。
HCH_012_262_000177	檆棺，骨青黑，被體黃毛，腦後穴大如錢，赤蛇盤，三四寸，角而飛，高丈許，咋咋吞日光者六七，反而伏。
HCH_012_262_000178	喬年函其顱骨、臘蛇以聞，焚其餘，雜以穢，棄之。
HCH_012_262_000179	自成聞之，嚙齒大恨曰：「吾必致死於喬年。」
HCH_012_262_000180	既殺喬年，由西華攻陳州。
HCH_012_262_000181	楊文嶽，字鬥望，南充人。
HCH_012_262_000182	萬歷四十七年進士。
HCH_012_262_000183	授行人。
HCH_012_262_000184	天啟五年，擢兵科給事中，屢遷禮科都給事中。
HCH_012_262_000185	崇禎二年，出為江西右參政，歷湖廣、廣西按察使，雲南、山西左右布政使，以右副都御史巡撫登、萊。
HCH_012_262_000186	十二年擢兵部右侍郎，總督保定、山東、河北軍務，代孫傳庭。
HCH_012_262_000187	十四年正月，李自成陷洛陽，犯開封，文嶽率總兵虎大威以眾二萬赴救。
HCH_012_262_000188	渡河，賊先遁，追擊於鳴臯。
HCH_012_262_000189	還，駐兵開封。
HCH_012_262_000190	疫作，乃頓兵於汝寧，出屯西平、新蔡間。
HCH_012_262_000191	七月，自成走內鄉、淅川，與羅汝才合。
HCH_012_262_000192	文嶽趨鄧州，自成還攻之。
HCH_012_262_000193	文嶽戰三捷，斬其魁一條龍、一只龍，賊遁去。
