HCH_010_020_000081	十九年春正月庚寅，僧惠鑒加檢校太尉。
HCH_010_020_000082	庚子，耶律敵魯古復封漆水郡王，諸將校及阻卜等部酋長各進爵有差。
HCH_010_020_000083	贈蕭慈氏奴同中書門下平章事。
HCH_010_020_000084	辛丑，遣使問罪於夏國。
HCH_010_020_000085	壬寅，如魚兒濼。
HCH_010_020_000086	二月丁亥，夏將窪普、猥貨、乙靈紀等來攻金肅城，南面林牙耶律高家奴等破之。
HCH_010_020_000087	窪普被創遁去，殺猥貨、乙靈紀。
HCH_010_020_000088	三月戊戌，殿前都點檢蕭叠裏得與夏戰於三角川，敗之。
HCH_010_020_000089	癸卯，命西南招討使蕭蒲奴、北院大王宜新、林牙蕭撒抹等帥師伐夏，以行宮都部署別古得監戰。
HCH_010_020_000090	甲辰，遣同知北院樞密使蕭革按軍邊城，以為聲援。
HCH_010_020_000091	己酉，駐蹕息雞澱。
HCH_010_020_000092	丙辰，幸殿前都點檢蕭叠裏得、駙馬都尉蕭胡睹帳視疾。
HCH_010_020_000093	夏四月丙寅，如魚兒濼。
HCH_010_020_000094	壬申，蒲盧毛朵部惕隱信篤來貢。
HCH_010_020_000095	甲申，高麗遣使來貢。
HCH_010_020_000096	五月己丑，如涼陘。
HCH_010_020_000097	癸巳，蕭蒲奴等入夏境，不與敵遇，縱軍俘掠而還。
HCH_010_020_000098	丁酉，夏國窪普來降。
HCH_010_020_000099	己亥，遠夷拔思母部遣使來貢。
HCH_010_020_000100	六月丙辰朔，置倒塌嶺都監。
HCH_010_020_000101	丙寅，謁慶陵。
HCH_010_020_000102	庚午，幸慶州，謁大安殿。
HCH_010_020_000103	壬申，詔醫卜屠販、奴隸及倍父母或犯事逃亡者，不得舉進士。
HCH_010_020_000104	回跋、曷蘇館、蒲盧毛朵部各遣使貢馬。
HCH_010_020_000105	甲戌，宋遣使來賀伐夏捷，高麗使俱至。
HCH_010_020_000106	辛巳，禦金鑾殿試進士。
HCH_010_020_000107	秋七月壬辰，駐蹕括裏蒲碗。
HCH_010_020_000108	癸巳，以燕趙國王洪基領北南樞密院。
HCH_010_020_000109	乙未，阻卜長豁得剌弟斡得來朝，加太尉遣之。
HCH_010_020_000110	戊戌，錄囚。
HCH_010_020_000111	戊申，以左夷離畢蕭唐古為北院樞密副使。
HCH_010_020_000112	壬子，獵侯裏吉。
HCH_010_020_000113	八月丁卯，阻卜酋長喘只葛拔裏斯來朝。
HCH_010_020_000114	九月壬寅，夏人侵邊，敵魯古遣六院軍將海裏擊敗之。
HCH_010_020_000115	冬十月庚午，還上京。
HCH_010_020_000116	辛未，夏國王李諒祚母遣使乞依舊稱藩。
HCH_010_020_000117	使還，詔諭別遣信臣詣闕，當徐思之。
HCH_010_020_000118	壬申，釋臨潢府役徒。
HCH_010_020_000119	甲戌，如中會川。
HCH_010_020_000120	十一月甲午，阻卜酋長豁得剌遣使來貢。
HCH_010_020_000121	庚戌，錄囚。
HCH_010_020_000122	壬子，出南府宰相韓知白為武定軍節度使，樞密副使楊績長寧軍節度使，翰林學士王綱澤州刺史，張宥徽州刺史，知制誥周白海北州刺史。
HCH_010_020_000123	閏月乙卯，以漢王貼不為中京留守。
HCH_010_020_000124	辛未，以同知北院樞密使事蕭革為南院樞密使，南院大王耶律仁先知北院樞密使事，封宋王。
