HCH_012_004_000085	燕兵攻之不克，引去。
HCH_012_004_000086	召遼王植、寧王權歸京師，權不至，詔削護衞。
HCH_012_004_000087	丁卯，曹國公李景隆為征虜大將軍，代耿炳文。
HCH_012_004_000088	九月戊辰，吳高、耿瓛、楊文帥遼東兵，圍永平。
HCH_012_004_000089	戊寅，景隆兵次河間，燕兵援永平，吳高退保山海關。
HCH_012_004_000090	冬十月，燕兵自劉家口間道襲陷大寧，守將朱鑑死之。
HCH_012_004_000091	總兵官劉真、都督陳亨援大寧，亨叛降燕。
HCH_012_004_000092	燕以寧王權及朵顏三衞卒歸北平。
HCH_012_004_000093	辛亥，李景隆圍北平，燕兵還救。
HCH_012_004_000094	十一月辛未，李景隆及燕兵戰於鄭村壩，敗績，奔德州，諸軍盡潰。
HCH_012_004_000095	燕王棣再上書於朝。
HCH_012_004_000096	帝為罷齊泰、黃子澄官，仍留京師。
HCH_012_004_000097	二年春正月丙寅朔，詔天下來朝官勿賀。
HCH_012_004_000098	丁卯，釋奠於先師孔子。
HCH_012_004_000099	二月，燕兵陷蔚州，進攻大同。
HCH_012_004_000100	李景隆自德州赴援，燕兵還北平。
HCH_012_004_000101	保定知府雒僉叛降燕。
HCH_012_004_000102	甲子，復以都察院為御史府。
HCH_012_004_000103	均江、浙田賦。
HCH_012_004_000104	詔曰：「國家有惟正之供，江、浙賦獨重，而蘇、松官田悉準私稅，用懲一時，豈可為定則。今悉與減免，畝毋踰一斗。蘇、松人仍得官戶部。」
HCH_012_004_000105	三月丙寅朔，日有食之。
HCH_012_004_000106	賜胡廣等進士及第、出身有差。
HCH_012_004_000107	夏四月己未，李景隆及燕兵戰於白溝河，敗之。
HCH_012_004_000108	明日復戰，敗績，都督瞿能、越巂侯俞淵、指揮滕聚等皆戰死，景隆奔德州。
HCH_012_004_000109	五月辛未，奔濟南。
HCH_012_004_000110	燕兵陷德州，遂攻濟南。
HCH_012_004_000111	庚辰，景隆敗績於城下，南走。
HCH_012_004_000112	參政鐵鉉、都督盛庸悉力禦之。
HCH_012_004_000113	六月己酉，遣尚寶丞李得成諭燕罷兵。
HCH_012_004_000114	秋八月癸巳，承天門災，詔求直言。
HCH_012_004_000115	戊申，盛庸、鐵鉉擊敗燕兵，濟南圍解，復德州。
HCH_012_004_000116	九月，詔錄洪武中功臣罪廢者後。
HCH_012_004_000117	辛未，封盛庸歷城侯，擢鐵鉉山東布政使，參贊軍務，尋進兵部尚書。
HCH_012_004_000118	以庸為平燕將軍，都督陳暉、平安副之。
HCH_012_004_000119	庸屯德州，平安及吳傑屯定州，徐凱屯滄州。
HCH_012_004_000120	冬十月，召李景隆還，赦不誅。
HCH_012_004_000121	庚申，燕兵襲滄州，徐凱被執。
