HCH_013_013_000089	玉討平喦川、雜道，克散毛峒，擒土目剌惹等萬餘人，置大水田千戶所。
HCH_013_013_000090	進平施南、忠建二宣撫司叛蠻。
HCH_013_013_000091	還，增歲祿，賜黃金、文綺，尋詔還鄉。
HCH_013_013_000092	二十四年冬十月，命涼國公藍玉往陝西訓練軍士。
HCH_013_013_000093	二十五年夏四月，涼國公藍玉捕逃寇祁者孫，遂略西番罕東之地。
HCH_013_013_000094	玉兵入罕東，遣都督宋晟徇阿真州，番眾皆遠遁。
HCH_013_013_000095	而會蜀故降將月魯帖木兒反建昌，使玉移師討之。
HCH_013_013_000096	至則裨將瞿能已大破其眾，月魯帖木兒走柏興。
HCH_013_013_000097	玉以計誘縛其父子，送京師斬之，盡降其餘黨，便宜請增設諸衛，且請籍民為兵。
HCH_013_013_000098	上報設諸衛，而不許籍民。
HCH_013_013_000099	遂班師。
HCH_013_013_000100	二十六年春正月乙酉，涼國公藍玉謀不軌，伏誅。
HCH_013_013_000101	初，胡惟庸之叛，有稱玉與其謀者。
HCH_013_013_000102	上以其功大，宥不問。
HCH_013_013_000103	後諸老將多沒，乃擢為大將，總兵征伐，甚稱上意。
HCH_013_013_000104	嘗措置陝西邊事，至蘭川，墜馬微傷，手詔慰勞之，比於中山、開平二王。
HCH_013_013_000105	然玉素不學，性復狠愎，見上待之厚，又自恃功伐，專恣橫暴。
HCH_013_013_000106	畜莊奴假子數千人，出入乘勢漁獵。
HCH_013_013_000107	嘗占東昌民田，民訟之。
HCH_013_013_000108	御史按問，玉執御史，捶而逐之。
HCH_013_013_000109	先是，北征還，私其珍寶駝馬無算。
HCH_013_013_000110	度喜峰關，吏以夜，不即納，玉大怒，縱兵毀關而入。
HCH_013_013_000111	上聞之，不樂，併詰責其私元主妃，玉慢不省。
HCH_013_013_000112	嘗見上，命坐或侍宴飲，玉動止傲慢，無人臣禮。
HCH_013_013_000113	及總兵在外，擅陞降將校，黥刺軍士，甚至違詔出師，恣作威福，以脅制其下。
HCH_013_013_000114	至是，征西還，意圖陞爵。
HCH_013_013_000115	及命為太傅，玉攘袂大言曰：「我固不當為太師也！」
HCH_013_013_000116	恒怏怏，不樂居宋、潁二公下。
HCH_013_013_000117	間奏事，上不從，玉懼，退語所親曰：「上疑我矣。」
HCH_013_013_000118	乃謀反。
HCH_013_013_000119	當是時，鶴慶侯張翼、普定侯陳桓、景川侯曹震、舳艫侯朱壽、東莞伯何榮、都督黃恪、吏部尚書詹徽、侍郎傅友文及諸武臣嘗為玉部將者，玉乃遣親信召之，晨夜會私宅謀議，集士卒及諸家奴，伏甲將為變。
HCH_013_013_000120	約束已定，為錦衣衛指揮蔣瓛所告。
HCH_013_013_000121	命羣臣訊狀具實，磔于市，夷三族。
HCH_013_013_000122	徹侯、功臣、文武大吏以至偏裨將卒，坐黨論死者，可二萬人，蔓衍過于胡惟庸。
HCH_013_013_000123	三月辛酉，會寧侯張溫、都督蕭用、瀋陽侯察罕，坐藍玉黨伏誅。
HCH_013_013_000124	九月，詔：「胡黨藍黨，除已捕在官者外，其未發，不究。」
