HCH_012_252_000035	議上，帝乃傳諭：「流寇延蔓，生民塗炭，不集兵無以平寇，不增賦無以餉兵。勉從廷議，暫累吾民一年，除此腹心大患。其改因糧為均輸，布告天下，使知為民去害之意。」
HCH_012_252_000036	尋議諸州縣練壯丁捍本土，詔撫按飭行。
HCH_012_252_000037	賊攻淅川，左良玉不救，城陷。
HCH_012_252_000038	山西總兵王忠援河南，稱疾不進，兵噪而歸。
HCH_012_252_000039	嗣昌請逮戮失事諸帥，以肅軍令，遂逮忠及故總兵張全昌。
HCH_012_252_000040	良玉以六安功，落職戴罪自贖。
HCH_012_252_000041	嗣昌既建「四正六隅」之說，欲專委重文燦，文燦顧主撫議，與前策牴牾。
HCH_012_252_000042	帝譙讓文燦，嗣昌亦心望。
HCH_012_252_000043	既已任之，則曲為之解，乃上疏曰：「網張十面，必以河南、陜西為殺賊之地。然陜有李自成、惠登相等，大部未能剿絕，法當驅關東賊不使合，而使陜撫斷商、雒，鄖撫斷鄖、襄，安撫斷英、六，鳳撫斷亳、潁，而應撫之軍出靈、陜，保撫之軍渡延津。然後總理提邊兵，監臣提禁旅，豫撫提陳永福諸軍，並力合剿。若關中大賊逸出關東，則秦督提曹變蛟等出關協擊。期三月盡諸劇寇。巡撫不用命，立解其兵柄，簡一監司代之；總兵不用命，立奪其帥印，簡一副將代之；監司、副將以下，悉以尚方劍從事。則人人效力，何賊不平。」
HCH_012_252_000044	乃克今年十二月至明年二月為滅賊之期。
HCH_012_252_000045	帝可其奏。
HCH_012_252_000046	是時，賊大入四川，朝士尤洪承疇縱賊。
HCH_012_252_000047	嗣昌因言於帝曰：「熊文燦在事三月，承疇七年不效。論者繩文燦急，而承疇縱寇莫為言。」
HCH_012_252_000048	帝知嗣昌有意左右之，變色曰：「督、理二臣但責成及時平賊，奈何以久近藉之口！」
HCH_012_252_000049	嗣昌乃不敢言。
HCH_012_252_000050	文燦既主撫議，所加餉天子遣一侍郎督之，本藉以剿賊，文燦悉以資撫。
HCH_012_252_000051	帝既不復詰，廷臣亦莫言之。
HCH_012_252_000052	至明年三月，嗣昌以滅賊逾期，疏引罪，薦人自代。
HCH_012_252_000053	帝不許，而命察行間功罪，乃上疏曰：「洪承疇專辦秦賊，賊往來秦、蜀自如，剿撫俱無功，不免於罪。熊文燦兼辦江北、河南、湖廣賊，撫劉國能、張獻忠，戰舞陽、光山，剿撫俱有功，應免罪。諸巡撫則河南常道立、湖廣余應桂有功，陜西孫傳庭、山西宋賢、山東顏繼祖、保定張其平、江南張國維、江西解學龍、浙江喻思恂有勞，鄖陽戴東旻無功過，鳳陽朱大典、安慶史可法宜策勵圖功。總兵則河南左良玉有功，陜西曹變蛟、左光先無功，山西虎大威、山東倪寵、江北牟文綬、保定錢中選有勞無功，河南張任學、寧夏祖大弼無功過。承疇宜遣逮，因軍民愛戴，請削宮保、尚書，以侍郎行事。變蛟、光先貶五秩，與大弼期五月平賊，逾期並承疇逮治。大典貶三秩，可法戴罪自贖。」
HCH_012_252_000054	議上，帝悉從之。
HCH_012_252_000055	嗣昌既終右文燦，而文燦實不知兵。
HCH_012_252_000056	既降國能、獻忠，謂撫必可恃。
HCH_012_252_000057	嗣昌亦陰主之，所請無不曲徇，自是不復言「十面張網」之策矣。
HCH_012_252_000058	是月，帝御經筵畢，嗣昌奏對有「善戰服上刑」等語，帝怫然，詰之曰：「今天下一統，非戰國兵爭比。小醜跳梁，不能伸大司馬九伐之法，奈何為是言？」
HCH_012_252_000059	嗣昌慚。
HCH_012_252_000060	當是時，流賊既大熾，朝廷又有東顧憂，嗣昌復陰主互市策。
HCH_012_252_000061	適太陰掩熒惑，帝減膳修省，嗣昌則歷引漢永平、唐元和、宋太平興國事，蓋為互市地雲。
HCH_012_252_000062	給事中何楷疏駁之，給事中錢增、御史林蘭友相繼論列，帝不問。
HCH_012_252_000063	六月，改禮部尚書兼東閣大學士，入參機務，仍掌兵部事。
HCH_012_252_000064	嗣昌既以奪情入政府，又奪情起陳新甲總督，於是楷、蘭友及少詹事黃道周抗疏詆斥，修撰劉同升、編修越士春繼之。
HCH_012_252_000065	帝怒，並鐫三級，留翰林。
HCH_012_252_000066	刑部主事張若麒上疏醜詆道周，遂鐫道周六級，並同升、士春皆謫外。
HCH_012_252_000067	已而南京御史成勇、兵部尚書範景文等言之，亦獲譴。
HCH_012_252_000068	嗣昌自是益不理於人口。
HCH_012_252_000069	我大清兵入墻子嶺、青口山，薊遼保定總督吳阿衡方醉，不能軍，敗死。
HCH_012_252_000070	京城戒嚴，召盧象升帥師入衛。
HCH_012_252_000071	象升主戰，嗣昌與監督中官高起潛主款，議不合，交惡。
HCH_012_252_000072	編修楊廷麟劾嗣昌誤國，嗣昌怒，改廷麟職方主事監象升軍，而戒諸將毋輕戰。
HCH_012_252_000073	諸將本恇怯，率藉口持重觀望，所在列城多破。
HCH_012_252_000074	嗣昌據軍中報，請旨授方略。
HCH_012_252_000075	比下軍前，則機宜已變，進止乖違，疆事益壞雲。
HCH_012_252_000076	象升既陣亡，嗣昌亦貶三秩，戴罪視事。
HCH_012_252_000077	十二年正月，濟南告陷，德王被執，遊騎北抵兗州。
HCH_012_252_000078	二月，大清兵北旋，給事中李希沆言：「聖明御極以來，北兵三至。己巳之罪未正，致有丙子；丙子之罪未正，致有今日。」
HCH_012_252_000079	語侵嗣昌。
HCH_012_252_000080	御史王誌舉亦劾嗣昌誤國四大罪，請用丁汝夔、袁崇煥故事。
HCH_012_252_000081	帝怒，希沆貶秩，誌舉奪官。
HCH_012_252_000082	初，帝以嗣昌才而用之，非廷臣意，知其必有言，言者輒斥。
HCH_012_252_000083	嗣昌既有罪，帝又數逐言官，中外益不平。
HCH_012_252_000084	嗣昌亦不自安，屢疏引罪，乃落職冠帶視事。
HCH_012_252_000085	未幾，以敘功復之。
HCH_012_252_000086	先是，京師被兵，樞臣皆坐罪。
HCH_012_252_000087	二年，王洽下獄死，復論大辟。
HCH_012_252_000088	九年，張鳳翼出督師，服毒死，猶削籍。
HCH_012_252_000089	及是，亡七十餘城，而帝眷嗣昌不衰。
HCH_012_252_000090	嗣昌乃薦四川巡撫傅宗龍自代。
HCH_012_252_000091	帝命嗣昌議文武諸臣失事罪，分五等：曰守邊失機，曰殘破城邑，曰失陷藩封，曰失亡主帥，曰縱敵出塞。
HCH_012_252_000092	於是中官則薊鎮總監鄧希詔、分監孫茂霖，巡撫則順天陳祖苞、保定張其平、山東顏繼祖，總兵則薊鎮吳國俊、陳國威，山東倪寵，援剿祖寬、李重鎮及他副將以下，至州縣有司，凡三十六人，同日棄市。
HCH_012_252_000093	而嗣昌貶削不及，物議益嘩。
HCH_012_252_000094	當戒嚴時，廷臣多請練邊兵。
HCH_012_252_000095	嗣昌因定議：宣府、大同、山西三鎮兵十七萬八千八百有奇，三總兵各練萬，總督練三萬，以二萬駐懷來，一萬駐陽和，東西策應。
HCH_012_252_000096	余授鎮監、巡撫以下分練。
HCH_012_252_000097	延綏、寧夏、甘肅、固原、臨兆五鎮兵十五萬五千七百有奇，五總兵各練萬，總督練三萬，以二萬駐固原，一萬駐延安，東西策應。
HCH_012_252_000098	余授巡撫、副將以下分練。
HCH_012_252_000099	遼東、薊鎮兵二十四萬有奇，五總兵各練萬，總督練五萬，外自錦州，內抵居庸，東西策應。
HCH_012_252_000100	余授鎮監、巡撫以下分練。
HCH_012_252_000101	汰通州、昌平督治二侍郎，設保定一總督，合畿輔、山東、河北兵，得十五萬七千有奇，四總兵各練二萬，總督練三萬，北自昌平，南抵河北，聞警策應。
HCH_012_252_000102	余授巡撫以下分練。
HCH_012_252_000103	又以畿輔重地，議增監司四人。
HCH_012_252_000104	於是大名、廣平、順德增一人，真定、保定、河間各一人。
HCH_012_252_000105	薊遼總督下增監軍三人。
HCH_012_252_000106	議上，帝悉從之。
HCH_012_252_000107	嗣昌所議兵凡七十三萬有奇，然民流餉絀，未嘗有實也。
HCH_012_252_000108	帝又采副將楊德政議，府汰通判，設練備，秩次守備，州汰判官，縣汰主簿，設練總，秩次把總，並受轄於正官，專練民兵。
HCH_012_252_000109	府千，州七百，縣五百，捍鄉土，不他調。
HCH_012_252_000110	嗣昌以勢有緩急，請先行畿輔、山東、河南、山西，從之。
HCH_012_252_000111	於是有練餉之議。
HCH_012_252_000112	初，嗣昌增剿餉，期一年而止。
HCH_012_252_000113	後餉盡而賊未平，詔征其半。
HCH_012_252_000114	至是，督餉侍郎張伯鯨請全征。
HCH_012_252_000115	帝慮失信，嗣昌曰：「無傷也，加賦出於土田，土田盡歸有力家，百畝增銀三四錢，稍抑兼並耳。」
HCH_012_252_000116	大學士薛國觀、程國祥皆贊之。
HCH_012_252_000117	於是剿餉外復增練餉七百三十萬。
HCH_012_252_000118	論者謂：「九邊自有額餉，概予新餉，則舊者安歸？邊兵多虛額，今指為實數，餉盡虛糜，而練數仍不足。且兵以分防不能常聚，故有抽練之議，抽練而其餘遂不問。且抽練仍虛文，邊防愈益弱。至州縣民兵益無實，徒糜厚餉。」
HCH_012_252_000119	以嗣昌主之，事鉅莫敢難也。
HCH_012_252_000120	神宗末增賦五百二十萬，崇禎初再增百四十萬，總名遼餉。
HCH_012_252_000121	至是，復增剿餉、練餉，額溢之。
HCH_012_252_000122	先後增賦千六百七十萬，民不聊生，益起為盜矣。
HCH_012_252_000123	五月，熊文燦所撫賊張獻忠反谷城，羅汝才等九營皆反。
HCH_012_252_000124	八月，傅宗龍抵京，嗣昌解部務，還內閣。
HCH_012_252_000125	未幾，羅𤠉山敗書聞。
HCH_012_252_000126	帝大驚，詔逮文燦。
HCH_012_252_000127	特旨命嗣昌督師，賜尚方劍，以便宜誅賞。
HCH_012_252_000128	九月朔，召見平臺。
HCH_012_252_000129	嗣昌曰：「君言不宿於家，臣朝受命，夕啟行，軍資甲仗望敕所司遄發。」
HCH_012_252_000130	帝悅，曰：「卿能如此，朕復何憂。」
HCH_012_252_000131	翊日，賜白金百、大紅絺絲四表裏、斗牛衣一、賞功銀四萬、銀牌千五百、幣帛千。
HCH_012_252_000132	嗣昌條七事以獻，悉報可。
HCH_012_252_000133	四日召見賜宴，手觴三爵，御製贈行詩一章。
HCH_012_252_000134	嗣昌跪誦，拜且泣。
HCH_012_252_000135	越二日，陛辭，賜膳。
HCH_012_252_000136	二十九日抵襄陽，入文燦軍。
HCH_012_252_000137	文燦就逮，嗣昌猶為疏辯雲。
HCH_012_252_000138	十月朔，嗣昌大誓三軍，督理中官劉元斌，湖廣巡撫方孔炤，總兵官左良玉、陳洪範等畢會。
HCH_012_252_000139	賊賀一龍等掠葉，圍沈丘，焚項城之郛，寇光山。
HCH_012_252_000140	副將張琮、刁明忠率京軍逾山行九十里，及其巢。
HCH_012_252_000141	先驅射賊，殪絳袍而馳者二人，追奔四十里，斬首千七百五十。
HCH_012_252_000142	嗣昌稱詔頒賜。
HCH_012_252_000143	十一月，興世王王國寧以眾千人來歸，受之於襄陽，處其妻子樊城。
HCH_012_252_000144	表良玉平賊將軍。
HCH_012_252_000145	諸將積驕玩，無鬥誌。
HCH_012_252_000146	獻忠、羅汝才、惠登相等八營遁鄖陽、興安山間，掠南漳、谷城、房、竹山、竹溪。
HCH_012_252_000147	嗣昌鞭刁明忠，斬監軍僉事殷大白以徇。
HCH_012_252_000148	檄巡撫方孔炤遣楊世恩、羅萬邦剿汝才、登相，全軍覆於香油坪。
HCH_012_252_000149	嗣昌劾逮孔炤，奏辟永州推官萬元吉為軍前監紀，從之。
HCH_012_252_000150	當是時，李自成潛伏陜右，賀一龍、左金王等四營跳梁漢東，嗣昌專剿獻忠。
HCH_012_252_000151	獻忠屢敗於興安，求撫，不許。
HCH_012_252_000152	其黨托天王常國安、金翅鵬劉希原來降，獻忠走入川，良玉追之。
HCH_012_252_000153	嗣昌牒令還，良玉不從。
HCH_012_252_000154	十三年二月七日，與陜西副將賀人龍、李國奇夾擊獻忠於瑪瑙山，大破之，斬馘三千六百二十，墜巖谷死者無算。
HCH_012_252_000155	其黨掃地王曹威等授首，十反王楊友賢率眾降。
HCH_012_252_000156	是月也，帝念嗣昌，發銀萬兩犒師，賜鬥牛衣、良馬、金鞍各二。
HCH_012_252_000157	使者甫出國門，而瑪瑙山之捷至，大悅，再發銀五萬，幣帛千犒師。
HCH_012_252_000158	論功，加太子少保。
HCH_012_252_000159	而湖廣將張應元、汪之鳳敗賊水右壩，獲其軍師。
HCH_012_252_000160	四川將張令、方國安敗之千江河。
HCH_012_252_000161	李國奇、賀人龍等敗之寒溪寺、鹽井。
HCH_012_252_000162	川、陜、湖廣諸將畢集，復連敗之黃墩、木瓜溪，軍聲大振。
HCH_012_252_000163	汝才、登相求撫，獻忠持之，斂兵南漳、遠安間，殺安撫官姚宗中，走大寧、大昌，犯巫山，為川中患。
HCH_012_252_000164	獻忠遁興安、平利山中，良玉圍而不攻，賊得收散亡，由興安、房縣走白羊山而西，與汝才等合。
HCH_012_252_000165	嗣昌以群賊合，其勢復張，乃由襄陽赴夷陵，扼其要害。
HCH_012_252_000166	帝念嗣昌行間勞苦，賜敕發賞功銀萬，賜鞍馬二。
HCH_012_252_000167	罷鄖陽撫治王鰲永，詔廢將猛如虎軍前立功。
HCH_012_252_000168	黃得功、宋紀大破賊商城，賀一龍五大部降而復叛。
HCH_012_252_000169	鄭嘉棟、賀人龍大破汝才、登相開縣。
HCH_012_252_000170	汝才偕小秦王東奔，登相越開縣而西，自是二賊始分。
HCH_012_252_000171	當是時，諸部士馬居山谷，罹炎暑瘴毒，物故十二三。
HCH_012_252_000172	京兵之在荊門、雲南兵之在簡坪、湖廣兵之在馬蝗坡者，久屯思歸，夜亡多。
HCH_012_252_000173	關河大旱，人相食，土寇蜂起，陜西竇開遠、河南李際遇為之魁，饑民從之，所在告警。
