HCH_012_138_000102	歲凶盜起，發倉粟十餘萬斛貸民，俾秋成還倉。
HCH_012_138_000103	盜聞，皆來歸。
HCH_012_138_000104	令占宅自為保伍，得數千家。
HCH_012_138_000105	帝聞而嘉之。
HCH_012_138_000106	後坐事被逮，以有善政，特釋為寶鈔提舉。
HCH_012_138_000107	十一年，帝謂吏部曰：「資格為常流設耳，有才能者當不次用之。」
HCH_012_138_000108	超擢者九十五人。
HCH_012_138_000109	而拜震戶部侍郎，尋進尚書。
HCH_012_138_000110	奉命定丞相、御史大夫以下負祿之制。
HCH_012_138_000111	出為湖廣布政使，以老致仕。
HCH_012_138_000112	洪武初，有張琬者，鄱陽人。
HCH_012_138_000113	以貢士試高等，授給事中，改戶部主事。
HCH_012_138_000114	一日，帝問天下財賦、戶口之數。
HCH_012_138_000115	口對無遺。
HCH_012_138_000116	帝悅，立擢左侍郎。
HCH_012_138_000117	謹身殿災，上言時政。
HCH_012_138_000118	歲饑，請蠲民租百萬餘石。
HCH_012_138_000119	俱見嘉納。
HCH_012_138_000120	琬才敏，有心計，年二十七，卒於官。
HCH_012_138_000121	時人惜之。
HCH_012_138_000122	周禎，字文典，江寧人。
HCH_012_138_000123	元末流寓湖南。
HCH_012_138_000124	太祖平武昌，用為江西行省僉事，曆大理卿。
HCH_012_138_000125	太祖以唐、宋皆有成律斷獄，惟元以一時行事為條格，胥吏易為奸，詔禎與李善長、劉基、陶安、滕毅等定律令。
HCH_012_138_000126	少卿劉惟謙、丞周湞與焉。
HCH_012_138_000127	書成，太祖稱善。
HCH_012_138_000128	洪武元年設刑部，以禎為尚書。
HCH_012_138_000129	尋改治書侍御史。
HCH_012_138_000130	明年出為廣東行省參政。
HCH_012_138_000131	時省治初開，正官多缺，吏治鮮勸懲。
HCH_012_138_000132	香山丞沖敬有治行，以勞卒官。
HCH_012_138_000133	禎為文祭之，聞者感動。
HCH_012_138_000134	一時郡邑良吏雷州同知余騏孫、惠州知府萬迪、乳源知縣張安仁、清流知縣李鐸、揭陽縣丞許德、廉州知府脫因、歸善知縣木寅，禎皆列其政績以聞。
HCH_012_138_000135	寅，土司。
HCH_012_138_000136	脫因，蒙古人也。
HCH_012_138_000137	於是屬吏益勸。
HCH_012_138_000138	三年九月召為御史中丞。
HCH_012_138_000139	尋引疾致仕。
HCH_012_138_000140	帝初即位，懲元寬縱，用法太嚴，奉行者重足立。
HCH_012_138_000141	律令既具，吏士始知循守。
HCH_012_138_000142	其後數有厘正，皆以禎書為權輿雲。
HCH_012_138_000143	劉惟謙，不詳何許人。
HCH_012_138_000144	吳元年以才學舉。
HCH_012_138_000145	洪武初，曆官刑部尚書。
HCH_012_138_000146	六年命詳定新律，刪繁損舊，輕重得宜。
HCH_012_138_000147	帝親加裁定頒行焉。
HCH_012_138_000148	後坐事免。
HCH_012_138_000149	周湞，字伯甯，鄱陽人。
HCH_012_138_000150	江西十才子之一也，官亦至刑部尚書。
HCH_012_138_000151	終洪武世，為刑部者亦幾四十人，楊靖最著，而端復初、李質、黎光、劉敏亦有名。
HCH_012_138_000152	復初，字以善，溧水人。
HCH_012_138_000153	子貢裔也，從省文，稱端氏。
HCH_012_138_000154	元末為小吏。
HCH_012_138_000155	常遇春鎮金華，召致幕下。
HCH_012_138_000156	未幾，辭去。
HCH_012_138_000157	太祖知其名，召為徽州府經歷。
HCH_012_138_000158	令民自實田，ＢＺ為圖籍，積弊盡刷。
HCH_012_138_000159	稍遷至磨勘司令。
HCH_012_138_000160	時官署新立，案牘填委，復初鉤稽無遺。
HCH_012_138_000161	帝嘗廷譽之。
HCH_012_138_000162	性嚴峭，人不敢幹以私。
HCH_012_138_000163	僚屬多貪敗，復初獨以清白免。
HCH_012_138_000164	洪武四年，超拜刑部尚書，用法平。
HCH_012_138_000165	杭州飛糧事覺，逮系百餘人。
HCH_012_138_000166	詔復初往治，誠偽立辨，知府以下皆服罪。
HCH_012_138_000167	明年出為湖廣參政。
HCH_012_138_000168	令民來歸者，復其賦一年。
HCH_012_138_000169	流亡畢集。
HCH_012_138_000170	以治辦聞。
HCH_012_138_000171	坐事召還，卒。
HCH_012_138_000172	子孝文，翰林待詔；孝思，翰林侍書。
HCH_012_138_000173	先後使朝鮮，並著清節，朝鮮人為立「雙清館」雲。
HCH_012_138_000174	李質，字文彬，德慶人。
HCH_012_138_000175	有材略。
HCH_012_138_000176	元末居何真麾下，嘗募兵平德慶亂民，旁郡多賴其保障。
HCH_012_138_000177	名士客嶺南者，茶陵劉三吾、江右伯顏子中、羊城孫蕡、建安張智等，皆禮之。
HCH_012_138_000178	洪武元年，從真降，授中書斷事。
HCH_012_138_000179	明年改都督府斷事，強力執法。
HCH_012_138_000180	五年擢刑部侍郎，進尚書，治獄平恕。
HCH_012_138_000181	遣振饑山東，禦制詩餞之。
HCH_012_138_000182	尋出為浙江行省參政。
HCH_012_138_000183	居三年，惠績著聞。
HCH_012_138_000184	帝念質老，召還。
HCH_012_138_000185	嘗入見便殿，訪時政。
HCH_012_138_000186	質直言無隱。
HCH_012_138_000187	拜靖江王右相。
HCH_012_138_000188	王罪廢，質竟坐死。
HCH_012_138_000189	黎光，東莞人。
HCH_012_138_000190	以鄉薦拜御史，巡蘇州，請振水災，全活甚眾。
HCH_012_138_000191	巡鳳陽，上封事悉切時弊，帝嘉之。
HCH_012_138_000192	洪武九年，擢刑部侍郎，執法不阿，為御史大夫陳甯所忌，坐事死貶所。
HCH_012_138_000193	劉敏，肅寧人。
HCH_012_138_000194	舉孝廉，為中書省吏。
HCH_012_138_000195	嘗暮市蘆龍江，旦載於家，俾妻織蓆，鬻以奉母。
HCH_012_138_000196	而後，入治事。
HCH_012_138_000197	性廉介，或遺之瓷瓦器，亦不受。
HCH_012_138_000198	為楚相府錄事，中書以沒官女婦給文臣家，眾勸其請給以事母。
HCH_012_138_000199	敏固辭曰：「事母，子婦事，何預他人。」
HCH_012_138_000200	及省臣敗，吏多坐誅，敏獨無所預。
HCH_012_138_000201	帝賢之，擢工部侍郎，改刑部。
HCH_012_138_000202	出為徽州府同知，有惠政，卒於官。
HCH_012_138_000203	楊靖，字仲甯，山陽人。
HCH_012_138_000204	洪武十八年進士，選吏科庶起士。
HCH_012_138_000205	明年擢戶部侍郎。
HCH_012_138_000206	時任諸司者，率進士及太學生，然時有不法者。
HCH_012_138_000207	帝制《大誥》，舉通政使蔡瑄、左通政茹瑺、工部侍郎秦逵及靖以諷厲之曰：「此亦進士太學生也，能率職以稱朕心。」
HCH_012_138_000208	其見稱如此。
HCH_012_138_000209	二十二年進尚書。
HCH_012_138_000210	明年五月詔在京官三年皆遷調，著為令。
HCH_012_138_000211	乃以刑部尚書趙勉與靖換官。
HCH_012_138_000212	諭曰：「愚民犯法，如啖飲食。設法防之，犯者益眾。推恕行仁，或能感化。自今惟犯十惡並殺人者死，餘罪皆令輸粟北邊。」
HCH_012_138_000213	又曰：「在京獄囚，卿等覆奏，朕親審決，猶恐有失。在外各官所擬，豈能盡當？卿等當詳讞，然後遣官審決。」
HCH_012_138_000214	靖承旨研辨，多所平反。
HCH_012_138_000215	帝嘉納之。
HCH_012_138_000216	嘗鞫一武弁，門卒撿其身，得大珠，屬僚驚異。
HCH_012_138_000217	靖徐曰：「偽也，安有珠大如此者乎。」
HCH_012_138_000218	碎之。
HCH_012_138_000219	帝聞，歎曰：「靖此舉，有四善焉。不獻朕求悅，一善也；不窮追投獻，二善也；不獎門卒，杜小人僥倖，三善也；千金之珠卒然而至，略不動心，有過人之智，應變之才，四善也。」
HCH_012_138_000220	二十六年，兼太子賓客，並給二祿。
HCH_012_138_000221	已，坐事免。
HCH_012_138_000222	會征龍州趙宗壽，詔靖諭安南輸粟餉師。
HCH_012_138_000223	以白衣往。
HCH_012_138_000224	安南相黎一元以陸運險艱，欲不奉詔。
HCH_012_138_000225	靖宣示反覆開諭，且許以水運。
HCH_012_138_000226	一元乃輸粟二萬，至沲海江別造浮橋以達龍州。
HCH_012_138_000227	帝大悅，拜靖左都御史。
HCH_012_138_000228	靖公忠有智略，善理繁劇，治獄明察而不事深文。
HCH_012_138_000229	寵遇最厚，同列無與比。
HCH_012_138_000230	三十年七月，坐為鄉人代改訴冤狀草，為御史所劾。
HCH_012_138_000231	帝怒，遂賜死。
HCH_012_138_000232	時年三十八。
HCH_012_138_000233	時有淩漢，字鬥南，原武人。
HCH_012_138_000234	以秀才舉，獻《烏鵲論》。
HCH_012_138_000235	授官，歷任御史。
HCH_012_138_000236	巡按陝西，疏所部疾困數事。
HCH_012_138_000237	帝善之，召其子賜衣鈔。
HCH_012_138_000238	漢鞫獄平允。
HCH_012_138_000239	及還京，有德漢者，邀置酒，欲厚贈以金。
HCH_012_138_000240	漢曰：「酒可飲，金不可受也。」
HCH_012_138_000241	帝聞之嘉歎，擢右都御史。
HCH_012_138_000242	時詹徽為左，論議不合，每面折徽，徽銜之。
HCH_012_138_000243	左遷刑部侍郎，改禮部。
HCH_012_138_000244	後為徽所劾，降左僉都御史。
HCH_012_138_000245	帝憫其衰，令歸田裏。
HCH_012_138_000246	漢以徽在，有後憂，不敢去。
HCH_012_138_000247	歲餘徽誅，復擢右僉都御史。
HCH_012_138_000248	尋致仕歸。
HCH_012_138_000249	漢出言不檢，居官屢躓。
HCH_012_138_000250	然以廉直見知於帝，故終得保全。
HCH_012_138_000251	又吳人嚴德瑉，由御史擢左僉都御史，以疾求歸。
HCH_012_138_000252	帝怒，黥其面，謫戍南丹。
HCH_012_138_000253	遇赦放還。
HCH_012_138_000254	布衣徒步，自齒齊民。
HCH_012_138_000255	宣德中猶存。
HCH_012_138_000256	嘗以事為御史所逮，德瑉跪堂下，自言曾在台勾當公事，曉三尺法。
HCH_012_138_000257	御史問何官。
HCH_012_138_000258	答言：「洪武中台長，所謂嚴德瑉是也。」
HCH_012_138_000259	御史大驚，揖起之。
HCH_012_138_000260	次日往謁，則擔囊徙矣。
HCH_012_138_000261	有教授與飲，見其面黥，戴敝冠，問：「老人犯何法？」
HCH_012_138_000262	瑉述前事，因言「先時國法甚嚴，仕者不保首領，此敝冠不易戴也。」
HCH_012_138_000263	乃北面拱手，稱「聖恩，聖恩」雲。
HCH_012_138_000264	單安仁，字德夫，濠人。
HCH_012_138_000265	少為府吏。
HCH_012_138_000266	元末江淮兵亂，安仁集義兵保鄉里，授樞密判官。
HCH_012_138_000267	從鎮南王孛羅普化守揚州。
HCH_012_138_000268	時群雄四起，安仁歎曰：「此輩皆為人驅除耳。王者之興，當自有別。」
HCH_012_138_000269	鎮南王為長槍軍所逐，安仁無所屬，聞太祖定集慶，乃曰：「此誠是已。」
HCH_012_138_000270	率眾歸附。
