HCH_012_002_000031	丁巳，楊璟克永州。
HCH_012_002_000032	甲子，幸汴梁。
HCH_012_002_000033	丙寅，馮勝克潼關，李思齊、張思道遁。
HCH_012_002_000034	五月己卯，廖永忠下梧州，潯、貴、容、鬱林諸州皆降。
HCH_012_002_000035	辛卯，改汴梁路為開封府。
HCH_012_002_000036	六月庚子，徐達朝行在。
HCH_012_002_000037	甲辰，海南、海北諸道降。
HCH_012_002_000038	壬戌，楊璟、朱亮祖克靖江。
HCH_012_002_000039	秋七月戊子，廖永忠下象州，廣西平。
HCH_012_002_000040	庚寅，振恤中原貧民。
HCH_012_002_000041	辛卯，將還應天，諭達等曰：「中原之民，久為羣雄所苦，流離相望，故命將北征，拯民水火。元祖宗功德在人，其子孫罔恤民隱，天厭棄之。君則有罪，民復何辜。前代革命之際，肆行屠戮，違天虐民，朕實不忍。諸將克城，毋肆焚掠妄殺人，元之宗戚，咸俾保全。庶幾上答天心，下慰人望，以副朕伐罪安民之意。不恭命者罰無赦。」
HCH_012_002_000042	丙申，命馮勝留守開封。
HCH_012_002_000043	閏月丁未，至自開封。
HCH_012_002_000044	己酉，徐達會諸將兵於臨清。
HCH_012_002_000045	壬子，常遇春克德州。
HCH_012_002_000046	丙寅，克通州，元帝趨上都。
HCH_012_002_000047	是月，徵天下賢才為守令。
HCH_012_002_000048	免吳江、廣德、太平、寧國、滁、和被災田租。
HCH_012_002_000049	八月己巳，以應天為南京，開封為北京。
HCH_012_002_000050	庚午，徐達入元都，封府庫圖籍，守宮門，禁士卒侵暴，遣將巡古北口諸隘。
HCH_012_002_000051	壬申，以京師火，四方水旱，詔中書省集議便民事。
HCH_012_002_000052	丁丑，定六部官制。
HCH_012_002_000053	御史中丞劉基致仕。
HCH_012_002_000054	己卯，赦殊死以下。
HCH_012_002_000055	將士從征者恤其家，逋逃許自首。
HCH_012_002_000056	新克州郡毋妄殺。
HCH_012_002_000057	輸賦道遠者，官為轉運，災荒以實聞。
HCH_012_002_000058	免鎮江租稅。
HCH_012_002_000059	避亂民復業者，聽墾荒地，復三年。
HCH_012_002_000060	衍聖公襲封及授曲阜知縣，並如前代制。
HCH_012_002_000061	有司以禮聘致賢士，學校毋事虛文。
HCH_012_002_000062	平刑，毋非時決囚。
HCH_012_002_000063	除書籍田器稅，民間逋負免徵。
