HCH_012_073_000051	廣東道協管刑部，應天府，在京虎賁左、濟陽、武驤右、瀋陽右、武功左、武功右、孝陵、長陵八衛，及直隸延慶州，開平中屯衛。
HCH_012_073_000052	山西道協管左軍都督府，在京錦衣、府軍右、留守左、驍騎左、驍騎右、龍虎、龍虎左、大寧中、義勇前、義勇後、英武、水軍左十二衛，晉府長史司，及直隸鎮江、太平二府，鎮江、建陽、瀋陽中屯各衛，平定、蒲州二千戶所。
HCH_012_073_000053	山東道協管宗人府，兵部，會同館，御馬監，典牧所，大通關，在京羽林右、永清右、濟川三衛，及中都留守司，遼東都司，直隸鳳陽府，徐、滁二州，中都留守左、留守中、鳳陽、鳳陽中、鳳陽右、皇陵、長淮、懷遠、徐州、滁州、泗州、壽州、宿州、武平、沂州、德州、德州左、保定後、瀋陽中各衛，洪塘千戶所。
HCH_012_073_000054	湖廣道協管右軍都督府，五城兵馬司，在京留守右、武德、忠義右、虎賁右、廣武、水軍右、江淮、永陵八衛，遼、梁、岷、吉、華陽五府，荊、襄、楚三府長史司，及興都留守司，直隸甯國府，甯國、宣州、神武中、定州、茂山各衛。
HCH_012_073_000055	貴州道協管吏部，太僕寺，上林苑監，內官、印綬二監，在京旗手衛，及長蘆鹽運司，大寧都司，萬全都司，直隸蘇州、河間、順德三府，保安州、蘇州、太倉、鎮海、薊州、遵化、鎮朔、興州五屯，忠義中、河間、天津、天津左、天津右、宣府前、宣府左、宣府右、開平、保安右、蔚州、永甯各衛，嘉興、吳淞江、梁城、滄州、興和、長安、龍門各千戶所。
HCH_012_073_000056	初，吳元年置御史臺，設左、右御史大夫，從一品；御史中丞，正二品；侍御史，從二品；治書侍御史，正三品；殿中侍御史，正五品；察院監察御史，正七品；經歷，從五品；都事，正七品；照磨、管勾，正八品。
HCH_012_073_000057	以鄧愈、湯和為御史大夫，劉基、章溢為御史中丞，諭之曰：「國家立三大府，中書總政事，都督掌軍旅，御史掌糾察。朝廷紀綱盡系於此，而臺察之任尤清要。卿等當正己以率下，忠勤以事上，毋委靡因循以縱奸，毋假公濟私以害物。」
HCH_012_073_000058	洪武九年汰侍御史及治書、殿中侍御史。
HCH_012_073_000059	十年七月，詔遣監察御史巡按州縣。
HCH_012_073_000060	十三年，專設左，右中丞，正二品；左、右侍御史，正四品，尋罷御史臺。
HCH_012_073_000061	十五年更置都察院，設監察都御史八人，秩正七品。
HCH_012_073_000062	分監察御史為浙江、河南、山東、北平、山西、陝西、湖廣、福建、江西、廣東、廣西、四川十二道，各道置御史或五人或三、四人，秩正九品。
HCH_012_073_000063	每道鑄印二，一畀御史久次者掌之，一藏內府，有事受印以出，既事納之，文曰：「繩愆糾繆」。
HCH_012_073_000064	以秀才李原名、詹徽等為都御史，吳荃等為試監察御史。
HCH_012_073_000065	試御史，一年後實授。
HCH_012_073_000066	又有理刑進士、理刑知縣，理都察院刑獄，半年實授。
HCH_012_073_000067	正德中革。
HCH_012_073_000068	十六年，升都察院為正三品，設左、右都御史各一人，正三品，左、右副都御史各一人，正四品，左、右僉都御史各二人，正五品，經歷一人，正七品，知事一人，正八品。
HCH_012_073_000069	十七年，升都御史正二品，副都御史正三品，僉都御史正四品，十二道監察御史正七品。
HCH_012_073_000070	二十三年，左副都御史袁泰言：「各道印篆相同，慮有詐偽。」
HCH_012_073_000071	乃更鑄監察御史印曰：「某道監察御史印」，其巡按印曰：「巡按某處監察御史印」。
HCH_012_073_000072	建文元年，改設都御史一人，革僉都御史。
HCH_012_073_000073	二年，改為御史府，設御史大夫，改十二道為左、右兩院，止設御史二十八人。
HCH_012_073_000074	成祖復舊制。
HCH_012_073_000075	永樂元年，改北平道為北京道。
HCH_012_073_000076	十八年，罷北京道，增設貴州、雲南、交阯三道。
HCH_012_073_000077	洪熙元年，稱行在都察院，同六部，又定巡按以八月出巡。
HCH_012_073_000078	宣德十年，罷交阯道，始定為十三道。
HCH_012_073_000079	正統中，去「行在」字。
HCH_012_073_000080	嘉靖中，以清屯，增副都御史三人，尋罷。
HCH_012_073_000081	隆慶中，以提督京營，增右都御史三人，尋亦罷。
HCH_012_073_000082	總督漕運兼提督軍務巡撫鳳陽等處兼管河道一員。
HCH_012_073_000083	太祖時，嘗置京畿都漕運司，設漕運使。
HCH_012_073_000084	洪武元年置漕運使，正四品，知事，正八品，提控案牘，從九品，屬官監運，正九品，都綱，省注。
HCH_012_073_000085	十四年罷。
HCH_012_073_000086	永樂間，設漕運總兵官，以平江伯陳瑄治漕。
HCH_012_073_000087	宣德中，又遣侍郎、都御史、少卿等官督運。
HCH_012_073_000088	至景泰二年，因漕運不斷，始命副都御史王竑總督，因兼巡撫淮、揚、廬、鳳四府，徐、和、滁三州，治淮安。
HCH_012_073_000089	成化八年，分設巡撫、總漕各一員。
HCH_012_073_000090	九年復舊。
HCH_012_073_000091	正德十三年又分設。
HCH_012_073_000092	十六年又復舊。
HCH_012_073_000093	嘉靖三十六年，以倭警，添設提督軍務巡撫鳳陽都御史。
HCH_012_073_000094	四十年歸併，改總督漕運兼提督軍務。
HCH_012_073_000095	萬曆七年加兼管河道。
HCH_012_073_000096	總督薊遼、保定等處軍務兼理糧餉一員。
HCH_012_073_000097	嘉靖二十九年置。
HCH_012_073_000098	先是，薊、遼有警，間遣重臣巡視，或稱提督。
HCH_012_073_000099	至是以邊患益甚，始置總督，開府密雲，轄順天、保定、遼東三巡撫，兼理糧餉。
HCH_012_073_000100	萬曆九年加兼巡撫順天等處。
HCH_012_073_000101	十一年復舊。
HCH_012_073_000102	天啟元年，置遼東經略。
HCH_012_073_000103	經略之名，起於萬曆二十年宋應昌暨後楊鎬。
HCH_012_073_000104	至天啟元年，又以內閣孫承宗督師經略山海關，稱樞輔。
HCH_012_073_000105	崇禎四年併入總督。
HCH_012_073_000106	十一年又增設總督於保定。
HCH_012_073_000107	總督宣大、山西等處軍務兼理糧餉一員。
HCH_012_073_000108	正統元年，始遣僉都御史巡撫宣大。
HCH_012_073_000109	景泰二年，宣府、大同各設巡撫，遣尚書石璞總理軍務。
HCH_012_073_000110	成化、弘治間，有警則遣。
HCH_012_073_000111	正德八年設總制。
HCH_012_073_000112	嘉靖初，兼轄偏、保。
HCH_012_073_000113	二十九年，去偏、保，定設總督宣大、山西等處銜。
HCH_012_073_000114	三十八年令防秋日駐宣府。
HCH_012_073_000115	四十三年，移駐懷來。
HCH_012_073_000116	隆慶四年，移駐陽和。
HCH_012_073_000117	總督陝西三邊軍務一員。
HCH_012_073_000118	弘治十年，火篩入寇，議遣重臣總督陝西、甘肅、延綏、寧夏軍務，乃起左都御史王越任之。
HCH_012_073_000119	十五年以後，或設或罷。
HCH_012_073_000120	至嘉靖四年，始定設，初稱提督軍務。
HCH_012_073_000121	七年改為總制。
HCH_012_073_000122	十九年避制字，改為總督，開府固原，防秋駐花馬池。
HCH_012_073_000123	總督兩廣軍務兼理糧餉帶管鹽法兼巡撫廣東地方一員。
HCH_012_073_000124	永樂二年，遣給事中雷填巡撫廣西。
HCH_012_073_000125	十九年，遣郭瑄、艾廣巡撫廣東。
HCH_012_073_000126	景泰三年，苗寇起，以兩廣宜協濟應援，乃設總督。
HCH_012_073_000127	成化元年，兼巡撫事，駐梧州。
HCH_012_073_000128	正德十四年，改總督為總制，尋改提督。
HCH_012_073_000129	嘉靖四十五年，另設廣東巡撫，改提督為總督，止兼巡撫廣西，駐肇慶。
HCH_012_073_000130	隆慶三年，又設廣西巡撫，除兼職。
HCH_012_073_000131	四年，革廣東巡撫，改為提督兩廣軍務兼理糧餉，巡撫廣東。
HCH_012_073_000132	萬曆三年，仍改總督，加帶管鹽法。
HCH_012_073_000133	總督四川、陝西、河南、湖廣等處軍務一員。
HCH_012_073_000134	正德五年設，尋罷。
HCH_012_073_000135	嘉靖二十七年，以苗患，又設總督四川、湖廣、貴州、雲南等處軍務。
HCH_012_073_000136	四十二年罷。
HCH_012_073_000137	天啟元年，以土官奢崇明反，又設四川、湖廣、雲南、貴州、廣西五省總督。
HCH_012_073_000138	四年，兼巡撫貴州。
HCH_012_073_000139	總督浙江、福建、江南兼制江西軍務一員。
HCH_012_073_000140	嘉靖三十三年，以倭犯杭州置。
HCH_012_073_000141	四十一年革。
HCH_012_073_000142	總督陝西、山西、河南、湖廣、四川五省軍務一員。
HCH_012_073_000143	崇禎七年置，或兼七省。
HCH_012_073_000144	十二年後，俱以內閣督師。
HCH_012_073_000145	總督鳳陽地方兼制河南、湖廣軍務一員。
HCH_012_073_000146	崇禎十四年設。
HCH_012_073_000147	總督保定地方軍務一員。
HCH_012_073_000148	崇禎十一年設。
HCH_012_073_000149	總督河南、湖廣軍務兼巡撫河南一員。
HCH_012_073_000150	崇禎十六年設。
HCH_012_073_000151	總督九江地方兼制江西、湖廣軍務一員。
HCH_012_073_000152	崇禎十六年設。
HCH_012_073_000153	總理南直隸、河南、山東、湖廣、四川軍務一員。
HCH_012_073_000154	崇禎八年設，以盧象昇為之，與總督或分或並。
HCH_012_073_000155	總理河漕兼提督軍務一員。
HCH_012_073_000156	永樂九年遣尚書治河，自後間遣侍郎、都御史。
HCH_012_073_000157	成化後，始稱總督河道。
HCH_012_073_000158	正德四年，定設都御史。
HCH_012_073_000159	嘉靖二十年，以都御史加工部職銜，提督河南、山東、直隸河道。
HCH_012_073_000160	隆慶四年，加提督軍務。
HCH_012_073_000161	萬曆五年，改總理河漕兼提督軍務。
HCH_012_073_000162	八年革。
HCH_012_073_000163	總理糧儲提督軍務兼巡撫應天等府一員。
HCH_012_073_000164	宣德五年，初命侍郎總督糧儲兼巡撫。
HCH_012_073_000165	景泰四年，定遣都御史。
HCH_012_073_000166	嘉靖三十三年，以海警，加提督軍務，駐蘇州。
HCH_012_073_000167	萬曆中，移駐句容，已復駐蘇州。
HCH_012_073_000168	巡撫浙江等處地方兼提督軍務一員。
HCH_012_073_000169	永樂初，遣尚書治兩浙農事。
HCH_012_073_000170	以後或巡視或督鹺，有事則遣。
HCH_012_073_000171	嘉靖二十六年，以海警，始命都御史巡撫浙江，兼管福建福、興、建寧、漳、泉海道地方，提督軍務。
HCH_012_073_000172	二十七年，改巡撫為巡視。
HCH_012_073_000173	二十八年罷。
HCH_012_073_000174	三十一年復設。
HCH_012_073_000175	巡撫福建地方兼提督軍務一員。
HCH_012_073_000176	嘉靖二十六年，既設浙江巡撫兼轄福、興、漳、泉等處，三十五年，以閩、浙道遠，又設提督軍務兼巡福、興、漳、泉、福寧海道都御史。
HCH_012_073_000177	後改巡撫福建，統轄全省。
HCH_012_073_000178	巡撫順天等府地方兼整飭薊州等處邊備一員。
HCH_012_073_000179	成化二年，始專設都御史贊理軍務，巡撫順天、永平二府，尋兼撫河間、真定、保定，凡五府。
HCH_012_073_000180	七年，兼理八府。
HCH_012_073_000181	八年，以畿輔地廣，從居庸關中分，設二巡撫，其東為巡撫順天、永平二府，駐遵化。
HCH_012_073_000182	崇禎二年，又於永平分設巡撫兼提督山海軍務，其舊者止轄順天。
HCH_012_073_000183	巡撫保定等府提督紫荊等關兼管河道一員。
HCH_012_073_000184	成化八年，分居庸關以西，另設巡撫保定、真定、河間、順德、大名、廣平六府，提督紫荊、倒馬、龍泉等關，駐真定。
HCH_012_073_000185	萬曆七年，兼管河道。
HCH_012_073_000186	巡撫河南等處地方兼管河道提督軍務一員。
HCH_012_073_000187	宣德五年，遣兵部侍郎于謙巡撫山西、河南。
HCH_012_073_000188	正統十四年，以左副都御史王來巡撫湖廣、河南。
HCH_012_073_000189	景泰元年，始專設河南巡撫。
HCH_012_073_000190	萬曆七年，兼管河道。
HCH_012_073_000191	八年，加提督軍務。
HCH_012_073_000192	巡撫山西地方兼提督雁門等關軍務一員。
HCH_012_073_000193	宣德五年，以侍郎巡撫河南、山西。
HCH_012_073_000194	正統十三年，始命都御史專撫山西，鎮守雁門。
HCH_012_073_000195	天順、成化間暫革，尋復置。
HCH_012_073_000196	巡撫山東等處地方督理營田兼管河道提督軍務一員。
HCH_012_073_000197	正統五年始設巡撫。
HCH_012_073_000198	十三年，定遣都御史。
HCH_012_073_000199	嘉靖四十二年，加督理營田。
HCH_012_073_000200	萬曆七年，兼管河道。
HCH_012_073_000201	八年，加提督軍務。
HCH_012_073_000202	巡撫遼東地方贊理軍務一員。
HCH_012_073_000203	正統元年設，舊駐遼陽，後地日蹙，移駐廣寧，駐山海關，後又駐寧遠。
HCH_012_073_000204	巡撫宣府地方贊理軍務一員。
HCH_012_073_000205	正統元年，命都御史出巡塞北，因奏設巡撫兼理大同。
HCH_012_073_000206	景泰二年，另設大同巡撫，後復並為一。
HCH_012_073_000207	成化十年，復分設。
HCH_012_073_000208	十四年，加贊理軍務。
HCH_012_073_000209	巡撫大同地方贊理軍務一員。
HCH_012_073_000210	初與宣府共一巡撫，後或分或並。
HCH_012_073_000211	成化十年，復專設，加贊理軍務。
HCH_012_073_000212	巡撫延綏等處贊理軍務一員。
HCH_012_073_000213	宣德十年，遣都御史出鎮。
HCH_012_073_000214	景泰元年，專設巡撫加參贊軍務。
HCH_012_073_000215	成化九年，徙鎮榆林。
HCH_012_073_000216	隆慶六年，改贊理軍務。
HCH_012_073_000217	巡撫寧夏地方贊理軍務一員。
HCH_012_073_000218	正統元年，以右僉都御史郭智鎮撫寧夏，參贊軍務。
HCH_012_073_000219	天順元年罷。
HCH_012_073_000220	二年復設，去參贊。
HCH_012_073_000221	隆慶六年，加贊理軍務。
HCH_012_073_000222	巡撫甘肅等處贊理軍務一員。
HCH_012_073_000223	宣德十年，命侍郎鎮守。
HCH_012_073_000224	正統元年，甘、涼用兵，命侍郎參贊軍務。
HCH_012_073_000225	景泰元年，定設巡撫都御史。
HCH_012_073_000226	隆慶六年，改贊理軍務。
HCH_012_073_000227	巡撫陝西地方贊理軍務一員。
HCH_012_073_000228	宣德初，遣尚書、侍郎出鎮。
HCH_012_073_000229	正統間，命右都御史陳鎰、王文等出入更代。
