HCH_009_115_000063	圍城中授安平都尉。
HCH_009_115_000064	天興元年冬十二月，上親出師，授西面元帥。
HCH_009_115_000065	性淫姣，常思亂以快其欲。
HCH_009_115_000066	藥安國者，管州人，年二十餘，有勇力。
HCH_009_115_000067	嘗為嵐州招撫使，以罪系開封獄，既出，貧無以為食。
HCH_009_115_000068	立將為變，潛結納之，安國健啖，日飽之以魚，遂與之謀。
HCH_009_115_000069	先以家置西城上，事不勝則挈以逃。
HCH_009_115_000070	日與都尉楊善入省中候動靜，佈置已定，召善以早食，殺之。
HCH_009_115_000071	二年正月，遂帥甲卒二百，撞省門而入。
HCH_009_115_000072	二相聞變趨出，立拔劍曰：「京城危困，二公欲如何處之？」
HCH_009_115_000073	二相曰：「事當好議之。」
HCH_009_115_000074	立不顧，麾其党張信之、孛術魯長哥出省，二相遂遇害。
HCH_009_115_000075	馳往東華門，道遇點檢溫屯阿裏，見其衷甲，殺之。
HCH_009_115_000076	即諭百姓曰：「吾為二相閉門無謀，今殺之，為汝一城生靈請命。」
HCH_009_115_000077	眾皆稱快。
HCH_009_115_000078	是日，御史大夫裴滿阿忽帶、諫議大夫左右司郎中烏古孫奴申、左副點檢完顏阿散、奉禦忙哥、講議蒲察琦、戶部尚書完顏珠顆皆死。
HCH_009_115_000079	立還省中，集百官議所立。
HCH_009_115_000080	立曰：「衛紹王太子從恪，其妹公主在北兵中，可立之。」
HCH_009_115_000081	乃遣其党韓鐸以太后命往召從恪。
HCH_009_115_000082	須臾入，以太后誥命梁王監國。
HCH_009_115_000083	百官拜舞山呼，從恪受之，遂遣送二相所佩虎符詣速不泬納款。
HCH_009_115_000084	凡除拜皆以監國為辭。
HCH_009_115_000085	立自稱太師、軍馬都元帥、尚書令、鄭王，出入禦乘輿，稱其妻為王妃，弟倚為平章政事，侃為殿前都點檢。
HCH_009_115_000086	其党孛術魯長哥御史中丞，韓鐸都元帥兼知開封府事，折希顏、藥安國、張軍奴並元帥，師肅左右司郎中，賈良兵部郎中兼右司都事，內府之事皆主之。
HCH_009_115_000087	初，立假安國之勇以濟事，至是複忌之，聞安國納一都尉夫人，數其違約斬之。
HCH_009_115_000088	壬申，速不泬至青城，立服禦衣，儀衛往見之。
HCH_009_115_000089	大帥喜，飲之酒，立以父事之。
HCH_009_115_000090	既還，悉燒京城樓櫓，火起，大帥大喜，始信其實降也。
HCH_009_115_000091	立托以軍前索隨駕官吏家屬，聚之省中，人自閱之，日亂數人猶若不足。
HCH_009_115_000092	又禁城中嫁娶，有以一女之故殺數人者。
HCH_009_115_000093	未幾，遷梁王及宗室近族皆置宮中，以腹心守之，限其出入。
HCH_009_115_000094	以荊王府為私第，取內府珍玩實之。
HCH_009_115_000095	二月乙酉，以天子袞冕後服上進。
HCH_009_115_000096	又括在城金銀，搜索薰灌，訊掠慘酷，百苦備至。
HCH_009_115_000097	郕國夫人及內侍高佑、京民李民望之屬，皆死杖下。
HCH_009_115_000098	溫屯衛尉親屬八人，不任楚毒，皆自盡。
HCH_009_115_000099	白撒夫人、右丞李蹊妻子皆被掠死。
HCH_009_115_000100	同惡相濟，視人如仇，期於必報而後已。
HCH_009_115_000101	人人竊相謂曰：「攻城之後七八日之中，諸門出葬者開封府計之凡百余萬人，恨不早預其數而值此不幸也。」
HCH_009_115_000102	立時與其妻入宮，兩宮賜之不可勝計。
HCH_009_115_000103	立因諷太后作書陳天時人事，遣皇乳母招歸德。
HCH_009_115_000104	當時冒進之徒爭援劉齊故事以冀非分者，比肩接武。
HCH_009_115_000105	四月壬辰，立以兩宮、梁王、荊王及諸宗室皆赴青城，甲午北行，立妻王氏備仗衛送兩宮至開陽門。
HCH_009_115_000106	是日，宮車三十七兩，太后先，中宮次之，妃嬪又次之，宗族男女凡五百餘口，次取三教、醫流、工匠、繡女皆赴北。
HCH_009_115_000107	四月，北兵入城。
HCH_009_115_000108	立時在城外，兵先入其家，取其妻妾寶玉以出，立歸大慟，無如之何。
HCH_009_115_000109	李琦者，山西人，為都尉，在陳州與粘哥奴申同行省事，陳州變，入京，附崔立妹婿折希顏，娶夾谷元之妻，妻年二十余，有姿色，立初拘隨駕官之家屬，妻輿病而往，得免。
HCH_009_115_000110	琦娶之後，有言其美者，立欲強之。
HCH_009_115_000111	琦每見立欲奪人妻，必差其夫遠出，一日差琦出京，琦以妻自隨，如是者再三，立遂欲殺琦。
HCH_009_115_000112	琦又數為折希顏所折辱，乃首建殺立之謀。
HCH_009_115_000113	李伯淵者，寶坻人，本安平都尉司千戶，美姿容，深沉有謀，每憤立不道，欲仗義殺之。
HCH_009_115_000114	李賤奴者，燕人，嘗以軍功遙領京兆府判，壬辰冬，車駕東狩，以都尉權東面元帥。
HCH_009_115_000115	立初反，以賤奴舊與敵體，頗貌敬之。
HCH_009_115_000116	數月之後，勢已固，遂視賤奴如部曲然。
HCH_009_115_000117	賤奴積不能平，數出怨言，至是與琦等合。
HCH_009_115_000118	三年六月甲午，傳近境有宋軍，伯淵等陽與立謀備禦之策。
HCH_009_115_000119	翌日晚，伯淵等燒外封丘門以警動立。
HCH_009_115_000120	是夜，立殊不安，一夕百臥起。
HCH_009_115_000121	比明，伯淵等身來約立視火，立從苑秀、折希顏數騎往，諭京城民十五以上、七十以下男子皆詣太廟街點集。
HCH_009_115_000122	既還，行及梳行街，伯淵欲送立還二王府，立辭數四，伯淵必欲親送，立不疑，倉卒中就馬上抱立。
HCH_009_115_000123	立顧曰：「汝欲殺我耶？」
HCH_009_115_000124	伯淵曰：「殺汝何傷。」
HCH_009_115_000125	即出匕首橫刺之，洞而中其手之抱立處，再刺之，立墜馬死。
HCH_009_115_000126	伏兵起，元帥黃摑三合殺苑秀。
HCH_009_115_000127	折希顏後至不知，見立墜馬，謂與人鬥，欲前解之，隨為軍士所斫，被創走梁門外，追斬之。
HCH_009_115_000128	伯淵系立屍馬尾，至內前號於眾曰：「立殺害劫奪，烝淫暴虐，大逆不道，古今無有，當殺之不？」
HCH_009_115_000129	萬口齊應曰：「寸斬之未稱也。」
HCH_009_115_000130	乃梟立首，望承天門祭哀宗。
HCH_009_115_000131	伯淵以下軍民皆慟，或剖其心生啖之。
HCH_009_115_000132	以三屍掛闕前槐樹上，樹忽拔，人謂樹有靈，亦厭其為所汙。
HCH_009_115_000133	已而有告立匿宮中珍玩，遂籍其家，以其妻王花兒賜丞相鎮海帳下士。
HCH_009_115_000134	初，立之變也，前護衛蒲鮮石魯負祖宗禦容五，走蔡。
HCH_009_115_000135	前御史中丞蒲察世達、西面元帥把撒合挈其家亦自拔歸蔡。
HCH_009_115_000136	七月己巳，以世達為尚書吏部侍郎，權行六部尚書。
HCH_009_115_000137	世達嘗為左司郎中，同簽樞密院事，充益政院官，皆稱上意。
HCH_009_115_000138	及上幸歸德，遣世達督陳糧運。
HCH_009_115_000139	陳變，世達亦與脅從，尋間道之汴，至是徒往行在，上念其舊，錄用之。
HCH_009_115_000140	左右司官因奏把撒合、石魯亦宜任用，上曰：「世達曲從，非出得已，然朕猶少降資級，以示薄罰。彼撒合掌軍一面，石魯宿衛九重，崔立之變，曾不聞發一矢，束手於人。今雖來歸，待以不死，足以示恩，又安得與世達等？撒合老矣，量用其子可也。石魯但當酬其負禦容之勞。」
HCH_009_115_000141	未幾，以撒合為北門都尉，其子為本軍都統。
HCH_009_115_000142	石魯複充護衛。
HCH_009_115_000143	世達字正夫，泰和三年進士。
HCH_009_115_000144	論曰：崔立納款，使其封府庫、籍人民以俟大朝之命可也。
HCH_009_115_000145	乘時僭竊，大肆淫虐，征索暴橫，輒以供備大軍為辭，逞欲由己，斂怨歸國，其為罪不容誅矣。
HCH_009_115_000146	而其志方且要求劉豫之事，我大朝豈肯效尤金人者乎！
HCH_009_115_000147	金俘人之主，帝人之臣，百年之後適啟崔立之狂謀，以成青城之烈禍。
HCH_009_115_000148	曾子曰：「戒之戒之，出乎爾者，反乎爾者也。」
HCH_009_115_000149	豈不信哉！
HCH_009_115_000150	聶天驥，字元吉，五台人。
HCH_009_115_000151	至甯元年進士，調汝陰簿，曆睢州司候、封丘令。
HCH_009_115_000152	興定初，辟為尚書省令史。
HCH_009_115_000153	時胥吏擅威，士人往往附之，獨天驥不少假借，彼亦不能害也。
HCH_009_115_000154	尋授吏部主事，權監察御史。
HCH_009_115_000155	夏使賀正旦，互市于會同館，外戚有身貿易於其間者，天驥上章曰：「大官近利，失朝廷體，且取輕外方。」
HCH_009_115_000156	遂忤太后旨。
HCH_009_115_000157	出為同知汝州防禦使事，未赴，陝西行尚書省驛召，特旨遙領金安軍節度副使，兼行尚書省都事。
HCH_009_115_000158	未幾，人為右司員外郎，轉京兆治中，尋為衛州行尚書六部事。
HCH_009_115_000159	慶陽圍急，朝廷遣宿州總帥牙古塔救之，以天驥充經歷官。
HCH_009_115_000160	圍解，從別帥守邠，帥欲棄州而東，天驥力勸止之，不從，帥坐是被系逮，天驥降京兆治中。
HCH_009_115_000161	尋有訟其冤者，即召為開封簽事，旬月複右司員外郎。
HCH_009_115_000162	丁母憂，未卒哭，奪哀複職。
HCH_009_115_000163	哀宗遷歸德，天驥留汴中。
HCH_009_115_000164	崔立變，天驥被創甚，臥一十餘日。
HCH_009_115_000165	其女舜英謁醫救療，天驥歎曰：「吾幸得死，兒女曹乃為謁醫，尚欲我活耶？」
HCH_009_115_000166	竟鬱鬱以死。
HCH_009_115_000167	舜英葬其父，明日亦自縊，有傳。
HCH_009_115_000168	天驥沉靜寡言，不妄交。
HCH_009_115_000169	起於田畝，能以雅道自將，踐曆台省若素宦然，諸人多自以為不及也。
HCH_009_115_000170	赤盞尉忻，字大用，上京人。
HCH_009_115_000171	當襲其父謀克，不願就，中明昌五年策論進士第。
HCH_009_115_000172	後選為尚書省令史、吏部主事、監察御史，言「諸王駙馬至京師和買諸物，失朝廷體。」
HCH_009_115_000173	有詔禁止。
HCH_009_115_000174	遷鎮南軍節度副使、息州刺史。
HCH_009_115_000175	耕鞠場種禾，兩禾合穗，進於朝，特詔褒諭。
HCH_009_115_000176	改丹州，遷鄭州防禦使，權許州統軍使。
HCH_009_115_000177	丞相高汝礪嘗薦其才可任宰相。
HCH_009_115_000178	元光二年正月，召為戶部侍郎。
HCH_009_115_000179	未幾，權參知政事。
HCH_009_115_000180	二月，為戶部尚書，權職如故。
HCH_009_115_000181	三月，拜參知政事，兼修國史。
HCH_009_115_000182	詔諭近臣曰：「尉忻資稟純質，事可倚任，且其性孝，朕今相之，國家必有望，汝輩當效之也。」
HCH_009_115_000183	正大元年五月，拜尚書右丞。
HCH_009_115_000184	哀宗欲修宮室，尉忻極諫，至是臥薪嚐膽為言，上悚然從之。
HCH_009_115_000185	同判睦親府內族撒合輦交結中外，久在禁近。
HCH_009_115_000186	哀宗為太子，有定策功，由是頗惑其言，複倚信日深，台諫每以為言。
HCH_009_115_000187	太后嘗戒敕曰：「上之騎鞠舉樂，皆汝教之，再犯必杖汝。」
HCH_009_115_000188	哀宗終不能去。
HCH_009_115_000189	尉忻諫曰：「撒合輦奸諛之最，日在天子左右，非社稷福。」
HCH_009_115_000190	上悔悟，出為中京留守，朝論快之。
HCH_009_115_000191	五年，致仕，居汴中，崔立之變明日，召家人付以後事，望睢陽慟哭，以弓弦自縊而死，時年六十三。
HCH_009_115_000192	一子名董七，沒於兵間。
HCH_009_115_000193	弟秉甫，字正之。
HCH_009_115_000194	贊曰：聶天驥素履清慎，赤盞尉忻天資忠諒，在治世皆足為良臣，不幸仕亂離之朝，以得死為願欲，哀哉！
