HCH_012_313_000035	自是，遂以公爵佩印，為故事。
HCH_012_313_000036	諸土司之進止予奪，皆咨稟。
HCH_012_313_000037	及承平久，文網周密，凡事必與太監撫、按、三司會議後行，動多掣肘，土官子孫承襲有積至二三十年不得職者。
HCH_012_313_000038	土官復慢令玩法，無所忌憚；待其罪大惡極，然後興兵征剿，致軍民日困，地方日壞。
HCH_012_313_000039	大學士楊一清等因武定安銓之亂，痛切陳之。
HCH_012_313_000040	黔國公沐紹勛亦以為言。
HCH_012_313_000041	雖得旨允行，亦不能更革。
HCH_012_313_000042	馴至神宗之世，朝廷惰俞，封疆敗壞日甚一日。
HCH_012_313_000043	緬、莽之叛，皆土官之失職者導之。
HCH_012_313_000044	雖稍奏膚功，而滇南喪敗，卒由土官沙定洲之禍。
HCH_012_313_000045	沙定洲者，王弄山長官司沙源之子也。
HCH_012_313_000046	源驍勇有將材，萬歷中，數從征調有功，巡撫委以王弄副長官事。
HCH_012_313_000047	繼以征建水功，以安南長官司廢地畀之。
HCH_012_313_000048	後征東川、水西、馬龍山等處，全雲南會城，稱首功，累加至宣撫使，時號沙兵。
HCH_012_313_000049	定洲，其仲子也。
HCH_012_313_000050	崇禎中，元謀土知州吾必奎叛。
HCH_012_313_000051	總兵官沐天波剿之，調定洲從征。
HCH_012_313_000052	定洲不欲行，出怨言。
HCH_012_313_000053	會奸徒饒希之、余錫朋者逋天波金，無以償。
HCH_012_313_000054	錫朋常出入土司家，誇黔府富盛。
HCH_012_313_000055	定洲心動，陰結都司阮韻嘉諸人為內應。
HCH_012_313_000056	既定洲入城辭行，天波以家諱日不視事，定洲噪而入，焚劫其府。
HCH_012_313_000057	天波聞變，由小竇遁。
HCH_012_313_000058	時寧州土司祿永命在城，方巷戰拒賊，從官周鼎止天波，留討賊。
HCH_012_313_000059	天波疑鼎為定洲誘己，殺之，其母妻皆走城北自焚死。
HCH_012_313_000060	定洲據黔府，盤踞會城。
HCH_012_313_000061	劫巡撫吳兆元，使題請代天波鎮滇，傳檄州縣，全滇震動。
HCH_012_313_000062	祿永命與石屏州龍在田俱引所部去。
HCH_012_313_000063	天波走楚雄，金滄副使楊畏知奉調駐城中，謂天波曰：「公何不走永昌，使楚得為備，而公在彼掎角，首尾牽制之，上策也。」
HCH_012_313_000064	天波從之。
HCH_012_313_000065	定洲至楚雄，城閉不得入，乃去。
HCH_012_313_000066	遣其黨王翔、李日芳等，攻陷大理、蒙化。
HCH_012_313_000067	畏知乘間檄城外居民盡入城，築陴浚隍，調土、漢兵守之。
HCH_012_313_000068	定洲聞祿永命等各固守，不敢至永昌，恐畏知截其歸路，急還兵攻楚雄。
HCH_012_313_000069	畏知坐城樓，賊發巨炮擊之，煙焰籠城櫓，眾謂畏知已死，而畏知端坐自如，賊相驚謂神。
HCH_012_313_000070	畏知伺賊間，輒出奇兵殺賊甚眾。
HCH_012_313_000071	賊引去，攻石屏不下，還攻寧州，祿永命戰死。
HCH_012_313_000072	賊計迤東稍稍定，乃復攻楚雄。
HCH_012_313_000073	分兵為七十二營，環城掘濠，為久困計。
HCH_012_313_000074	會張獻忠死，其部將孫可望率余眾由遵義入黔，稱黔國焦夫人弟來復仇。
HCH_012_313_000075	民久困沙兵，喜其來，迎之。
HCH_012_313_000076	定洲解楚雄圍，迎戰於草泥關，大敗，遁阿迷。
HCH_012_313_000077	可望破曲靖及交水，俱屠之。
HCH_012_313_000078	遂由陸涼、宜良入雲南城，分遣李定國徇迤東諸府。
HCH_012_313_000079	而可望自率兵西出，畏知禦於啟明橋，兵敗，被執。
HCH_012_313_000080	可望聞其名，不殺，語之曰：「吾與爾共討賊，何如？」
HCH_012_313_000081	畏知要以三事：「不用獻忠偽號，不殺百姓，不擄婦女，吾從爾。」
HCH_012_313_000082	可望皆許之。
HCH_012_313_000083	即折箭相誓，乃以書諭天波如畏知言，天波亦來歸。
HCH_012_313_000084	而李定國之徇臨安者，定洲部目李阿楚拒戰甚力。
HCH_012_313_000085	定國穴地置炮，炮發城陷，遂入。
HCH_012_313_000086	驅城中官民於城外白場殺之，凡七萬八千餘人，斬獲不與焉。
HCH_012_313_000087	當時皆意定國破臨安，必襲阿迷，取定洲，乃僅掠臨安子女而回，所過無不屠滅。
HCH_012_313_000088	迤西以畏知在軍，得保全。
HCH_012_313_000089	始定洲歸，屯兵洱革龍，且借安南援自固。
HCH_012_313_000090	會可望與定國不協，聲其罪，杖之百，責以取定洲自贖。
HCH_012_313_000091	定國既至，定洲土目楊嘉方迎定洲就其營宴。
HCH_012_313_000092	定國偵知之，率兵圍營，相拒數日，乃出降。
HCH_012_313_000093	遂械定洲及妻萬氏數百人回雲南，剝其皮市中。
HCH_012_313_000094	可望遂據滇，而天波卒走死於緬甸。
HCH_012_313_000095	大理，唐葉榆縣境也。
HCH_012_313_000096	麟德初，置姚州都督府。
HCH_012_313_000097	開元末，蒙詔皮羅閣建都於此，為南詔，治太和城。
HCH_012_313_000098	至閣羅鳳，號大蒙國，異牟尋改大禮國。
HCH_012_313_000099	其後，鄭買賜、趙善政、楊幹貞互篡奪，至五代晉時，段思平得之，更號大理國。
HCH_012_313_000100	元憲宗取雲南，至大理，段智興降附，乃設都元帥，封智興為摩訶羅嵯，管領八方。
HCH_012_313_000101	又以劉時中為宣撫使，同智興安輯其民。
HCH_012_313_000102	段氏有大理，傳十世至寶。
HCH_012_313_000103	聞太祖開基江南，遣其叔段真由會川奉表歸款。
HCH_012_313_000104	洪武十四年，征南將軍傅友德克雲南，授段明為宣慰使。
HCH_012_313_000105	明遣都使張元亨貽征南將軍書曰：「大理乃唐交綏之外國，鄯闡實宋斧畫之余邦，難列營屯，徒勞兵甲。請依唐、宋故事，寬我蒙、段，奉正朔，佩華篆，比年一小貢，三年一大貢。」
HCH_012_313_000106	友德怒，辱其使。
HCH_012_313_000107	明再貽書曰：「漢武習戰，僅置益州。元祖親征，祗緣鄯闡。乞賜班師。」
HCH_012_313_000108	友德答書曰：「大明龍飛淮甸，混一區宇。陋漢、唐之小智，卑宋、元之淺圖。大兵所至，神龍助陣，天地應符。汝段氏接武蒙氏，運已絕於元代，寬延至今。我師已殲梁王，報汝世仇，不降何待？」
HCH_012_313_000109	十五年，征南左將軍藍玉、右將軍沐英率師攻大理。
HCH_012_313_000110	大理城倚點蒼山，西臨洱河為固。
