HCH_013_075_000052	十月，王嘉胤陷清水營，殺遊擊李顯宗，復陷府谷。
HCH_013_075_000053	大盜李老柴於鄜、雒間糾三千餘人攻合水。
HCH_013_075_000054	寧夏總兵賀虎臣擊賊於盤谷，斬六百餘級，又敗之寧州。
HCH_013_075_000055	十一月，山西總兵王國梁追賊於河曲，發西洋礮，礮炸，兵自亂。
HCH_013_075_000056	賊乘之，大潰，遂陷河曲。
HCH_013_075_000057	十二月乙巳，盜神一元破寧塞，據之，殺參將陳三槐，圍靖邊。
HCH_013_075_000058	副使李右梓固守。
HCH_013_075_000059	賊勾西人四千騎，益圍靖邊，三日夜，遂陷柳樹澗、保安等城。
HCH_013_075_000060	四年正月，神一元陷保安，副總兵張應昌擊敗之，神一元死，弟一魁領其衆。
HCH_013_075_000061	癸未，山西賊犯平陽。
HCH_013_075_000062	庚寅，王嘉胤渡河掠菜園溝，副總兵曹文詔擊卻之。
HCH_013_075_000063	己亥，命御史吳甡齎金賑陝西饑荒，招撫流盜，諭曰：「陝西屢報饑荒，小民失業，甚者迫而從賊，自罹鋒刃。誰非赤子，顚連若斯！今特發十萬金，命御史前去，酌彼災處，次第賑給。仍曉諭愚民，卽或脇從，僅入賊黨，若肯歸正，卽爲良民，嘉與維新，一體收恤。」
HCH_013_075_000064	上召輔臣、九卿、科、道及各省監司於文華殿。
HCH_013_075_000065	上問山西按察使杜喬林流寇之事。
HCH_013_075_000066	對曰：「寇在平陽，或在河曲，近聞漸已渡河，河曲尚阻，須大創之，但兵寡餉乏耳！」
HCH_013_075_000067	上曰：「前言寇平，何尚阻也？」
HCH_013_075_000068	對曰：「山、陝隔河，倏去倏來，故河曲獨被困。」
HCH_013_075_000069	問河曲之陷。
HCH_013_075_000070	曰：「賊未嘗攻，大抵饑民爲之內應，今不早圖，有誤國事。」
HCH_013_075_000071	上問陝西參政劉嘉遇以流寇。
HCH_013_075_000072	對曰：「流寇因兵餉不足，故難勦耳。且寇見官兵卽散，退復嘯聚。」
HCH_013_075_000073	上曰：「寇亦吾赤子也，宜招撫之。」
HCH_013_075_000074	又問近寇所在。
HCH_013_075_000075	對曰：「一在延安，一在宜川。」
HCH_013_075_000076	上凝思久之，命退。
HCH_013_075_000077	寧武總兵孫顯祖言：「聞喜、稷山賊二十餘萬，日勦日益。官兵不過二千，奔逐不支。乞發京營，或調邊騎夾勦。」
HCH_013_075_000078	命下所督便宜專制。
HCH_013_075_000079	總督張宗衡以兵餉並乏，竟不行。
HCH_013_075_000080	二月壬子，總兵賀虎臣、杜文煥合軍圍保安。
HCH_013_075_000081	神一魁勾西人千餘騎突圍出，復糾賊數萬劫寧夏。
HCH_013_075_000082	都指揮王英兵潰，諸道將棄城南奔。
HCH_013_075_000083	戊午，一魁至慶陽，破東關，遊擊伍維藩擊斬五百餘人。
HCH_013_075_000084	戊辰，賊圍慶陽，總督楊鶴在邠乾，不卽援。
HCH_013_075_000085	宜君賊趙和尚等南犯涇陽、三原、韓城、澄城，各賊分犯，不知其數。
HCH_013_075_000086	壬申，神一魁陷合水。
HCH_013_075_000087	三月丁丑，張應昌等援慶陽，賊圍解。
HCH_013_075_000088	時議招一魁，散其黨。
HCH_013_075_000089	癸未，賊帥孫繼業、茹成名等六十餘人來降，總督楊鶴受之。
HCH_013_075_000090	設御座於固原城樓上，賊跪拜呼萬歲。
HCH_013_075_000091	因宣聖諭，令設誓，各解散，或歸伍，或歸農。
HCH_013_075_000092	自此羣盜視總督如兒戲矣。
HCH_013_075_000093	甲午，陝盜劉五、可天飛據鐵角城，混天飛、獨行狼等聚蘆保嶺，衆各萬餘，分犯平涼、固原、耀州、涇陽、三原，盜混天猴薄寧州，分犯環縣。
HCH_013_075_000094	賊陷武安，走平涼，詐稱官兵，襲陷華亭。
HCH_013_075_000095	時大盜王老虎圍莊浪。
HCH_013_075_000096	曹文詔、王性善西勦，諸賊乘虛四犯。
HCH_013_075_000097	楊鶴給降人牒，令各還鄕，簡其豪千餘人，以參將吳弘器領之，駐寧塞，而宜君、雒川盜又蠭起矣。
HCH_013_075_000098	副總兵曹文詔擊賊於栗園，大敗之。
HCH_013_075_000099	四月己未，神一魁降於楊鶴。
HCH_013_075_000100	鶴責數其罪，俱伏謝。
HCH_013_075_000101	一魁有戰騎五千，鶴侈其事，上言乞賜一二萬金賑濟，又止巡撫練國事北征。
HCH_013_075_000102	宜、雒賊亦求撫於國事，從之。
HCH_013_075_000103	其脇從饑民，各給牒回籍，首領置軍中。
HCH_013_075_000104	省臣劾宣大總督魏雲中、陝西總督楊鶴恇怯玩寇，上切責雲中等平盜自贖。
HCH_013_075_000105	時言官交論鶴，鶴疏引咎。
HCH_013_075_000106	曹文詔等克河曲，斬賊一千五百餘級，獲兵械馬騾數千。
HCH_013_075_000107	丁卯，延綏巡撫洪承疇令守備賀人龍勞降者酒，降者入謝，伏兵斬三百二十人。
HCH_013_075_000108	庚午，賊陷始興。
HCH_013_075_000109	御史吳甡西行至延長，寇聚城下，諭以禍福，委同知趙鶴年分賑，賊各解散，游賊聞之，皆回受賑，撫賊七千有奇。
HCH_013_075_000110	降盜不沾泥擁衆脇糧賞，復攻米脂。
HCH_013_075_000111	總兵王承恩、侯拱極率三千人至葭州，洪承疇、張應昌亦至。
HCH_013_075_000112	賊分兩營以待，連戰，賊始遁。
HCH_013_075_000113	追至西川，斬三百餘級，賊溺死無算。
HCH_013_075_000114	官兵屯西川雙湖峪，其間窰寨六十有四，皆險絕，盡爲賊藪。
HCH_013_075_000115	承疇乃令在在設防堵截，不沾泥懼，率百騎逃關山嶺。
HCH_013_075_000116	都司馬科等追之，盡殲其騎，不沾泥乃降，手殺賊目雙翅虎，縛獻柴金龍以自贖。
HCH_013_075_000117	五月乙亥，王承恩擊宜川賊，敗之，賊闖王虎、金翅鵬乞降。
HCH_013_075_000118	金翅鵬卽王子順姪成功也。
HCH_013_075_000119	餘賊走宜君，其衆二萬。
HCH_013_075_000120	陝西都司曹變蛟追寧塞遺賊於唐毛山，賊大潰。
HCH_013_075_000121	四戰皆捷，先後斬一千四百餘級，而寧塞之逸賊稍殺矣。
HCH_013_075_000122	御史吳甡至榆林鎭，以晉兵遏糴，斗米銀六錢，草根木皮俱盡，人至相食，甡因奏：「榆林爲西北雄鎭，宿將勁兵出焉，非他鎭比。雜販牟利，商民欣赴，初無損於晉。若以防河爲名，而絕秦人之命，恐謀國不在此也。」
HCH_013_075_000123	延安賊趙四兒以萬餘人掠韓城、郃陽，靈州參將張全昌以五百人戰三日，斬三百餘級。
HCH_013_075_000124	賊走鄜州，復進擊，斬六百餘級。
HCH_013_075_000125	時榆林連旱四年，延安饑民甚衆。
HCH_013_075_000126	西安大旱，巡撫練國事更請發帑賑濟，不報。
HCH_013_075_000127	趙四兒尋降。
HCH_013_075_000128	初，洪承疇撫盜王子順等駐榆林，巡按御史李應期誅之。
HCH_013_075_000129	上謂賊勢蹶甚，招撫爲非，殺之良是，命吳甡覈奏。
HCH_013_075_000130	丁酉，延綏、榆林大雨，始有禾。
HCH_013_075_000131	庚子，盜滿天星降於楊鶴。
HCH_013_075_000132	鶴選其驍勇置營中，散其黨萬二千人，卽命其魁分勒回籍。
HCH_013_075_000133	未數月，皆畔去。
HCH_013_075_000134	壬寅，賊萬人自合水、保安逃出，攻中部，降丁內應，城陷。
HCH_013_075_000135	六月癸卯，曹文詔擊斬王嘉胤於陽城，其黨復推王自用爲首，號曰紫金梁。
HCH_013_075_000136	其黨自相名目，有老回回、八金剛、闖王、闖將、八大王、掃地王、闖塌天、破甲錐、邢紅狼、亂世王、混天王、顯道神、鄕里人、活地草等，分爲三十六營。
HCH_013_075_000137	辛酉，鄜州賊混天猴、張孟金謀襲靖邊，張應昌邀之於眞水川，敗之，追斬四百餘級。
HCH_013_075_000138	癸亥，混天猴、獨行狼等萬餘人自甘泉犯合水，洪承疇率兵追擊，敗之甘泉山中，混天猴等乞降。
HCH_013_075_000139	七月，賊首上天龍、馬老虎、獨行狼復掠鄜州，列三營於太平原，楊鶴、王承恩擊破之，上天龍等以二千人降。
HCH_013_075_000140	給事中孟國祥、曹履泰各奏撫賊欺飾之弊。
HCH_013_075_000141	癸未，逮總督陝西三邊都御史楊鶴下刑部獄，論戍之。
HCH_013_075_000142	丁亥，曹文詔等諸將擊賊，連敗之，賊奔東北。
HCH_013_075_000143	是役也，合督撫四鎭之兵，窮追半月，先後數十戰，賊敗，潛遁山谷，延安、慶陽千里內暫安焉。
HCH_013_075_000144	甲午，賊趙四兒六千餘人，東渡山西，總督洪承疇等兵從之。
HCH_013_075_000145	賊入沁水縣，縣東北有竇莊，故張忠烈公銓里居也。
HCH_013_075_000146	先是，銓父尚書五典謂海內將亂，築牆爲堡，甚堅。
HCH_013_075_000147	至是，賊犯竇莊，五典已沒，銓子道濬、道澤俱官京師，惟銓妻霍氏守舍。
HCH_013_075_000148	衆議棄堡去，霍氏語其少子道澄曰：「避賊而出，家不保；出而遇賊，身更不免。等死耳，死於家，不猶愈死於野乎？且我守堅，賊必不得志。」
HCH_013_075_000149	躬率僮僕爲守禦。
HCH_013_075_000150	賊至，環攻之，堡中矢石竝發，賊傷甚衆，越四日乃退。
HCH_013_075_000151	其避山谷者，多遇賊淫殺，惟張氏宗族得全。
HCH_013_075_000152	冀北兵備王肇生表其堡曰夫人城。
HCH_013_075_000153	辛丑，陝西賊陷中部，王承恩擊斬千七百級。
HCH_013_075_000154	八月癸卯，總兵賀虎臣擊斬慶陽賊劉六，斬其餘黨五百餘人，西路漸平。
HCH_013_075_000155	先是，巡按陝西御史李應期言秦賊旋撫旋叛，上命御史吳甡確查報聞，甡上言：「延、慶地亙數千里，土瘠民窮，連歲旱荒，盜賊蠭起。西路則神一元破寧塞、安邊，攻保安。一元死，弟一魁繼之，又破合水，圍慶陽。總督楊鶴招撫四千有奇，餘黨郝臨庵、劉六等衆不下數萬，掠環縣、眞寧間。此保安、合水之流孽也。延安四載奇荒，邊軍始亂，出掠米脂、綏德、青澗，脇從甚衆，幾於無民，流劫延南。點燈子衆號數萬，自山西回黃龍山，西安北界數州縣，被毒甚慘。此延北邊賊流毒西安者也。近官軍南勦，賊望風潛逃，相繼招安，滿天星等降於榆林，餘賊遂徙而北。其降賊雖散原籍，仍復劫掠，於是有官賊之謠，而人致恨於招撫之失事矣。點燈子衆五六千，在青澗旋撫旋叛。慶陽郝臨庵、劉六等亦曾受撫，今攻陷中部者，皆其衆也。又降賊獨頭虎見大兵之來，已出韓城、潼關，道臣胡其俊猶追贐錢九十萬，賊復橫索，一一給之惟謹。要挾重資之說，有自來矣。爲今之計，集兵合勦，殲其渠而餘衆自破，明賞罰而士氣自鼓，秦事猶可爲也。」
HCH_013_075_000156	山西賊陷隰州、蒲州，命許鼎臣巡撫山西。
HCH_013_075_000157	洪承疇駐慶陽，報乏餉，已，承疇兵大敗趙四兒於山西桑落鎭。
HCH_013_075_000158	九月，山西賊入河北，犯濟原。
HCH_013_075_000159	神一魁復叛，據寧塞，劫守將吳器、范禮。
HCH_013_075_000160	官兵攻圍之，其黨黃友才斬一魁以獻。
HCH_013_075_000161	盜獨頭虎、滿天星、一丈青、上天猴等五部，恣掠宜、雒。
HCH_013_075_000162	副總兵趙大胤在韓城，去賊營二十里，不敢出戰。
HCH_013_075_000163	土人強之出，報斬五十級。
HCH_013_075_000164	驗之，則率婦女首也。
HCH_013_075_000165	給事中魏呈潤劾大胤落職。
HCH_013_075_000166	壬辰，命洪承疇總督陝西三邊，張福臻巡撫延綏。
HCH_013_075_000167	黃友才復叛而遁，追斬千一百級。
HCH_013_075_000168	洪承疇擊賊趙四兒，擒之，卽點燈子也。
HCH_013_075_000169	起青澗、綏德，奔突延、西間，往來秦、晉，沿河郡縣多苦之。
HCH_013_075_000170	至是伏誅，平陽稍安。
HCH_013_075_000171	其黨黑煞神起，又有過天星、蠍子塊與紫金梁等，共數十部。
HCH_013_075_000172	自賊據中部，官軍攻圍兩月不下。
HCH_013_075_000173	冬十月，曹文詔及張福臻兵俱至，克之。
HCH_013_075_000174	陝西賊陷宜川。
HCH_013_075_000175	十一月丙子，陝賊譚雄陷安塞，襲掠一空，仍乞撫。
HCH_013_075_000176	閏十一月，王承恩誘譚雄等五人斬之。
HCH_013_075_000177	癸丑，陝賊不沾泥、張存孟等陷安定。
HCH_013_075_000178	甲子，王承恩克安塞，斬五百餘級，卽進勦安定，賊潛走綏德。
HCH_013_075_000179	降丁混天猴勾盜陷甘泉，劫餉銀十萬八千兩，殺知縣郭永圖，備兵河西張允登戰死。
HCH_013_075_000180	洪承疇聞之，遣王承恩分勦。
HCH_013_075_000181	以甘泉鄜、延咽喉，而自以四百人赴之，賊勢日熾。
HCH_013_075_000182	承疇日不暇給矣。
HCH_013_075_000183	寧武總兵孫顯祖敗賊蠍子塊於萬泉。
HCH_013_075_000184	十二月，甘泉賊陷宜君，又陷葭州，備兵僉事郭景嵩死之。
HCH_013_075_000185	己丑，諸降盜復叛，攻綏德。
HCH_013_075_000186	上憂延綏賊蔓，以山、陝督撫請餉疏切責戶、兵二部。
HCH_013_075_000187	兵部尚書熊明遇請措二十萬金，接濟秦中。
HCH_013_075_000188	甲午，孫顯祖於河津、聞喜等處，與賊六戰俱捷。
HCH_013_075_000189	五年正月，延綏賊僞爲米商入宜君，遂陷之。
HCH_013_075_000190	復陷保安、合水。
HCH_013_075_000191	流入山西者，陷蒲州、永寧，大掠四出。
HCH_013_075_000192	山西巡撫御史羅世錦歸咎於秦，謂以鄰爲壑。
HCH_013_075_000193	給事中裴君賜，晉人也，上言：「責成秦之撫鎭驅之回秦，而後再議勦撫。」
HCH_013_075_000194	蓋當事之無定見如此。
HCH_013_075_000195	洪承疇請留陝西餉銀二十萬，資勦費，幷以勸農，從之。
HCH_013_075_000196	先是，寧塞逸賊合環、慶諸寇，屯鎭原之蒲河，欲犯平涼，走鳳翔、漢中，陝撫練國事檄固原備兵王振奇同副總兵王性善等截守各隘口，檄平涼兵備徐如翰同副總兵董志義守涇州各要害，又檄總兵楊嘉謨等緝奸，殺賊塘馬，斷其耳目，賊遂不敢出。
HCH_013_075_000197	又食乏，互相猜疑。
HCH_013_075_000198	洪承疇從鄜州間道疾至慶陽，曹文詔以臨洮兵至，賀虎臣兵亦至，會於西澳，各夾擊賊，大小十餘戰，追奔數十里，斬首千餘級，傷墜無算，而寧塞之寇盡矣。
HCH_013_075_000199	惟渾天猴等尚據襄樂，練國事遂移鎭寧州。
HCH_013_075_000200	時以西澳之捷爲用兵來第一。
HCH_013_075_000201	戊午，洪承疇等擊敗賊於槐安堡，賊雖奔竄，尚破華亭，擾莊浪，而官兵追捕，皆破膽潛匿。
HCH_013_075_000202	先是，延西諸寇，承疇偕文詔先後清蕩，而鐵角城乃邊盜藪，郝臨庵、可天飛爲官軍所敗，獨行狼跳入其伍，耕牧鐵角城，爲持久計。
HCH_013_075_000203	聞他盜盡平，甚懼。
HCH_013_075_000204	承疇、文詔擊破之，斬可天飛，其二賊亦生得，就誅。
HCH_013_075_000205	自西澳捷後，軍聲大振，曹文詔忠勇善戰，承疇與下同甘苦，得士卒心，轉戰四載，斬級三萬，西人稍稍休息，然亦憊甚矣。
HCH_013_075_000206	甲子，陝西原任通政使馬鳴世奏曰：「三秦爲海內上游，延安、慶陽爲關中藩屏，榆林又爲延、慶藩籬；無榆林必無延、慶，無延、慶必無關中矣。乃自盜發以來，破城屠野，四載於茲。良以盜衆我寡，盜飽我饑，內鮮及時之餉，外乏應手之援。揆厥所由，緣廟堂之上，以延、慶視延、慶，未嘗以全秦視延、慶；以秦視秦，未嘗以天下安危視秦；而且誤視此流盜爲饑民。勢焰燎原，莫可撲滅。若非亟增大兵，措大餉，爲一勞永逸之計，恐官軍騖於東，賊馳於西，師老財匱，揭竿莫禦，天下事尚忍言哉！乞勅所司，亟措餉二十萬，給民牛種，爲兵士犒賞，急圖安戢，庶全秦安而各鎭安矣。」
HCH_013_075_000207	張應昌等擊黃友才，斬之。
HCH_013_075_000208	二月，寧塞逋寇復熾。
HCH_013_075_000209	庚寅，盜夜入鄜州，備兵僉事郭應響死之。
HCH_013_075_000210	三月壬戌，陝西賊陷華亭，知縣徐兆麟赴任七日，城陷，逮至，竟坐棄市，人皆寃之。
HCH_013_075_000211	四月，湖廣流盜自興國入江西太和、吉安等處。
HCH_013_075_000212	七月，山西賊陷大寧。
HCH_013_075_000213	八月，曹文詔擊賊甘泉，敗之。
HCH_013_075_000214	洪承疇令脇從者免殺，降四千餘人，散者亦數千人，餘賊散匿山谷。
HCH_013_075_000215	山西巡撫宋統殷擊賊於長子，賊奔沁水。
HCH_013_075_000216	庚辰，賊首紫金梁、老回回、八金剛以三萬衆圍竇莊。
HCH_013_075_000217	時張道濬得罪家居，率其族禦之，賊多死，聞秦師且至，懼欲乞撫。
HCH_013_075_000218	紫金梁呼於壁下，道濬登陴見之，紫金梁免冑前曰：「我王自用也。誤從王嘉胤，故至此，此來乞降耳！」
HCH_013_075_000219	俄老回回亦至。
HCH_013_075_000220	道濬諭之曰：「急還所俘，散若徒衆，吾爲請於撫軍，貸爾死。」
HCH_013_075_000221	賊乃還所掠，拔營而西，入陽城界。
HCH_013_075_000222	道濬以賊情告於統殷曰：「賊狡未可信。」
HCH_013_075_000223	因遣使往覘賊，諸賊咸就約，惟八大王、闖塌天五營不受命。
HCH_013_075_000224	紫金梁歸款未決，諸軍乘賊不備，輕騎襲賊營，賊怒，南犯濟源，陷溫縣。
HCH_013_075_000225	九月，山西賊破臨縣，賊魁豹五等據其城。
HCH_013_075_000226	又陷修武，殺知縣劉鳳翔，焚掠武陟、暉縣，遂圍懷慶。
