HCH_011_010_000022	初，義師之起也，巴東太守蕭惠訓子璝、巴西太守魯休烈弗從，舉兵侵荊州，敗輔國將軍任漾之於硤口，破大將軍劉孝慶於上明，穎胄遣軍拒之；而高祖已平江、郢，圖建康。
HCH_011_010_000023	穎胄自以職居上將，不能拒制璝等，憂愧不樂，發疾數日而卒。
HCH_011_010_000024	州中秘之，使似其書者假爲教命。
HCH_011_010_000025	及璝等聞建康將平，衆懼而潰，乃始發喪，和帝贈穎胄丞相。
HCH_011_010_000026	義師初，穎達弟穎孚自京師出亡，廬陵人循景智潛引與南歸，至廬陵，景智及宗人靈祐爲起兵，得數百人，屯西昌藥山湖。
HCH_011_010_000027	穎達聞之，假穎孚節、督廬陵豫章臨川南康安成五郡軍事、冠軍將軍、廬陵內史。
HCH_011_010_000028	穎孚率靈祐等進據西昌，東昏遣安西太守劉希祖自南江入湖拒之。
HCH_011_010_000029	穎孚不能自立，以其兵由建安復奔長沙，希祖追之，穎孚緣山踰嶂，僅而獲免。
HCH_011_010_000030	在道絕糧，後因食過飽而卒。
HCH_011_010_000031	建康城平，高祖以穎達爲前將軍、丹陽尹。
HCH_011_010_000032	上受禪，詔曰：「念功惟德，列代所同，追遠懷人，彌與事篤。齊故侍中、丞相、尚書令穎胄，風格峻遠，器㝢深邵，清猷盛業，問望斯歸。締構義始，肇基王迹，契闊屯夷，載形心事。朕膺天改物，光宅區宇，望岱觀河，永言號慟。可封巴東郡開國公，食邑三千戶，本官如故。」
HCH_011_010_000033	贈穎孚右衛將軍。
HCH_011_010_000034	加穎達散騎常侍，以公事免。
HCH_011_010_000035	及大論功賞，封穎達吳昌縣侯，邑千五百戶。
HCH_011_010_000036	尋爲侍中，改封作唐侯，縣邑如故。
HCH_011_010_000037	遷征虜將軍、太子左衛率。
HCH_011_010_000038	御史中丞任昉奏曰：有詔原之。
HCH_011_010_000039	轉散騎常侍、左衛將軍。
HCH_011_010_000040	俄復爲侍中，衛尉卿。
HCH_011_010_000041	出爲信威將軍、豫章內史，加秩中二千石。
HCH_011_010_000042	治任威猛，郡人畏之。
HCH_011_010_000043	遷使持節、都督江州諸軍事、江州刺史，將軍如故。
HCH_011_010_000044	頃之，徵爲通直散騎常侍、右驍騎將軍。
HCH_011_010_000045	旣處優閑，尤恣聲色，飲酒過度，頗以此傷生。
HCH_011_010_000046	九年，遷信威將軍、右衛將軍。
HCH_011_010_000047	是歲卒，年三十四。
HCH_011_010_000048	車駕臨哭，給東園秘器，朝服一具，衣一襲，錢二十萬，布二百匹。
HCH_011_010_000049	追贈侍中、中衛將軍，鼓吹一部。
HCH_011_010_000050	諡曰康。
HCH_011_010_000051	子敏嗣。
HCH_011_010_000052	穎胄子靡，襲巴東公，位至中書郎，早卒。
HCH_011_010_000053	夏侯詳，字叔業，譙郡人也。
HCH_011_010_000054	年十六，遭父艱，居喪哀毀。
HCH_011_010_000055	三年廬于墓，嘗有雀三足，飛來集其廬戶，衆咸異焉。
HCH_011_010_000056	服闋，刺史殷琰召補主簿。
HCH_011_010_000057	宋泰始初，琰舉豫州叛，宋明帝遣輔國將軍劉勔討之，攻守連月，人情危懼，將請救於魏。
HCH_011_010_000058	詳說琰曰：「今日之舉，本效忠節；若社稷有奉，便歸身朝廷，何可屈身北面異域。且今魏氏之卒，近在淮次，一軍未測去就，懼有異圖。今若遣使歸款，必厚相慰納，豈止免罪而已。若謂不然，請充一介。」
HCH_011_010_000059	琰許之。
HCH_011_010_000060	詳見勔曰：「將軍嚴圍峭壘，矢刃如霜，城內愚徒，實同困獸，士庶懼誅，咸欲投魏。僕所以逾城歸德，敢布腹心。願將軍弘曠蕩之恩，垂霈然之惠，解圍退舍，則皆相率而至矣。」
HCH_011_010_000061	勔許之。
HCH_011_010_000062	詳曰：「審爾，當如君言，而詳請反命。」
HCH_011_010_000063	勔遣到城下，詳呼城中人，語以勔辭，卽日琰及衆俱出，一州以全。
HCH_011_010_000064	勔爲刺史，又補主簿。
HCH_011_010_000065	頃之，爲新汲令，治有異績，刺史段佛榮班下境內，爲屬城表。
HCH_011_010_000066	轉治中從事史，仍遷別駕。
HCH_011_010_000067	歷事八將，州部稱之。
HCH_011_010_000068	齊明帝爲刺史，雅相器遇。
HCH_011_010_000069	及輔政，招令出都，將大用之。
HCH_011_010_000070	每引詳及鄉人裴叔業日夜與語，詳輒末略不酬。
HCH_011_010_000071	帝以問叔業，叔業告詳。
HCH_011_010_000072	詳曰：「不爲福始，不爲禍先。」
HCH_011_010_000073	由此微有忤。
HCH_011_010_000074	出爲征虜長史、義陽太守。
HCH_011_010_000075	頃之、建安戍爲魏所圍，仍以詳爲建安戍主，帶邊城、新蔡二郡太守，幷督光城、弋陽、汝陰三郡衆赴之。
HCH_011_010_000076	詳至建安，魏軍引退。
HCH_011_010_000077	先是，魏又於淮上置荊亭戍，常爲寇掠，累攻不能禦，詳率銳卒攻之，賊衆大潰，皆棄城奔走。
HCH_011_010_000078	建武末，征爲遊擊將軍，出爲南中郎司馬、南新蔡太守。
HCH_011_010_000079	齊南康王爲荊州，遷西中郎司馬、新興太守，便道先到江陽。
HCH_011_010_000080	時始安王遙光稱兵京邑，南康王長史蕭穎胄並未至，中兵參軍劉山陽先在州，山陽副潘紹欲謀作亂，詳偽呼紹議事，卽於城門斬之，州府乃安。
HCH_011_010_000081	遷司州刺史，辭不之職。
HCH_011_010_000082	高祖義兵起，詳與穎胄同創大舉。
HCH_011_010_000083	西臺建，以詳爲中領軍，加散騎常侍、南郡太守。
HCH_011_010_000084	凡軍國大事，穎胄多決於詳。
HCH_011_010_000085	及高祖圍郢城未下，穎胄遣衛尉席闡文如高祖軍。
HCH_011_010_000086	詳獻議曰：「窮壁易守，攻取勢難；頓甲堅城，兵家所忌。誠宜大弘經略，詢納羣言。軍主以下至於匹夫，皆令獻其所見，盡其所懷，擇善而從，選能而用，不以人廢言，不以多罔寡。又須量我衆力，度賊樵糧，窺彼人情，權其形勢。若使賊人衆而食少，故宜計日而守之；食多而力寡，故宜悉衆而攻之。若使糧力俱足，非攻守所屈，便宜散金寶，縱反間，使彼智者不用，愚者懷猜，此魏武之所以定大業也。若三事未可，宜思變通，觀於人情，計我糧穀。若德之所感，萬里同符，仁之所懷，遠邇歸義，金帛素積，糧運又充，乃可以列圍寬守，引以歲月，此王翦之所以剋楚也。若圍之不卒降，攻之未可下，間道不能行，金粟無人積，天下非一家，人情難可豫，此則宜更思變計矣。變計之道，實資英斷，此之深要，難以紙宣，輒布言於席衛尉，特願垂采。」
HCH_011_010_000087	高祖嘉納焉。
