HCH_012_052_000094	帝令再議，書等言：「將置主於武宗上。則武宗君也，分不可僭。置武宗下，則獻皇叔也，神終未安。」
HCH_012_052_000095	時廷臣於稱考稱伯，異同相半，至議祔廟，無一人以爲可者。
HCH_012_052_000096	學士張璁、桂萼亦皆以爲不可，書復密疏爭之。
HCH_012_052_000097	帝不聽，復令會議。
HCH_012_052_000098	乃準漢宣故事，於皇城內立一禰廟，如文華殿制。
HCH_012_052_000099	籩豆樂舞，一用天子禮。
HCH_012_052_000100	帝親定其名曰世廟。
HCH_012_052_000101	五年七月，諭工部以觀德殿窄隘，欲別建於奉天殿左。
HCH_012_052_000102	尚書趙璜謂不可，不聽。
HCH_012_052_000103	乃建於奉先之東，曰崇先殿。
HCH_012_052_000104	十三年，命易承天家廟曰隆慶殿。
HCH_012_052_000105	十五年，以避渠道，遷世廟，更號曰獻皇帝廟，遂改舊世廟曰景神殿，寢殿曰永孝殿。
HCH_012_052_000106	十七年，以豐坊請，稱宗以配明堂。
HCH_012_052_000107	禮官不敢違，集議者久之，言：「古者父子異昭穆，兄弟同世數。故殷有四君一世而同廟，宋太祖、太宗同居昭位。今皇考與孝宗當同一廟。」
HCH_012_052_000108	遂奉獻皇帝祔太廟。
HCH_012_052_000109	二十二年，更新太廟，廷議睿宗、孝宗並居一廟，同爲昭。
HCH_012_052_000110	帝責諸臣不竭忠任事，寢其議。
HCH_012_052_000111	已而左庶子江汝璧請遷皇考廟於穆廟首，以當將來世室，與成祖廟並峙。
HCH_012_052_000112	右贊善郭希顏又欲於太祖廟文世室外，止立四親廟，而祧孝宗、武宗。
HCH_012_052_000113	以禮臣斥其妄而止。
HCH_012_052_000114	二十四年六月，新太廟成，遂奉睿宗於太廟之左第四，序躋武宗上，而罷特廟之祀。
HCH_012_052_000115	四十四年，以舊廟柱產芝，更號曰玉芝宮，定日供時享儀。
HCH_012_052_000116	穆宗初，因禮臣請，乃罷時享及節序、忌辰、有事奉告之祭，但進日供而已。
HCH_012_052_000117	隆慶元年，禮科王治請罷獻皇祔廟，而專祀之世廟，章下所司。
HCH_012_052_000118	萬曆九年，禮科丁汝謙請仍專祭玉芝宮，復奉宣宗帝后冠服於太廟。
HCH_012_052_000119	帝責汝謙妄議，謫外任。
HCH_012_052_000120	天啓元年，太常少卿李宗延奏祧廟宜議，言：「睿宗入廟，世宗無窮之孝思也，然以皇上視之，則遠矣。俟光宗升祔時，或從舊祧，或從新議。蓋在孝子固以恩事親，而在仁人當以義率祖。」
HCH_012_052_000121	章下禮部，卒不能從。
HCH_012_052_000122	洪武三年，定以皇伯考壽春王、王夫人劉氏爲一罈；皇兄南昌王、霍丘王、下蔡王、安豐王、霍丘王夫人翟氏、安豐王夫人趙氏爲一罈；皇兄蒙城王、盱眙王、臨淮王、臨淮王夫人劉氏爲一罈，後定夫人皆改稱妃；皇侄寶應王、六安王、來安王、都梁王、英山王、山陽王、昭信王爲一罈，凡一十九位。
HCH_012_052_000123	春夏於仁祖廟東廡，秋冬及歲除於德祖廟東廡，皇帝行初獻禮，時獻官詣神位分獻。
HCH_012_052_000124	四年，進親王於殿內東壁。
HCH_012_052_000125	九年，新太廟成，增祀蒙城王妃田氏、盱眙王妃唐氏。
HCH_012_052_000126	正德中，御史徐文華言：「族有成人而無後者，祭終兄弟之孫之身。諸王至今五六世矣，宜祧。」
HCH_012_052_000127	禮官議不可。
HCH_012_052_000128	嘉靖間，仍序列東廡。
HCH_012_052_000129	二十四年，新建太廟成，復進列東壁，罷分獻。
HCH_012_052_000130	萬曆十四年，太常卿裴應章言：「諸王本從祖祔食。今四祖之廟已祧，而諸王無所於祔，宜罷享，而祔之祧廟。」
HCH_012_052_000131	禮部言：「祧以藏毀廟之主，爲祖非爲孫。禮有祧，不聞有配祧者。請仍遵初制，序列東廡爲近禮。」
HCH_012_052_000132	報可。
HCH_012_052_000133	洪武二年，享太廟，以廖永安、俞通海、張得勝、桑世傑、耿再成、胡大海、趙德勝配。
HCH_012_052_000134	設青布幃六於太廟庭中，遣官分獻。
HCH_012_052_000135	俟皇帝亞獻將畢，行禮。
HCH_012_052_000136	每歲春秋享廟，則配食於仁祖廟之東廡。
HCH_012_052_000137	三年，定配享功臣常遇春以下凡八位。
HCH_012_052_000138	春夏於仁祖廟西廡，秋冬於德祖廟西廡，設位東向，遂罷幃次之設。
HCH_012_052_000139	更定三獻禮，皇帝初獻，時獻官即分詣行禮，不拜。
HCH_012_052_000140	四年，太祖謂中書省臣：「太廟之祭，以功臣配列廡間。今既定太廟合祭禮，朕以祖宗具在，使功臣故舊歿者得少依神靈，以同享祀，不獨朝廷宗廟盛典，亦以寓朕不忘功臣之心。」
HCH_012_052_000141	於是禮官議：「凡合祭時，爲黃布幄殿，中祖考神位，旁設兩壁，以享親王及功臣，令大臣分獻。」
HCH_012_052_000142	制可。
HCH_012_052_000143	已而命去布幄。
HCH_012_052_000144	九年，新太廟成，以徐達、常遇春、李文忠、鄧愈、湯和、沐英、俞通海、張德勝、胡大海、趙得勝、耿再成、桑世傑十二位配於西廡，罷廖永安。
HCH_012_052_000145	建文時，禮部侍郎宋禮言：「功臣自有雞籠山廟，請罷太廟配享。」
HCH_012_052_000146	帝以先帝所定，不從。
