HCH_012_146_000000	張武陳珪孟善鄭亨徐忠郭亮張信徐祥李浚孫巖陳旭陳賢張興陳誌王友張武，瀏陽人。
HCH_012_146_000001	豁達有勇力，稍涉書史。
HCH_012_146_000002	為燕山右護衛百戶。
HCH_012_146_000003	從成祖起兵，克薊州，取雄縣，戰月漾橋，乘勝抵鄚州。
HCH_012_146_000004	與諸將敗耿炳文於真定。
HCH_012_146_000005	夾河之戰，帥壯士為前鋒，突陣，佯敗走。
HCH_012_146_000006	南軍追之，武還擊，南軍遂潰。
HCH_012_146_000007	攻西水寨，前軍夜失道，南軍來追。
HCH_012_146_000008	武引兵伏要路，擊卻之。
HCH_012_146_000009	戰小河，陳文歿於陣。
HCH_012_146_000010	武帥敢死士自林間突出，與騎兵合，大破南軍，斬首二萬級，溺死無算。
HCH_012_146_000011	累授都督同知。
HCH_012_146_000012	成祖即位，論功封成陽侯，祿千五百石，位次朱能下。
HCH_012_146_000013	是時侯者，陳珪、鄭亨、孟善、火真、顧成、王忠、王聰、徐忠、張信、李遠、郭亮、房寬十三人，武為第一。
HCH_012_146_000014	還守北平。
HCH_012_146_000015	永樂元年十月卒。
HCH_012_146_000016	出內廄馬以賻，贈潞國公，謚忠毅。
HCH_012_146_000017	無子，爵除。
HCH_012_146_000018	陳珪，泰州人。
HCH_012_146_000019	洪武初，從大將軍徐達平中原，授龍虎衛百戶，改燕山中護衛。
HCH_012_146_000020	從成祖出塞為前鋒，進副千戶。
HCH_012_146_000021	已，從起兵，積功至指揮同知。
HCH_012_146_000022	還佐世子居守。
HCH_012_146_000023	累遷都督僉事，封泰寧侯，祿千二百石。
HCH_012_146_000024	佐世子居守如故。
HCH_012_146_000025	永樂四年董建北京宮殿，經畫有條理，甚見獎重。
HCH_012_146_000026	八年，帝北征，偕駙馬都尉袁容輔趙王留守北京。
HCH_012_146_000027	十五年命鑄繕工印給珪，並設官屬，兼掌行在後府。
HCH_012_146_000028	十七年四月卒，年八十五。
HCH_012_146_000029	贈靖國公，謚忠襄。
HCH_012_146_000030	子瑜嗣。
HCH_012_146_000031	二十年從北征。
HCH_012_146_000032	失律，下獄死。
HCH_012_146_000033	兄子鐘嗣。
HCH_012_146_000034	再傳至瀛，歿土木，贈寧國公，謚恭湣。
HCH_012_146_000035	弟涇嗣。
HCH_012_146_000036	天順六年鎮廣西。
HCH_012_146_000037	明年九月，瑤賊作亂，涇將數千人駐梧州。
HCH_012_146_000038	是冬，大藤賊數百人夜入城，殺掠甚眾。
HCH_012_146_000039	涇擁兵不救。
HCH_012_146_000040	征還，下獄論斬。
HCH_012_146_000041	尋宥之。
HCH_012_146_000042	卒。
HCH_012_146_000043	子桓嗣。
HCH_012_146_000044	弘治初，鎮寧夏。
HCH_012_146_000045	中貴人多以所親冒功賞，桓拒絕之，為所譖，召還。
HCH_012_146_000046	卒。
HCH_012_146_000047	數傳至延祚，明亡，爵除。
HCH_012_146_000048	孟善，海豐人，仕元為山東樞密院同僉。
HCH_012_146_000049	明初歸附，從大軍北征，授定遠衛百戶。
HCH_012_146_000050	從平雲南，進燕山中護衛千戶。
HCH_012_146_000051	燕師起，攻松亭關，戰白溝河，皆有功。
HCH_012_146_000052	已，守保定。
HCH_012_146_000053	南軍數萬攻城，城中兵才數千，善固守，城完。
HCH_012_146_000054	累遷右軍都督同知，封保定侯，祿千二百石。
HCH_012_146_000055	永樂元年鎮遼東。
HCH_012_146_000056	七年召還北京，須眉皓白。
HCH_012_146_000057	帝憫之，命致仕。
HCH_012_146_000058	十年六月卒。
HCH_012_146_000059	贈滕國公，謚忠勇。
HCH_012_146_000060	子瑛嗣。
HCH_012_146_000061	將左軍，再從北征，督運餉。
