HCH_009_027_000053	至二十八年，水息，居民稍還，皆不樂遷。
HCH_009_027_000054	於是遣大理少卿康元弼按視之。
HCH_009_027_000055	元弼還奏：「舊州民複業者甚眾，且南使驛道館舍所在，向以不為水備，以故被害。若但修其堤之薄缺者，可以無虞，比之遷治，所省數倍，不若從其民情，修治舊城為便。」
HCH_009_027_000056	乃不遷州，仍敕自今河防官司怠慢失備者，皆重抵以罪。
HCH_009_027_000057	二十九年五月，河溢于曹州小堤之北。
HCH_009_027_000058	六月，上諭旨有司曰：「比聞五月二十八日河溢，而所報文字如此稽滯。水事最急，功不可緩，稍緩時頃，則難固護矣。」
HCH_009_027_000059	十二月，工部言：「營築河堤，用工六百八萬餘，就用埽兵軍夫外，有四百三十余萬工當用民夫。」
HCH_009_027_000060	遂詔命去役所五百里州、府差顧，於不差夫之地均征顧錢，驗物力科之。
HCH_009_027_000061	每工錢百五十交外，日支官錢五十文，米升半。
HCH_009_027_000062	仍命彰化軍節度使內族裔、都水少監大齡壽提控五百人往來彈壓。
HCH_009_027_000063	先是，河南路提刑司言：「沿河居民多困乏逃移，蓋以河防差役煩重故也。竊惟禦水患者，不過堤埽，若土功從實計料，薪槁樁杙以時征斂，亦複何難。今春築堤，都水監初料取土甚近，及其興工乃遠數倍，人夫懼不及程，貴價買土，一隊之間多至千貫。又許州初科薪槁十八萬餘束，既而又配四萬四千，是皆常歲必用之物，農隙均科則易輸納。自今堤埽興工，乞令本監以實計度，量一歲所用物料，驗數折稅，或令和買，於冬月分為三限輸納為便。」
HCH_009_027_000064	詔尚書省詳議以聞。
HCH_009_027_000065	明昌元年春正月，尚書省奏：「臣等以為，自今凡興工役，先量負土遠近，增築高卑，定功立限，榜諭使人先知，無令增加力役。並河防所用物色，委都水監每歲於八月以前，先拘籍舊貯物外實闕之數，及次年春工多寡，移報轉運司計置，於冬三月分限輸納。如水勢不常，夏秋暴漲危急，則用相鄰埽分防備之物，不足，則複於所近州縣和買。然複慮人戶道塗泥淖，艱於運納，止依稅內科折他物，更為增價，當官支付，違者並論如律，仍令所屬提刑司正官一員馳驛監視體究，如此則役作有程，而河不失備。」
HCH_009_027_000066	制可之。
HCH_009_027_000067	四年十一月，尚書省奏：「河平軍節度使王汝嘉等言：'大河南岸舊有分流河口，如可疏導，足泄其勢，及長堤以北恐亦有可以歸納排瀹之處，乞委官視之。濟北埽以北宜創起月堤。'臣等以為宜從所言。其本監官皆以諳練河防故注以是職，當使從汝嘉等同往相視，庶免異議。如大河南北必不能開挑歸納，其月堤宜依所料興修。」
HCH_009_027_000068	上從之。
HCH_009_027_000069	十二月，敕都水監官提控修築黃河堤，及令大名府差正千戶一員，部甲軍二百人彈壓勾當。
HCH_009_027_000070	五年春正月，尚書省奏：「都水監丞田櫟同本監官講議黃河利害，嘗以狀上言，前代每遇古堤南決，多經南、北清河分流，南清河北下有枯河數道，河水流其中者長至七八分，北清河乃濟水故道，可容三二分而已。令河水趨北，齧長堤而流者十餘處，而堤外率多積水，恐難依元料增修長堤與創築月堤也。可於北岸牆村決河入梁山濼故道，依舊作南、北兩清河分流。然北清河舊堤歲久不完，當立年限增築大堤，而梁山故道多有屯田軍戶，亦宜遷徙。今擬先于南岸王村、宜村兩處決堤導水，使長堤可以固護，姑宜仍舊，如不能疏導，即依上開決，分為四道，俟見水勢隨宜料理。」
HCH_009_027_000071	尚書省以櫟等所言與明昌二年劉瑋等所案視利害不同，及令陳言人馮德輿與櫟面對，亦有不合者，送工部議。
HCH_009_027_000072	複言：「若遽於牆村疏決，緣瀕北清河州縣二十餘處，兩岸連亙千有餘裏，其堤防素不修備，恐所屯軍戶亦卒難徙。今歲先于南岸延津縣堤決堤泄水，其北岸長堤自白馬以下，定陶以上，並宜加功築護，庶可以遏將來之患。若定陶以東三埽棄堤則不必修，止決舊壓河口，引導積水東南行，流堤北張彪、白塔兩河間，礙水軍戶可使遷徙，及梁山濼故道分屯者，亦當預為安置。」
HCH_009_027_000073	宰臣奏曰：「若遽從櫟等所擬，恐既更張，利害非細。比召河平軍節度使王汝嘉同計議，先差幹濟官兩員行戶工部事覆視之，同則就令計實用工物、量州縣遠近以調丁夫，其督趣春工官即充今歲守漲，及與本監官同議經久之利。」
HCH_009_027_000074	詔以知大名府事內族裔、尚書戶部郎中李敬義充行戶工部事，以參知政事胥持國都提控。
HCH_009_027_000075	又奏差德州防禦使李獻可、尚書戶部郎中焦旭于山東當水所經州縣築護城堤，及北清河兩岸舊有堤處別率丁夫修築，亦就令講究河防之計。
HCH_009_027_000076	他日，上以宋閻士良所述《黃河利害》一帙，付參知政事馬琪曰：「此書所言亦有可用者，今以賜卿。」
HCH_009_027_000077	二月，上諭平章政事守貞曰：「王汝嘉、田櫟專管河防，此國家之重事也。朕比問其曾于南岸行視否？」
HCH_009_027_000078	乃稱：'未也。
HCH_009_027_000079	'又問水決能行南岸乎？
HCH_009_027_000080	又雲：'不可知。
HCH_009_027_000081	'且水趨北久矣，自去歲便當經畫，今不稱職如是耶！
HCH_009_027_000082	可諭旨令往盡心固護，無致失備，及講究所以經久之計。
HCH_009_027_000083	稍涉違慢，當並治罪。
HCH_009_027_000084	三月，行省並行戶工部及都水監官各言河防利害事。
HCH_009_027_000085	都水監元擬于南岸王村、宜村兩處開導河勢，緣北來水勢去宜村堤稍緩，唯王村岸向上數裏臥卷，可以開決作一河，且無所犯之城市村落。
HCH_009_027_000086	又擬於北岸牆村疏決，依舊分作兩清河入梁山故道，北清河兩岸素有小堤不完，複當築大堤。
HCH_009_027_000087	尚書省謂：「以黃河之水勢，若於牆村決注，則山東州縣膏腴之地及諸鹽場必被淪溺。設使修築壞堤，而又吞納不盡，功役至重，虛困山東之民，非徙無益，而又害之也。況長堤已加護，複于南岸疏決水勢，已寢決河入梁山濼之議，水所經城邑已勸率作護城堤矣，先所修清河舊堤宜遣罷之。監丞田櫟言定陶以東三埽棄堤不當修，止言：'決舊壓河口以導漸水入堤北張彪、白塔兩河之間，凡當水沖屯田戶須令遷徙。'臣等所見，止當堤前作木岸以備之，其間居人未當遷徙，至夏秋水勢泛溢，權令避之，水落則當各複業，此亦戶工部之所言也。」
HCH_009_027_000088	上曰：「地之相去如此其遠，彼中利害，安得悉知？惟委行省盡心措畫可也。」
HCH_009_027_000089	四月，以田櫟言河防事，上諭旨參知政事持國曰：「此事不惟責卿，要卿等同心規畫，不勞朕心爾。如櫟所言，築堤用二十萬工，歲役五十日，五年可畢，此役之大，古所未有。況其成否未可知，就使可成，恐難行也。遷徒軍戶四千則不為難，然其水特決，尚不知所歸，儻有潰走，若何枝梧。如令南岸兩處疏決，使其水趨南，或可分殺其勢。然水之形勢，朕不親見，難為條畫，雖卿亦然。丞相、左丞皆不熟此，可集百官詳議以行。」
HCH_009_027_000090	百官鹹謂：「櫟所言棄長堤，無起新堤，放河入梁山故道，使南北兩清河分流，為省費息民長久之計。臣等以為黃河水勢非常，變易無定，非人力可以斟酌，可以指使也。況梁山濼淤填已高，而北清河窄狹不能吞伏，兼所經州縣農民廬井非一，使大河北入清河，山東必被其害。櫟又言乞許都水監符下州府運司，專其用度，委其任責，一切同於軍期，仍委執政提控。緣今監官已經添設，又於外監署司多以沿河州府長官兼領之，及令佐管勾河防，其或怠慢已有同軍期斷罪的決之法，凡櫟所言無可用。」
HCH_009_027_000091	遂寢其議。
HCH_009_027_000092	八月，以河決陽武故堤，灌封丘而東，尚書省奏：「都水監、行部官有失固護。」
HCH_009_027_000093	詔命同知都轉運使高旭、武衛軍副都指揮使女奚列奕小字韓家奴同往規措。
HCH_009_027_000094	尚書省奏：「都水監官前來有犯，已經戒諭，使之常切固護。今王汝嘉等殊不加意，既見水勢趨南，不預經畫，承留守司累報，輒為遷延，以至害民。即是故違制旨，私罪當的決。」
HCH_009_027_000095	詔汝嘉等各削官兩階，杖七十罷職。
HCH_009_027_000096	上謂宰臣曰：「李愈論河決事，謂宜遣大臣往，以慰人心，其言良是。向慮河北決，措畫堤防，猶嘗置行省，況今方橫潰為害，而止差小官，恐失眾望，自國家觀之，雖山東之地重于河南，然民皆赤子，何彼此之間。」
HCH_009_027_000097	乃命參知政事馬琪往，仍許便宜從事。
HCH_009_027_000098	上曰：「李愈不得為無罪，雖都水監官非提刑司統攝，若與留守司以便宜率民固護，或申聞省部，亦何不可使朕聞之。徒能張惶水勢而無經畫，及其已決，乃與王汝嘉一往視之而還，亦未嘗有所施行。問王村河口開導之月，則對以四月終，其實六月也，月日尚不知，提刑司官當如是乎？」
HCH_009_027_000099	尋命戶部員外郎何格賑濟被浸之民。
HCH_009_027_000100	時行省參知政事胥持國、馬琪言：「已至光祿村周視堤口。以其河水浸漫，堤岸陷潰，至十餘裏外乃能取土。而堤面窄狹，僅可數步，人力不可施，雖窮力可以暫成，終當複毀。而中道淤澱，地有高低，流不得泄，且水退，新灘亦難開鑿。其孟華等四埽與孟陽堤道，沿汴河東岸，但可施功者，即悉力修護，將于農隙興役，及凍畢工，則京城不至為害。」
HCH_009_027_000101	參知政事馬琪言：「都水外監員數冗多，每事相倚，或複邀功，議論紛紜不一，隳廢官事。擬罷都水監掾，設勾當官二員。又自昔選用都、散巡河官，止由監官辟舉，皆諸司人，或有老疾，避倉庫之繁，行賄請托，以致多不稱職。擬升都巡河作從七品，于應入縣令兼舉人內選注外，散巡河依舊，亦于諸司及丞簿廉舉人內選注，並取年六十以下有精力能幹者。到任一年，委提刑司體察，若不稱職，即日罷之。如守禦有方，致河水安流，任滿，從本監及提刑司保申，量與升除。凡河橋司使副亦擬同此選注。」
HCH_009_027_000102	繼而胥持國亦以為言，乃從其請。
HCH_009_027_000103	閏十月，平章政事守貞曰：「馬琪措畫河防事，未見功役之數，加之積歲興功，民力將困，今持國複病，請別遣有材幹者往議之。」
HCH_009_027_000104	上曰：「堤防救護若能成功，則財力固不敢惜。第恐財殫力屈，成而複毀，如重困何？」
HCH_009_027_000105	宰臣對曰：「如盡力固護，縱為害亦輕，若恬然不顧，則為害滋甚。」
HCH_009_027_000106	上曰：「無乃因是致盜賊乎？」
HCH_009_027_000107	守貞曰：「宋以河決興役，亦嘗致盜賊，然多生於凶歉。今時平歲豐，少有差役，未必至此。且河防之役，理所當然，今之當役者猶為可耳。至於科征薪芻，不問有無，督輸迫切則破產業以易之，恐民益困耳。」
HCH_009_027_000108	上曰：「役夫須近地差取，若遠調之，民益艱苦，但使津濟可也。然當俟馬琪至而後議之。」
HCH_009_027_000109	庚辰，琪自行省還，入見，言：「孟陽河堤及汴堤已填築補修，水不能犯汴城。自今河勢趨北，來歲春首擬于中道疏決，以解南北兩岸之危。凡計工八百七十余萬，可於正月終興工。臣乞前期再往河上監視。」
HCH_009_027_000110	上以所言付尚書省，而治檢覆河堤並守漲官等罪有差。
HCH_009_027_000111	他日，尚書省奏事，上語及河防事，馬琪奏言：「臣非敢不盡心，然恐智力有所不及。若別差官相度，儻有奇畫，亦未可知。如適與臣策同，方來興功，亦庶幾稍寬朝延憂顧。」
HCH_009_027_000112	上然之，命翰林待制奧屯忠孝權尚書戶部侍郎、太府少監溫昉權尚書工部侍郎，行戶、工部事，修治河防，且諭之曰：「汝二人皆朕所素識，以故委任，冀副朕意。如有錯失，亦不汝容。」
HCH_009_027_000113	承安元年七月，敕自今沿河傍側州、府、縣官雖部除者皆勿令員闕。
HCH_009_027_000114	泰和二年九月，敕御史台官：「河防利害初不與卿等事，然台官無所不問，應體究者亦體究之。」
HCH_009_027_000115	五年二月，以崔守真言：「黃河危急，芻槁物料雖雲折稅，每年不下五六次，或名為和買，而未嘗還其直。」
HCH_009_027_000116	敕委右三部司正郭澥、御史中丞孟鑄講究以聞。
HCH_009_027_000117	澥等言：「大名府、鄭州等處自承安二年以來，所科芻槁未給價者，計錢二十一萬九千餘貫。」
HCH_009_027_000118	遂命以各處見錢差能幹官同各州縣清強官一一酬之，續令按察司體究。
