HCH_010_037_000161	穆宗被害，葬懷陵側，建鳳凰殿以奉焉。
HCH_010_037_000162	有清涼殿，為行幸避暑之所。
HCH_010_037_000163	皆在州西二十里。
HCH_010_037_000164	隸永興宮。
HCH_010_037_000165	統縣二：扶餘縣。
HCH_010_037_000166	本龍泉府。
HCH_010_037_000167	太祖遷渤海扶餘縣降戶於此，世宗置縣。
HCH_010_037_000168	戶一千五百。
HCH_010_037_000169	顯理縣。
HCH_010_037_000170	本顯理府人，太祖伐渤海，俘其王大諲譔，遷民於此，世宗置縣。
HCH_010_037_000171	戶一千。
HCH_010_037_000172	慶州，玄寧軍，上，節度。
HCH_010_037_000173	本太保山黑河之地，巖谷險峻。
HCH_010_037_000174	穆宗建城，號黑河州，每歲來幸，射虎障鷹，軍國之事，多委大臣。
HCH_010_037_000175	後遇弒於此。
HCH_010_037_000176	以地苦寒，統和八年，州廢。
HCH_010_037_000177	聖宗秋畋，愛其奇秀，建號慶州。
HCH_010_037_000178	遼國五代祖勃突，貌異常，有武略，力敵百人，眾推為王。
HCH_010_037_000179	生於勃突山，因以名，沒，葬山下。
HCH_010_037_000180	在州二百里。
HCH_010_037_000181	慶雲山，本黑嶺也。
HCH_010_037_000182	聖宗駐蹕，愛羨曰：「吾萬歲後，當葬此」。
HCH_010_037_000183	興宗遵遺命，建永慶陵。
HCH_010_037_000184	有望仙殿、御容殿。
HCH_010_037_000185	置蕃、漢守陵三千戶，並隸大內都總管司。
HCH_010_037_000186	在州西二十里。
HCH_010_037_000187	有黑山、赤山、太保山、老翁嶺、饅頭山、興國湖、轄失濼、黑河。
HCH_010_037_000188	景福元年復置，更隸興聖宮。
HCH_010_037_000189	統縣三：玄德縣。
HCH_010_037_000190	本黑山黑河之地。
HCH_010_037_000191	景福元年，括落帳人戶，從便居之。
HCH_010_037_000192	戶六千。
HCH_010_037_000193	孝安縣。
HCH_010_037_000194	富義縣。
HCH_010_037_000195	本義州，太宗遷渤海義州民於此。
HCH_010_037_000196	重熙元年降為義豐縣，後更名。
HCH_010_037_000197	隸弘義宮。
HCH_010_037_000198	泰州，德昌軍、節度。
HCH_010_037_000199	本契丹二十部族放牧之地。
HCH_010_037_000200	因黑鼠族累犯通化州，民不能禦，遂移東南六百里來，建城居之，以近本族。
HCH_010_037_000201	黑鼠穴居，膚黑，吻銳，類鼠，故以名。
HCH_010_037_000202	州隸延慶宮，兵事屬東北統軍司。
HCH_010_037_000203	統縣二：樂康縣。
HCH_010_037_000204	倚郭。
HCH_010_037_000205	興國縣。
HCH_010_037_000206	本山前之民，因罪配遞至此，興宗置縣。
HCH_010_037_000207	戶七百。
HCH_010_037_000208	長春州，韶陽軍，下，節度。
HCH_010_037_000209	本鴨子河春獵之地。
HCH_010_037_000210	興宗重熙八年置。
HCH_010_037_000211	隸延慶宮，兵事隸東北統軍司。
HCH_010_037_000212	統縣一：長春縣。
HCH_010_037_000213	本混同江地。
HCH_010_037_000214	燕、薊犯罪者流配於此。
HCH_010_037_000215	戶二千。
HCH_010_037_000216	烏州，靜安軍，刺史。
HCH_010_037_000217	本烏丸之地，東胡之種也。
HCH_010_037_000218	遼北大王撥剌占為牧，建城，後官收。
HCH_010_037_000219	隸興聖宮。
HCH_010_037_000220	有遼河、夜河、烏丸川、烏丸山。
HCH_010_037_000221	統縣一：愛民縣。
HCH_010_037_000222	撥剌王從軍南征，俘漢民置於此。
HCH_010_037_000223	戶一千。
HCH_010_037_000224	永州，永昌軍，觀察。
HCH_010_037_000225	承天皇太后所建。
HCH_010_037_000226	太祖於此置南樓。
HCH_010_037_000227	乾亨三年，置州於皇子韓八墓側。
HCH_010_037_000228	東潢河，南土河，二水合流，故號永州。
HCH_010_037_000229	冬月牙帳多駐此，謂之冬捺缽。
HCH_010_037_000230	有木葉山，上建契丹始祖廟，奇首可汗在南廟，可敦在北廟，繪塑二聖並八子神像。
HCH_010_037_000231	相傳有神人乘白馬，自馬盂山浮土河而東，有天女駕青牛車由平地松林泛潢河而下。
HCH_010_037_000232	至木葉山，二水合流，相遇為配偶，生八子。
HCH_010_037_000233	其後族屬漸盛，分為八部。
HCH_010_037_000234	每行軍及春秋時祭，必用白馬青牛，示不忘本雲。
HCH_010_037_000235	興王寺，有白衣觀音像。
HCH_010_037_000236	太宗援石晉主中國，自潞州回，入幽州，幸大悲閣，指此像曰：「我夢神人令送石郎為中國帝，即此也。」
HCH_010_037_000237	因移木葉山，建廟，春秋告賽，尊為家神。
HCH_010_037_000238	興軍必告之，乃合符傳箭於諸部。
HCH_010_037_000239	又有高澱山、柳林澱，亦曰白馬澱。
HCH_010_037_000240	隸彰湣宮。
HCH_010_037_000241	統縣三：長寧縣。
HCH_010_037_000242	本顯德府縣名。
HCH_010_037_000243	太祖平渤海，遷其民於此。
HCH_010_037_000244	戶四千五百。
HCH_010_037_000245	義豐縣。
HCH_010_037_000246	本鐵利府義州。
HCH_010_037_000247	遼兵破之，遷其民於南樓之西北，仍名義州。
HCH_010_037_000248	重熙元年，廢州，改今縣。
HCH_010_037_000249	在州西北一百里。
HCH_010_037_000250	又嘗改富義縣，屬泰州。
HCH_010_037_000251	始末不可具考，今兩存之。
HCH_010_037_000252	戶一千五百。
HCH_010_037_000253	慈仁縣。
HCH_010_037_000254	太宗以皇子只撒古亡，置慈州墳西。
HCH_010_037_000255	重熙元年，州廢，改今縣。
HCH_010_037_000256	戶四百。
HCH_010_037_000257	儀坤州，啟聖軍，節度。
HCH_010_037_000258	本契丹右大部地。
HCH_010_037_000259	應天皇后建州。
HCH_010_037_000260	回鶻糯思居之，至四世孫容我梅裏，生應天皇后述律氏，適太祖。
HCH_010_037_000261	太祖開拓四方，平渤海，後有力焉。
HCH_010_037_000262	俘掠有伎藝者多歸帳下，謂之屬珊。
HCH_010_037_000263	以所生之地置州。
HCH_010_037_000264	州建啟聖院，中為儀寧殿，太祖天皇帝、應天地皇后銀像在焉。
HCH_010_037_000265	隸長寧宮。
HCH_010_037_000266	統縣一：廣義縣。
HCH_010_037_000267	本回鶻部牧地。
HCH_010_037_000268	應天皇后以四征所俘居之，因建州縣。
HCH_010_037_000269	統和八年，以諸宮提轄司戶置來遠縣，十三年並入。
HCH_010_037_000270	戶二千五百。
HCH_010_037_000271	龍化州，興國軍，下，節度。
HCH_010_037_000272	本漢北安平縣地。
HCH_010_037_000273	契丹始祖奇首可汗居此，稱龍庭。
HCH_010_037_000274	太祖於此建東樓。
HCH_010_037_000275	唐天復二年，太祖為叠烈部夷離堇，破代北，遷其民，建城居之。
HCH_010_037_000276	明年，伐女直，俘數百戶實焉。
HCH_010_037_000277	天祐元年，增修東城，制度頗壯麗。
HCH_010_037_000278	十三年，太祖於城東金鈴岡受尊號曰大聖大明天皇帝，建元神冊。
HCH_010_037_000279	天顯元年，崩於東樓。
HCH_010_037_000280	太宗升節度。
HCH_010_037_000281	隸彰湣宮，兵事屬北路女直兵馬司。
HCH_010_037_000282	刺史州一，未詳。
HCH_010_037_000283	統縣一：龍化縣。
HCH_010_037_000284	太祖東伐女直，南掠燕、薊，所俘建城置邑。
HCH_010_037_000285	戶一千。
HCH_010_037_000286	降聖州，開國軍，下，刺史。
HCH_010_037_000287	本大部落東樓之地。
HCH_010_037_000288	太祖春月行帳多駐此。
HCH_010_037_000289	應天皇后夢神人金冠素服，執兵仗，貌甚豐美，異獸十二隨之。
HCH_010_037_000290	中有黑兔躍入後懷，因而有娠，遂生太宗。
HCH_010_037_000291	時黑雲覆帳，火光照室，有聲如雷，諸部異之。
HCH_010_037_000292	穆宗建州。
HCH_010_037_000293	四面各三十里，禁樵采放牧。
HCH_010_037_000294	先屬延昌宮，後隸彰湣宮。
HCH_010_037_000295	統縣一：永安縣。
HCH_010_037_000296	本龍原府慶州縣名。
HCH_010_037_000297	太祖平渤海，破懷州之永安，遷其人置寨於此，建縣。
HCH_010_037_000298	戶八百。
HCH_010_037_000299	饒州，匡義軍，中，節度。
HCH_010_037_000300	本唐饒樂府地。
HCH_010_037_000301	貞觀中置松漠府。
HCH_010_037_000302	太祖完葺故壘。
HCH_010_037_000303	有潢河、長水濼、沒打河、青山、大福山、松山。
HCH_010_037_000304	隸延慶宮。
HCH_010_037_000305	統縣三：長樂縣。
HCH_010_037_000306	本遼城縣名。
HCH_010_037_000307	太祖伐渤海，遷其民，建縣居之。
HCH_010_037_000308	戶四千，內一千戶納鐵。
HCH_010_037_000309	臨河縣。
HCH_010_037_000310	本豐永縣人，太宗分兵伐渤海，遷於潢水之曲。
HCH_010_037_000311	戶一千。
HCH_010_037_000312	安民縣。
HCH_010_037_000313	太宗以渤海諸邑所俘雜置。
HCH_010_037_000314	戶一千。
HCH_010_037_000315	頭下軍州頭下軍州，皆諸王、外戚、大臣及諸部從征俘掠，或置生口，各團集建州縣以居之。
HCH_010_037_000316	橫帳諸王、國舅、公主許創立州城，自余不得建城郭。
HCH_010_037_000317	朝廷賜州縣額。
HCH_010_037_000318	其節度使朝廷命之，刺史以下皆以本主部曲充焉。
HCH_010_037_000319	官位九品之下及井邑商賈之家，征稅各歸頭下；唯酒稅課納上京鹽鐵司。
HCH_010_037_000320	徽州，宣德軍，節度。
HCH_010_037_000321	景宗女秦晉大長公主所建。
HCH_010_037_000322	媵臣萬戶，在宜州之北二百里，因建州城。
HCH_010_037_000323	北至上京七百里。
HCH_010_037_000324	節度使以下，皆公主府署。
HCH_010_037_000325	戶一萬。
HCH_010_037_000326	成州，長慶軍，節度。
HCH_010_037_000327	聖宗女晉國長公主以上賜媵臣戶置。
HCH_010_037_000328	在宜州北一百六十里，因建州城。
HCH_010_037_000329	北至上京七百四十里。
HCH_010_037_000330	戶四千。
HCH_010_037_000331	懿州，廣順軍，節度。
HCH_010_037_000332	聖宗女燕國長公主以上賜媵臣戶置。
HCH_010_037_000333	在顯州東北二百里，因建州城。
HCH_010_037_000334	西北至上京八百里。
HCH_010_037_000335	戶四千。
HCH_010_037_000336	渭州，高陽軍，節度。
HCH_010_037_000337	駙馬都尉蕭昌裔建。
HCH_010_037_000338	尚秦國王隆慶女韓國長公主，以所賜媵臣建州城。
HCH_010_037_000339	顯州東北二百五十里。
HCH_010_037_000340	遼制，皇子嫡生者，其女與帝女同。
HCH_010_037_000341	戶一千。
HCH_010_037_000342	壕州。
HCH_010_037_000343	國舅宰相南征，俘掠漢民，居遼東西安平縣故地。
HCH_010_037_000344	在顯州東北二百二十里，西北至上京七百二十里。
HCH_010_037_000345	戶六千。
HCH_010_037_000346	原州。
HCH_010_037_000347	本遼東北安平縣地。
HCH_010_037_000348	顯州東北三百里。
HCH_010_037_000349	國舅金德俘掠漢民建城。
HCH_010_037_000350	西北至上京八百里。
HCH_010_037_000351	戶五百。
HCH_010_037_000352	福州。
HCH_010_037_000353	國舅蕭寧建。
HCH_010_037_000354	南征俘掠漢民，居北安平縣故地。
HCH_010_037_000355	在原州北二十里，西北至上京七百八十里。
HCH_010_037_000356	戶三百。
HCH_010_037_000357	橫州。
HCH_010_037_000358	國舅蕭克忠建。
HCH_010_037_000359	部下牧人居漢故遼陽縣地，因置州城。
HCH_010_037_000360	在遼州西北九十里，西北至上京七百二十里。
HCH_010_037_000361	有橫山。
HCH_010_037_000362	戶二百。
HCH_010_037_000363	鳳州。
HCH_010_037_000364	槁離國故地，渤海之安寧郡境，南王府五帳分地。
HCH_010_037_000365	在韓州北二百里，西北至上京九百里。
HCH_010_037_000366	戶四千。
HCH_010_037_000367	遂州。
HCH_010_037_000368	本高州地，南王府五帳放牧於此。
HCH_010_037_000369	在檀州西二百里，西北至上京一千里。
HCH_010_037_000370	戶五百。
HCH_010_037_000371	豐州。
HCH_010_037_000372	本遼澤大部落，遙輦氏僧隱牧地。
HCH_010_037_000373	北至上京三百五十里。
HCH_010_037_000374	戶五百。
HCH_010_037_000375	順州。
HCH_010_037_000376	本遼隊縣地。
HCH_010_037_000377	橫帳南王府俘掠燕、薊、順州之民，建城居之。
HCH_010_037_000378	在顯州東北一百二十里，西北至上京九百里。
HCH_010_037_000379	戶一千。
HCH_010_037_000380	閭州。
HCH_010_037_000381	羅古王牧地，近醫巫閭山。
HCH_010_037_000382	在遼州西一百三十里，西北至上京九百五十里。
HCH_010_037_000383	戶一千。
HCH_010_037_000384	松山州。
HCH_010_037_000385	本遼澤大部落，橫帳普古王牧地。
HCH_010_037_000386	有松山。
HCH_010_037_000387	北至上京一百七十里。
HCH_010_037_000388	戶五百。
HCH_010_037_000389	豫州。
HCH_010_037_000390	橫帳陳王牧地。
HCH_010_037_000391	南至上京三百里。
HCH_010_037_000392	戶五百。
HCH_010_037_000393	寧州。
HCH_010_037_000394	本大賀氏勒得山，橫帳管寧王放牧地。
HCH_010_037_000395	在豫州東八十里，西南至上京三百五十里。
HCH_010_037_000396	戶三百。
HCH_010_037_000397	邊防城。
HCH_010_037_000398	遼國西北界防邊域，因屯戍而立，務據形勝，不資丁賦。
HCH_010_037_000399	具列如左：靜州，觀察。
HCH_010_037_000400	本泰州之金山。
HCH_010_037_000401	天慶六年升。
HCH_010_037_000402	鎮州，建安軍，節度。
HCH_010_037_000403	本古可敦城。
HCH_010_037_000404	統和二十二年皇太妃奏置。
HCH_010_037_000405	選諸部族二萬餘騎充屯軍，專捍禦室韋、羽厥等國，凡有征討，不得抽移。
HCH_010_037_000406	渤海、女直、漢人配流之家七百餘戶，分居鎮、防、維三州。
HCH_010_037_000407	東南至上京三千餘里。
HCH_010_037_000408	維州，刺史。
HCH_010_037_000409	防州，刺史。
HCH_010_037_000410	河董城。
HCH_010_037_000411	本回鶻可敦城，語訛為河董城。
HCH_010_037_000412	久廢，遼人完之以防邊患。
HCH_010_037_000413	高州界女直常為盜，劫掠行旅，遷其族於此。
HCH_010_037_000414	東南至上京一千七百里。
HCH_010_037_000415	靜邊城。
HCH_010_037_000416	本契丹二十部族水草地。
HCH_010_037_000417	北鄰羽厥，每入為盜，建城，置兵千餘騎防之。
