HCH_012_190_000035	彭澤將西討鄢本恕，問計廷和。
HCH_012_190_000036	廷和曰：「以君才，賊不足平，所戒者班師早耳。」
HCH_012_190_000037	澤後破誅本恕等即班師，而余黨復猬起不可制。
HCH_012_190_000038	澤既發復留，乃嘆曰：「楊公先見，吾不及也。」
HCH_012_190_000039	乾清宮災，廷和請帝避殿，下詔罪己，求直言。
HCH_012_190_000040	因與其僚上疏，勸帝早朝晏罷，躬九廟祭祀，崇兩宮孝養，勤日講。
HCH_012_190_000041	復面奏開言路、達下情、還邊兵、革宮市、罷皇店、出西僧、省工作、減織造，凡十餘條，皆切至。
HCH_012_190_000042	帝不省。
HCH_012_190_000043	尋以父卒乞奔喪，不許。
HCH_012_190_000044	三請乃許。
HCH_012_190_000045	遣中官護行。
HCH_012_190_000046	旋復起之，三疏辭，始許。
HCH_012_190_000047	閣臣之得終父母喪者，自廷和始也。
HCH_012_190_000048	服甫闋，即召至。
HCH_012_190_000049	帝方獵宣府，使使賜廷和羊酒、銀幣。
HCH_012_190_000050	廷和疏謝，因請回鑾，不報。
HCH_012_190_000051	復與大學士蔣冕馳至居庸，欲身出塞請。
HCH_012_190_000052	帝令谷大用扼關門，乃歸。
HCH_012_190_000053	帝命回鑾日群臣各制旗帳迎，廷和曰：「此裏俗以施之親舊耳。天子至尊，不敢瀆獻。」
HCH_012_190_000054	帝再使使諭意，執不從，乃已。
HCH_012_190_000055	當廷和柄政，帝恒不視朝，恣遊大同、宣府、延綏間，多失政。
HCH_012_190_000056	廷和未嘗不諫，俱不聽。
HCH_012_190_000057	廷和亦不能執奏。
HCH_012_190_000058	以是邑邑不自得，數移疾乞骸骨，帝亦不聽。
HCH_012_190_000059	中官谷大用、魏彬、張雄，義子錢寧、江彬輩，恣橫甚。
HCH_012_190_000060	廷和雖不為下，然亦不能有所裁禁，以是得稍自安。
HCH_012_190_000061	御史蕭淮發寧王宸濠反謀，錢寧輩猶庇之，詆淮離間。
HCH_012_190_000062	廷和請如宣宗諭趙王故事，遣貴戚大臣賫敕往諭，收其護衛屯田。
HCH_012_190_000063	於是命中官賴義、駙馬都尉崔元等往，未至而宸濠反。
HCH_012_190_000064	帝欲帥師親征，廷和等力阻之。
HCH_012_190_000065	帝乃自稱總督軍務、威武大將軍、總兵官、後軍都督府、太師、鎮國公朱壽，統各京邊將士南討。
HCH_012_190_000066	而安邊伯許泰為威武副將軍、左都督劉暉為平賊將軍前驅，鎮守、撫、按悉聽節制。
HCH_012_190_000067	命廷和與大學士毛紀居守。
HCH_012_190_000068	以乾清、坤寧二宮工成，推恩錄一子錦衣衛副千戶，辭。
HCH_012_190_000069	時廷和當草大將軍征南敕諭，謝弗肯，帝心恚。
HCH_012_190_000070	會推南京吏部尚書劉春理東閣誥敕，以廷和私其鄉人，切責之。
HCH_012_190_000071	廷和謝罪，乞罷，不許。
HCH_012_190_000072	少師梁儲等請與俱罷，復不許。
HCH_012_190_000073	廷和方引疾不入，帝遂傳旨行之。
HCH_012_190_000074	時十四年八月也。
HCH_012_190_000075	帝既南，兩更歲朔。
HCH_012_190_000076	廷和頗以鎮靜持重，為中外所推服。
HCH_012_190_000077	凡請回鑾者數十疏，皆不復省。
HCH_012_190_000078	帝歸，駐蹕通州。
HCH_012_190_000079	廷和等舉故事，請帝還大內御殿受俘，然後正宸濠等誅，而帝已不豫。
HCH_012_190_000080	趨召廷和等至通州受事，即行在執宸濠等僇之，駕乃旋。
HCH_012_190_000081	明年正月，帝郊祀，嘔血輿疾歸，逾月益篤。
HCH_012_190_000082	時帝無嗣。
HCH_012_190_000083	司禮中官魏彬等至閣言：「國醫力竭矣，請捐萬金購之草澤。」
HCH_012_190_000084	廷和心知所謂，不應，而微以倫序之說風之，彬等唯唯。
HCH_012_190_000085	三月十四日丙寅，谷大用、張永至閣，言帝崩於豹房。
HCH_012_190_000086	以皇太后命，移殯大內，且議所當立。
HCH_012_190_000087	廷和舉《皇明祖訓》示之曰：「兄終弟及，誰能瀆焉！興獻王長子，憲宗之孫，孝宗之從子，大行皇帝之從弟，序當立。」
HCH_012_190_000088	梁儲、蔣冕、毛紀鹹贊之。
HCH_012_190_000089	乃令中官入啟皇太后，廷和等候左順門下。
HCH_012_190_000090	頃之，中官奉遺詔及太后懿旨，宣諭群臣，一如廷和請，事乃定。
HCH_012_190_000091	廷和遂以遺詔令太監張永、武定侯郭勛、安邊伯許泰、尚書王憲選各營兵，分布皇城四門、京城九門及南北要害，廣衛御史以其屬捍掫。
HCH_012_190_000092	傳遺命罷威武營團練諸軍，各邊兵入衛者俱重賚散歸鎮，革皇店及軍門辦事官校悉還衛，哈密、土魯番、佛郎機諸貢使皆給賞遣還國，豹房番僧及少林僧、教坊樂人、南京快馬船、諸非常例者，一切罷遣。
HCH_012_190_000093	又以遺詔釋南京逮擊囚，放遣四方進獻女子，停京師不急工務，收宣府行宮金寶歸諸內庫。
HCH_012_190_000094	中外大悅。
HCH_012_190_000095	時平虜伯江彬擁重兵在肘腋間，知天下惡之，心不自安。
HCH_012_190_000096	其黨都督僉事李琮尤狠黠，勸彬乘間以其家眾反，不勝則北走塞外。
HCH_012_190_000097	彬猶豫未決。
HCH_012_190_000098	於是廷和謀以皇太后旨捕誅彬，遂與同官蔣冕、毛紀及司禮中官溫祥四人謀。
HCH_012_190_000099	張永伺知其意，亦密為備。
HCH_012_190_000100	司禮魏彬者，故與彬有連。
HCH_012_190_000101	廷和以其弱可脅也，因題大行銘旌，與彬、祥及他中官張銳、陳嚴等為詳言江彬反狀，以危語怵之。
HCH_012_190_000102	彬心動，惟銳力言江彬無罪，廷和面折之。
HCH_012_190_000103	冕曰：「今日必了此，乃臨。」
HCH_012_190_000104	嚴亦從旁贊決，因俾祥、彬等入白皇太后。
HCH_012_190_000105	良久未報，廷和、冕益自危。
HCH_012_190_000106	頃之，嚴至曰：「彬已擒矣。」
HCH_012_190_000107	彬既誅，中外相慶。
HCH_012_190_000108	廷和總朝政幾四十日，興世子始入京師即帝位。
HCH_012_190_000109	廷和草上登極詔書，文書房官忽至閣中，言欲去詔中不便者數事。
HCH_012_190_000110	廷和曰：「往者事齟齬，動稱上意。今亦新天子意耶？吾儕賀登極後，當面奏上，問誰欲削詔草者！」
HCH_012_190_000111	冕、紀亦相繼發危言，其人語塞。
HCH_012_190_000112	已而詔下，正德中蠹政厘抉且盡。
HCH_012_190_000113	所裁汰錦衣諸衛、內監局旗校工役為數十四萬八千七百，減漕糧百五十三萬二千餘石。
HCH_012_190_000114	其中貴、義子、傳升、乞升一切恩幸得官者大半皆斥去。
HCH_012_190_000115	中外稱新天子「聖人」，且頌廷和功。
HCH_012_190_000116	而諸失職之徒銜廷和次骨，廷和入朝有挾白刃伺輿旁者。
HCH_012_190_000117	事聞，詔以營卒百人衛出入。
HCH_012_190_000118	帝御經筵，廷和知經筵事。
HCH_012_190_000119	修《武宗實錄》，充總裁。
HCH_012_190_000120	廷和先已加特進，一品滿九載，兼支大學士俸，賜敕旌諭。
HCH_012_190_000121	至是加左柱國。
HCH_012_190_000122	帝召對者三，慰勞備至。
HCH_012_190_000123	廷和益欲有所發攄，引用正人，布列在位。
HCH_012_190_000124	給事、御史交章論王瓊罪狀，下詔獄。
HCH_012_190_000125	瓊迫，疏訐廷和以自解。
HCH_012_190_000126	法司當瓊奸黨律論死，瓊力自辨，得減戍邊。
HCH_012_190_000127	或疑法司承廷和指者。
HCH_012_190_000128	會石缶自禮部尚書掌詹事府，改吏部，廷和復奏改之掌詹事司誥敕。
HCH_012_190_000129	人或謂廷和太專。
HCH_012_190_000130	然廷和以帝雖沖年，性英敏，自信可輔太平，事事有所持諍。
HCH_012_190_000131	錢寧、江彬雖伏誅，而張銳、張忠、於經、許泰等獄久不決。
HCH_012_190_000132	廷和等言：「不誅此曹，則國法不正，公道不明，九廟之靈不安，萬姓之心不服，禍亂之機未息，太平之治未臻。」
HCH_012_190_000133	帝乃籍沒其資產。
HCH_012_190_000134	廷和復疏請敬天戒，法祖訓，隆孝道，保聖躬，務民義，勤學問，慎命令，明賞罰，專委任，納諫諍，親善人，節財用。
HCH_012_190_000135	語多剴切，皆優詔報可。
HCH_012_190_000136	及議「大禮」，廷和持論益不撓，卒以是忤帝意。
HCH_012_190_000137	先是，武宗崩，廷和草遺詔。
HCH_012_190_000138	言皇考孝宗敬皇帝親弟興獻王長子某，倫序當立。
HCH_012_190_000139	遵奉《祖訓》兄終弟及之文，告於宗廟，請於慈壽皇太后，迎嗣皇帝位。
HCH_012_190_000140	既令禮官上禮儀狀，請由東安門入居文華殿。
HCH_012_190_000141	翼日，百官三上箋勸進，俟令旨俞允，擇日即位。
HCH_012_190_000142	其箋文皆循皇子嗣位故事。
HCH_012_190_000143	世宗覽禮部狀，謂：「遺詔以吾嗣皇帝位，非為皇子也。」
HCH_012_190_000144	及至京，止城外。
HCH_012_190_000145	廷和固請如禮部所具儀，世宗不聽。
HCH_012_190_000146	乃御行殿受箋，由大明門直入，告大行几筵，日中即帝位。
HCH_012_190_000147	詔草言「奉皇兄遺詔入奉宗祧」，帝遲回久之，始報可。
HCH_012_190_000148	越三日，遣官往迎帝母興獻妃。
HCH_012_190_000149	未幾，命禮官議興獻王主祀稱號。
HCH_012_190_000150	廷和檢漢定陶王、宋濮王事授尚書毛澄曰：「是足為據，宜尊孝宗曰『皇考』，稱獻王為『皇叔考興國大王』，母妃為『皇叔母興國太妃』，自稱『侄皇帝』名，別立益王次子崇仁王為興王，奉獻王祀。有異議者即奸邪，當斬。」
HCH_012_190_000151	進士張璁與侍郎王瓚言，帝入繼大統，非為人後。
HCH_012_190_000152	瓚微言之，廷和恐其撓議，改瓚官南京。
HCH_012_190_000153	五月，澄會廷臣議上，如廷和言。
HCH_012_190_000154	帝不悅。
HCH_012_190_000155	然每召廷和從容賜茶慰諭，欲有所更定，廷和卒不肯順帝指。
HCH_012_190_000156	乃下廷臣再議。
HCH_012_190_000157	廷和偕蔣冕、毛紀奏言：「前代入繼之君，追崇所生者，皆不合典禮。惟宋儒程頤《濮議》最得義理之正，可為萬世法。至興獻王祀，雖崇仁王主之，他日皇嗣繁衍，仍以第二子為興獻王後，而改封崇仁王為親王，則天理人情，兩全無失。」
HCH_012_190_000158	帝益不悅，命博考典禮，務求至當。
HCH_012_190_000159	廷和、冕、紀復言：「三代以前，聖莫如舜，未聞追崇其所生父瞽瞍也。三代以後，賢莫如漢光武，未聞追崇其所生父南頓君也。惟皇上取法二君，則聖德無累，聖孝有光矣。」
HCH_012_190_000160	澄等亦再三執奏。
HCH_012_190_000161	帝留中不下。
HCH_012_190_000162	七月，張璁上疏謂當繼統，不繼嗣。
HCH_012_190_000163	帝遣司禮太監持示廷和，言此議遵祖訓，據古禮，宜從。
HCH_012_190_000164	廷和曰「秀才安知國家事體」，復持入。
HCH_012_190_000165	無何，帝御文華殿召廷和、冕、紀，授以手敕，令尊父母為帝、后。
