HCH_013_037_000075	守臣乃譯番書，招散出哈來廣寧面質之。
HCH_013_037_000076	散出哈遂率所部，欲由撫順關進赴廣寧。
HCH_013_037_000077	時參將周俊守開原，恐散出哈至則事泄，遣使馳報廣寧守臣，詭云：「海西人素不由撫順進，恐啟他日之患。」
HCH_013_037_000078	守臣不虞其詐也，即阻之。
HCH_013_037_000079	散出哈已入關，聞之大怒，折矢誓恨去。
HCH_013_037_000080	而遼左諸衛，故有執殺董山之怨，既藉海西之勢，遂留散出哈相煽結，合兵入邊，勢漸熾。
HCH_013_037_000081	汪直惑於王英，謂往撫可邀大功。
HCH_013_037_000082	上欲遣之，懷恩以直年少喜功，同覃昌至南閣，集尚書余子俊、侍郎馬文升議，僉言：「彼既有使入貢，又屠其家，今若何可以消弭？」
HCH_013_037_000083	或言：「酬以大官。」
HCH_013_037_000084	文升曰：「官不足以釋其忿。且宋以李繼遷為京官，遂至西夏之患。」
HCH_013_037_000085	懷恩曰：「然則遣大臣同大通事往撫之。」
HCH_013_037_000086	眾皆曰：「諾。」
HCH_013_037_000087	既傳旨，命馬文升、詹升往。
HCH_013_037_000088	直令王英與俱，文升謝之，直深以為恨。
HCH_013_037_000089	文升疾馳至撫順，縱貢使重陽歸諭其眾，使知朝廷德意。
HCH_013_037_000090	尋召其部長聽宣璽書，慰勞備至。
HCH_013_037_000091	已而海西復縱兵寇掠，文升擊敗之，旋撫定。
HCH_013_037_000092	事聞，直言：「既受撫，何又入寇？」
HCH_013_037_000093	終信王英言請自往。
HCH_013_037_000094	諸部聞直聲勢，久無一人出聽撫者。
HCH_013_037_000095	直至開原，文升在撫順，直不與之接。
HCH_013_037_000096	於是文升所招兀者、野人、堵里吉三百餘人皆怒欲歸。
HCH_013_037_000097	參將周俊恐敗事，謂直曰：「不可不請馬侍郎來。」
HCH_013_037_000098	直乃遣人邀文升。
HCH_013_037_000099	文升馳至，直曰：「若之何？」
HCH_013_037_000100	文升曰：「太監既至，此屬即太監招出者也，何間彼此？」
HCH_013_037_000101	直揣知事不易，聽文升言犒之，遂與文升俱歸陽，會聞於上。
HCH_013_037_000102	秋七月，江西人楊福偽稱汪直，伏罪。
HCH_013_037_000103	福嘗為崇府內使，隨入京。
HCH_013_037_000104	既而逃還，過南京，遇所識者，謂其貌酷似直。
HCH_013_037_000105	福乃詐稱為直，而所識者，即偽為校尉。
HCH_013_037_000106	自蕪湖乘傳給廩，歷常、蘇，由杭州抵四明，有司及市舶官皆屏息奉命，威福大張。
HCH_013_037_000107	既至福州，為鎮守太監盧勝所覺，執問如律。
HCH_013_037_000108	十五年夏六月，命汪直同刑部尚書林聰即訊遼東事，逮兵部侍郎馬文升下錦衣獄，謫戍重慶。
HCH_013_037_000109	初，陳鉞巡撫遼東，行事乖方。
HCH_013_037_000110	文升更置之，約束不得動。
HCH_013_037_000111	汪直至遼東，鉞戎服伏道左，除道飾廚，供帳鮮麗。
HCH_013_037_000112	文升獨與直抗禮，頤指左右，左右多譽鉞毀文升。
HCH_013_037_000113	鉞又乘間譖之。
HCH_013_037_000114	會給事中張良劾鉞激變屬部，逮至京。
HCH_013_037_000115	鉞賂直，言：「海西皆以文升禁農器，不與交易，故屢寇邊。」
HCH_013_037_000116	直遂奏文升「妄啟邊釁，擅禁農器」。
HCH_013_037_000117	仍遣直同聰往訊。
HCH_013_037_000118	直繆致恭敬，深自結納於聰，聰上報竟如直言。
HCH_013_037_000119	然文升所禁鐵器，非農器也。
HCH_013_037_000120	秋七月，命汪直行邊。
HCH_013_037_000121	冬十月，遼東巡撫陳鉞請討海西，以撫寧侯朱永為總兵，陳鉞提督軍務，汪直監之。
HCH_013_037_000122	直既至遼東，有頭目郎秀等四十人入貢，遇直於廣寧，直誣以窺伺，掩殺之。
HCH_013_037_000123	出塞掩不備，焚其廬帳而還，以大捷聞。
HCH_013_037_000124	論功，加汪直歲祿，監督十二團營。
HCH_013_037_000125	朱永進保國公，陳鉞戶部尚書。
HCH_013_037_000126	已而海西諸部以復仇為辭，深入雲陽、青河等堡，殺掠男婦，皆支解以徇。
HCH_013_037_000127	邊將歛兵不出，鉞隱匿不以聞。
HCH_013_037_000128	以太僕少卿王宗彝為僉都御史，巡撫遼東。
HCH_013_037_000129	宗彝故大學士文子也。
HCH_013_037_000130	以郎中督餉遼東，阿汪直，得驟進。
HCH_013_037_000131	十六年春正月，給事中孫博上言：「東、西廠緝事旗校多舉細故，中傷大臣。旗校本厠役之徒，大臣乃股肱之任，傷國體，非治世事。」
HCH_013_037_000132	疏入，切責。
HCH_013_037_000133	三月，命太監汪直、保國公朱永、尚書王越率兵出塞，襲敵於威寧，破之，越封威寧伯。
HCH_013_037_000134	夏四月，巡按遼東御史強珍上疏，劾太監汪直、總兵侯謙、巡撫陳鉞前失機隱匿罪。
HCH_013_037_000135	於是都給事中吳原、御史許進等亦以鉞為言，比之黃潛善、賈似道。
HCH_013_037_000136	詔罰鉞俸，鉞因怨王越掌院事縱珍。
HCH_013_037_000137	而汪直適巡邊還京，鉞郊迎五十里，訴珍承越意旨見劾。
HCH_013_037_000138	直怒，越亦來迓，不見越。
HCH_013_037_000139	巡撫遼東王宗彝遂阿直意，誣珍妄奏，械珍至京，下錦衣衛獄，戍遼東。
HCH_013_037_000140	秋七月，汪直議征安南。
HCH_013_037_000141	時安南累歲侵擾占城，占城遣使入奏，請討之，直因獻取安南之策。
HCH_013_037_000142	郎中陸容上言：「安南臣服中國已久，今事大之禮不失，叛逆之形未著。一旦以兵加之，恐貽禍不細。」
HCH_013_037_000143	直意猶未已，傳旨索永樂中調軍數。
HCH_013_037_000144	時劉大夏在職方，故匿其籍，徐以利害告尚書余子俊，力言沮之，事乃寢。
HCH_013_037_000145	十七年秋八月，亦思馬因寇大同，以威寧伯王越佩征西前將軍印鎮守，太監汪直監其軍。
HCH_013_037_000146	冬十月，巡撫宣府都御史秦紘密疏汪直縱旗校擾民，上釋之。
HCH_013_037_000147	紘既抵宣府，直亦以事至，聲勢烜赫，他巡撫官率屈禮，紘獨與抗，直亦不為較。
HCH_013_037_000148	紘乃密疏論直。
HCH_013_037_000149	後直還，上問各撫臣賢否，直獨稱紘廉能。
HCH_013_037_000150	上以紘疏示直，直叩頭伏罪，稱紘賢不置。
HCH_013_037_000151	十八年春三月，復罷西廠。
HCH_013_037_000152	先是，有盜越皇城入西內，東廠較尉緝獲，太監尚銘以聞，上喜甚，厚賜賚。
HCH_013_037_000153	直聞怒曰：「銘吾所用，乃背吾獨擅功。」
HCH_013_037_000154	思有以傾之。
HCH_013_037_000155	銘懼，潛以直搆禍事達於上。
HCH_013_037_000156	上自直行後，李孜省用事，萬安結昭德宮，頗攬權，惡直浸淫，上亦漸疎之。
HCH_013_037_000157	於是科道交章奏西廠苛察，非國體。
HCH_013_037_000158	萬安亦謂宜罷，劉珝不可。
HCH_013_037_000159	上竟罷西廠，中外欣然，珝有慚色。
HCH_013_037_000160	秋八月，調威寧伯王越守延綏，都督許寧代。
HCH_013_037_000161	時萬安恐汪直為越所誘，求復用，故有是調。
HCH_013_037_000162	十九年夏六月，調汪直南京御馬監。
HCH_013_037_000163	直與總兵許寧不協，巡撫郭鏜以聞，故有是命。
HCH_013_037_000164	方直之貴盛也，車蓋所至，有司迎候不及，動遭箠撻，率皆預治具，夙戒以待，使僕從皆醉飽，直然後悅。
HCH_013_037_000165	至是被調，過州縣，有司皆避之。
HCH_013_037_000166	直困頓仰臥公館，孤燈熒然。
HCH_013_037_000167	有知州裴泰者，向供具甚肅具備。
HCH_013_037_000168	適迎謁上官，遇直，直喜求食，曰：「吾非復前比矣。吾南行，上意未可測。旦日發，得馬夫足矣。」
HCH_013_037_000169	泰拱手而立。
HCH_013_037_000170	秋八月，御史徐鏞上疏劾汪直欺罔罪，曰：「汪直與王越、陳鉞結為腹心，自相表裏。肆羅織之文，振威福之勢，兵連西北，民困東南，天下之人但知有西廠而不知有朝廷，但知畏汪直而不知畏陛下。漸成羽翼，可為寒心。乞陛下明正典刑，以為奸臣結黨怙勢之戒。」
HCH_013_037_000171	上深納其言。
HCH_013_037_000172	汪直有罪罷。
HCH_013_037_000173	削王越威寧伯，追奪誥券，編管安陸州。
HCH_013_037_000174	兵部尚書陳鉞、工部尚書戴縉、錦衣指揮使吳綬革職為民。
HCH_013_037_000175	起前兵部尚書項忠，復其官。
HCH_013_037_000176	召還馬文升，以為左副都御史，巡撫遼東。
HCH_013_037_000177	初，汪直用事久，勢傾中外，天下凜凜。
HCH_013_037_000178	有中官阿丑善詼諧，恆於上前作院本，頗有譎諫風。
HCH_013_037_000179	一日，丑作醉者酗酒狀，前遣人佯曰：「某官至。」
HCH_013_037_000180	酗駡如故。
HCH_013_037_000181	又曰：「駕至。」
HCH_013_037_000182	酗亦如故。
HCH_013_037_000183	曰：「汪太監來。」
HCH_013_037_000184	醉者驚迫帖然。
HCH_013_037_000185	旁一人曰：「駕至不懼，而懼汪太監何也？」
HCH_013_037_000186	曰：「吾知有汪太監，不知有天子。」
HCH_013_037_000187	又一日，忽效直衣冠，持雙斧趨蹌而行。
HCH_013_037_000188	或問故，答曰：「吾將兵，惟仗此兩鉞耳！」
HCH_013_037_000189	問鉞何名，曰：「王越、陳鉞也。」
HCH_013_037_000190	上微哂，自是而直寵衰矣。
HCH_013_037_000191	及其罷斥，中外莫不快之。
HCH_013_037_000192	尋尚銘亦有罪黜，籍其家，得貲數萬輦。
HCH_013_037_000193	韋瑛謫萬全衛，計要功起用，自撰妖言，誣巫人劉忠興十餘人不軌。
HCH_013_037_000194	會鞫得白，瑛伏誅。
